t,value
1596597996,0
1596597999,0
1596598002,16777216
1596598005,67108864
1596598008,67108864
1596598011,67108864
1596598014,67108864
1596598017,67108864
1596598020,67108864
1596598023,67108864
1596598026,67108864
1596598029,67108864
1596598032,67108864
1596598035,67108864
1596598038,67108864
1596598041,67108864
1596598044,67108864
1596598047,67108864
1596598050,67108864
1596598053,67108864
1596598056,67108864
1596598059,67108864
1596598062,67108864
1596598065,67108864
1596598068,67108864
1596598071,67108864
1596598074,67108864
1596598077,67108864
1596598080,67108864
1596598083,67108864
1596598086,67108864
1596598089,67108864
1596598092,67108864
1596598095,67108864
1596598098,67108864
1596598101,67108864
1596598104,67108864
1596598107,67108864
1596598110,67108864
1596598113,67108864
1596598116,67108864
1596598119,67108864
1596598122,67108864
1596598125,67108864
1596598128,67108864
1596598131,67108864
1596598134,67108864
1596598137,67108864
1596598140,67108864
1596598143,67108864
1596598146,67108864
1596598149,67108864
1596598152,67108864
1596598155,67108864
1596598158,67108864
1596598161,67108864
1596598164,67108864
1596598167,67108864
1596598170,67108864
1596598173,67108864
1596598176,67108864
1596598179,67108864
1596598182,67108864
1596598185,67108864
1596598188,67108864
1596598191,67108864
1596598194,67108864
1596598197,67108864
1596598200,67108864
1596598203,67108864
1596598206,67108864
1596598209,67108864
1596598212,67108864
1596598215,67108864
1596598218,67108864
1596598221,67108864
1596598224,67108864
1596598227,67108864
1596598230,67108864
1596598233,67108864
1596598236,67108864
1596598239,67108864
1596598242,67108864
1596598245,67108864
1596598248,67108864
1596598251,67108864
1596598254,67108864
1596598257,67108864
1596598260,67108864
1596598263,67108864
1596598266,67108864
1596598269,67108864
1596598272,67108864
1596598275,67108864
1596598278,67108864
1596598281,83886080
t,value
1596598558,0
1596598561,0
1596598564,50331648
1596598567,67108864
1596598570,67108864
1596598573,67108864
1596598576,67108864
1596598579,67108864
1596598582,100663296
1596598585,134217728
1596598588,134217728
1596598591,134217728
1596598594,134217728
t,value
1596677242,0
1596677245,0
1596677248,67108864
1596677251,67108864
1596677254,67108864
1596677257,67108864
1596677260,67108864
1596677263,67108864
1596677266,134217728
1596677269,134217728
1596677272,134217728
1596677275,134217728
1596677278,134217728
1596677281,134217728
1596677284,134217728
1596677287,134217728
1596677290,134217728
1596677293,134217728
1596677296,134217728
1596677299,134217728
1596677302,134217728
1596677305,134217728
1596677308,134217728
1596677311,134217728
1596677314,134217728
1596677317,134217728
1596677320,134217728
1596677323,134217728
1596677326,134217728
1596677329,134217728
1596677332,134217728
1596677335,134217728
1596677338,134217728
1596677341,134217728
1596677344,134217728
1596677347,134217728
1596677350,134217728
1596677353,134217728
1596677356,134217728
1596677359,134217728
1596677362,134217728
1596677365,134217728
1596677368,134217728
1596677371,134217728
1596677374,134217728
1596677377,134217728
1596677380,134217728
1596677383,134217728
1596677386,134217728
1596677389,134217728
1596677392,134217728
1596677395,134217728
1596677398,134217728
1596677401,134217728
1596677404,134217728
1596677407,134217728
1596677410,134217728
1596677413,134217728
1596677416,134217728
1596677419,134217728
1596677422,134217728
1596677425,134217728
1596677428,134217728
1596677431,134217728
1596677434,134217728
1596677437,134217728
1596677440,134217728
1596677443,134217728
1596677446,134217728
1596677449,134217728
1596677452,134217728
1596677455,134217728
1596677458,134217728
1596677461,134217728
1596677464,134217728
1596677467,134217728
1596677470,134217728
1596677473,134217728
1596677476,134217728
1596677479,134217728
1596677482,134217728
1596677485,134217728
1596677488,134217728
1596677491,134217728
1596677494,134217728
1596677497,134217728
1596677500,134217728
1596677503,134217728
1596677506,134217728
1596677509,134217728
1596677512,134217728
1596677515,134217728
1596677518,134217728
1596677521,134217728
1596677524,134217728
1596677527,134217728
1596677530,134217728
1596677533,134217728
1596677536,134217728
1596677539,134217728
1596677542,134217728
1596677545,134217728
1596677548,134217728
1596677551,134217728
1596677554,134217728
1596677557,134217728
1596677560,134217728
1596677563,134217728
1596677566,134217728
1596677569,134217728
1596677572,134217728
1596677575,134217728
1596677578,134217728
1596677581,134217728
1596677584,134217728
1596677587,134217728
1596677590,134217728
1596677593,134217728
1596677596,134217728
1596677599,134217728
1596677602,134217728
1596677605,134217728
1596677608,134217728
1596677611,134217728
1596677614,134217728
1596677617,134217728
1596677620,134217728
1596677623,134217728
1596677626,134217728
1596677629,134217728
1596677632,134217728
1596677635,134217728
1596677638,134217728
1596677641,134217728
1596677644,134217728
1596677647,134217728
1596677650,134217728
1596677653,134217728
1596677656,134217728
1596677659,134217728
1596677662,134217728
1596677665,134217728
1596677668,134217728
1596677671,134217728
1596677674,134217728
1596677677,134217728
1596677680,134217728
1596677683,134217728
1596677686,134217728
1596677689,134217728
1596677692,134217728
1596677695,134217728
1596677698,134217728
1596677701,134217728
1596677704,134217728
1596677707,134217728
1596677710,134217728
1596677713,134217728
1596677716,134217728
1596677719,134217728
1596677722,134217728
1596677725,134217728
1596677728,134217728
1596677731,134217728
1596677734,134217728
1596677737,134217728
1596677740,134217728
1596677743,134217728
1596677746,134217728
1596677749,134217728
