t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,66,14.783851,0.000000,0.000000,0.000000,events/second
1596597999,66,10.609228,0.000000,0.000000,0.000000,events/second
1596598002,66,7.265243,0.000000,0.000000,0.000000,events/second
1596598005,66,5.393313,0.000000,0.000000,0.000000,events/second
1596598008,66,4.336340,0.000000,0.000000,0.000000,events/second
1596598011,66,3.642218,0.000000,0.000000,0.000000,events/second
1596598014,66,3.120925,0.000000,0.000000,0.000000,events/second
1596598017,66,2.732915,0.000000,0.000000,0.000000,events/second
1596598020,66,2.440149,0.000000,0.000000,0.000000,events/second
1596598023,66,2.195880,0.000000,0.000000,0.000000,events/second
1596598026,66,1.998036,0.000000,0.000000,0.000000,events/second
1596598029,66,1.829904,0.000000,0.000000,0.000000,events/second
1596598032,66,1.689322,0.000000,0.000000,0.000000,events/second
1596598035,66,1.570254,0.000000,0.000000,0.000000,events/second
1596598038,66,1.465564,0.000000,0.000000,0.000000,events/second
1596598041,66,1.373968,0.000000,0.000000,0.000000,events/second
1596598044,66,1.291817,0.000000,0.000000,0.000000,events/second
1596598047,66,1.221093,0.000000,0.000000,0.000000,events/second
1596598050,66,1.157309,0.000000,0.000000,0.000000,events/second
1596598053,66,1.098003,0.000000,0.000000,0.000000,events/second
1596598056,66,1.046819,0.000000,0.000000,0.000000,events/second
1596598059,66,0.999157,0.000000,0.000000,0.000000,events/second
1596598062,66,0.955923,0.000000,0.000000,0.000000,events/second
1596598065,66,0.916178,0.000000,0.000000,0.000000,events/second
1596598068,66,0.879532,0.000000,0.000000,0.000000,events/second
1596598071,66,0.845686,0.000000,0.000000,0.000000,events/second
1596598074,66,0.814352,0.000000,0.000000,0.000000,events/second
1596598077,66,0.785420,0.000000,0.000000,0.000000,events/second
1596598080,66,0.758211,0.000000,0.000000,0.000000,events/second
1596598083,66,0.733006,0.000000,0.000000,0.000000,events/second
1596598086,66,0.709370,0.000000,0.000000,0.000000,events/second
1596598089,66,0.687180,0.000000,0.000000,0.000000,events/second
1596598092,66,0.666359,0.000000,0.000000,0.000000,events/second
1596598095,66,0.646818,0.000000,0.000000,0.000000,events/second
1596598098,66,0.628356,0.000000,0.000000,0.000000,events/second
1596598101,66,0.611014,0.000000,0.000000,0.000000,events/second
1596598104,66,0.594340,0.000000,0.000000,0.000000,events/second
1596598107,66,0.578765,0.000000,0.000000,0.000000,events/second
1596598110,66,0.563808,0.000000,0.000000,0.000000,events/second
1596598113,66,0.549782,0.000000,0.000000,0.000000,events/second
1596598116,66,0.536520,0.000000,0.000000,0.000000,events/second
1596598119,66,0.523731,0.000000,0.000000,0.000000,events/second
1596598122,66,0.511497,0.000000,0.000000,0.000000,events/second
1596598125,66,0.499866,0.000000,0.000000,0.000000,events/second
1596598128,66,0.488735,0.000000,0.000000,0.000000,events/second
1596598131,66,0.478151,0.000000,0.000000,0.000000,events/second
1596598134,66,0.467949,0.000000,0.000000,0.000000,events/second
1596598137,66,0.458221,0.000000,0.000000,0.000000,events/second
1596598140,66,0.448951,0.000000,0.000000,0.000000,events/second
1596598143,66,0.439547,0.000000,0.000000,0.000000,events/second
1596598146,66,0.430742,0.000000,0.000000,0.000000,events/second
1596598149,66,0.422963,0.000000,0.000000,0.000000,events/second
1596598152,66,0.414998,0.000000,0.000000,0.000000,events/second
1596598155,66,0.407335,0.000000,0.000000,0.000000,events/second
1596598158,66,0.399924,0.000000,0.000000,0.000000,events/second
1596598161,66,0.392796,0.000000,0.000000,0.000000,events/second
1596598164,66,0.385888,0.000000,0.000000,0.000000,events/second
1596598167,66,0.379071,0.000000,0.000000,0.000000,events/second
1596598170,66,0.372639,0.000000,0.000000,0.000000,events/second
1596598173,66,0.366530,0.000000,0.000000,0.000000,events/second
1596598176,66,0.360600,0.000000,0.000000,0.000000,events/second
1596598179,66,0.354778,0.000000,0.000000,0.000000,events/second
1596598182,66,0.348891,0.000000,0.000000,0.000000,events/second
1596598185,66,0.343608,0.000000,0.000000,0.000000,events/second
1596598188,66,0.337862,0.000000,0.000000,0.000000,events/second
1596598191,66,0.333252,0.000000,0.000000,0.000000,events/second
1596598194,66,0.328214,0.000000,0.000000,0.000000,events/second
1596598197,66,0.323478,0.000000,0.000000,0.000000,events/second
1596598200,66,0.318819,0.000000,0.000000,0.000000,events/second
1596598203,66,0.314238,0.000000,0.000000,0.000000,events/second
1596598206,66,0.309748,0.000000,0.000000,0.000000,events/second
1596598209,66,0.305523,0.000000,0.000000,0.000000,events/second
1596598212,66,0.301352,0.000000,0.000000,0.000000,events/second
1596598215,66,0.297272,0.000000,0.000000,0.000000,events/second
1596598218,66,0.293316,0.000000,0.000000,0.000000,events/second
1596598221,66,0.289453,0.000000,0.000000,0.000000,events/second
1596598224,66,0.285698,0.000000,0.000000,0.000000,events/second
1596598227,66,0.281742,0.000000,0.000000,0.000000,events/second
1596598230,66,0.278456,0.000000,0.000000,0.000000,events/second
1596598233,66,0.274880,0.000000,0.000000,0.000000,events/second
1596598236,66,0.271577,0.000000,0.000000,0.000000,events/second
1596598239,66,0.268277,0.000000,0.000000,0.000000,events/second
1596598242,66,0.265027,0.000000,0.000000,0.000000,events/second
1596598245,66,0.261863,0.000000,0.000000,0.000000,events/second
1596598248,66,0.258791,0.000000,0.000000,0.000000,events/second
1596598251,66,0.255761,0.000000,0.000000,0.000000,events/second
1596598254,66,0.252839,0.000000,0.000000,0.000000,events/second
1596598257,66,0.249964,0.000000,0.000000,0.000000,events/second
1596598260,66,0.247182,0.000000,0.000000,0.000000,events/second
1596598263,66,0.244391,0.000000,0.000000,0.000000,events/second
1596598266,66,0.241718,0.000000,0.000000,0.000000,events/second
1596598269,66,0.239116,0.000000,0.000000,0.000000,events/second
1596598272,66,0.236521,0.000000,0.000000,0.000000,events/second
1596598275,66,0.234019,0.000000,0.000000,0.000000,events/second
1596598278,66,0.231555,0.000000,0.000000,0.000000,events/second
1596598281,66,0.229132,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,291,70.435957,0.000000,0.000000,0.000000,events/second
1596598561,291,46.579131,0.000000,0.000000,0.000000,events/second
1596598564,291,31.829826,0.000000,0.000000,0.000000,events/second
1596598567,291,24.087504,0.000000,0.000000,0.000000,events/second
