t,value
1596597996,8
1596597999,8
1596598002,4
1596598005,4
1596598008,4
1596598011,4
1596598014,4
1596598017,4
1596598020,4
1596598023,4
1596598026,4
1596598029,4
1596598032,4
1596598035,4
1596598038,4
1596598041,4
1596598044,4
1596598047,4
1596598050,4
1596598053,4
1596598056,4
1596598059,4
1596598062,5
1596598065,5
1596598068,5
1596598071,5
1596598074,5
1596598077,5
1596598080,5
1596598083,5
1596598086,5
1596598089,5
1596598092,5
1596598095,5
1596598098,5
1596598101,5
1596598104,5
1596598107,5
1596598110,5
1596598113,5
1596598116,5
1596598119,5
1596598122,5
1596598125,5
1596598128,5
1596598131,5
1596598134,5
1596598137,5
1596598140,5
1596598143,5
1596598146,5
1596598149,5
1596598152,5
1596598155,5
1596598158,5
1596598161,5
1596598164,5
1596598167,5
1596598170,5
1596598173,5
1596598176,5
1596598179,5
1596598182,5
1596598185,5
1596598188,5
1596598191,5
1596598194,5
1596598197,5
1596598200,5
1596598203,5
1596598206,5
1596598209,5
1596598212,5
1596598215,5
1596598218,5
1596598221,5
1596598224,5
1596598227,5
1596598230,5
1596598233,5
1596598236,5
1596598239,5
1596598242,5
1596598245,5
1596598248,5
1596598251,5
1596598254,5
1596598257,5
1596598260,5
1596598263,5
1596598266,5
1596598269,5
1596598272,5
1596598275,5
1596598278,5
1596598281,5
t,value
1596598558,8
1596598561,8
1596598564,4
1596598567,4
1596598570,4
1596598573,4
1596598576,4
1596598579,4
1596598582,4
1596598585,4
1596598588,4
1596598591,4
1596598594,4
t,value
1596677242,8
1596677245,4
1596677248,4
1596677251,4
1596677254,4
1596677257,4
1596677260,4
1596677263,4
1596677266,4
1596677269,4
1596677272,4
1596677275,4
1596677278,4
1596677281,4
1596677284,4
1596677287,4
1596677290,4
1596677293,4
1596677296,4
1596677299,4
1596677302,4
1596677305,4
1596677308,5
1596677311,5
1596677314,5
1596677317,5
1596677320,5
1596677323,5
1596677326,5
1596677329,5
1596677332,5
1596677335,5
1596677338,5
1596677341,5
1596677344,5
1596677347,5
1596677350,5
1596677353,5
1596677356,5
1596677359,5
1596677362,5
1596677365,5
1596677368,5
1596677371,5
1596677374,5
1596677377,5
1596677380,5
1596677383,5
1596677386,5
1596677389,5
1596677392,5
1596677395,5
1596677398,5
1596677401,5
1596677404,5
1596677407,5
1596677410,5
1596677413,5
1596677416,5
1596677419,5
1596677422,5
1596677425,5
1596677428,5
1596677431,5
1596677434,5
1596677437,5
1596677440,5
1596677443,5
1596677446,5
1596677449,5
1596677452,5
1596677455,5
1596677458,5
1596677461,5
1596677464,5
1596677467,5
1596677470,5
1596677473,5
1596677476,5
1596677479,5
1596677482,5
1596677485,5
1596677488,5
1596677491,5
1596677494,5
1596677497,5
1596677500,5
1596677503,5
1596677506,5
1596677509,5
1596677512,5
1596677515,5
1596677518,5
1596677521,5
1596677524,5
1596677527,5
1596677530,5
1596677533,5
1596677536,5
1596677539,5
1596677542,5
1596677545,5
1596677548,5
1596677551,5
1596677554,5
1596677557,5
1596677560,5
1596677563,5
1596677566,5
1596677569,5
1596677572,5
1596677575,5
1596677578,5
1596677581,5
1596677584,5
1596677587,5
1596677590,5
1596677593,5
1596677596,5
1596677599,5
1596677602,5
1596677605,5
1596677608,5
1596677611,5
1596677614,5
1596677617,5
1596677620,5
1596677623,5
1596677626,5
1596677629,5
1596677632,5
1596677635,5
1596677638,5
1596677641,5
1596677644,5
1596677647,5
