t,value
1596597996,32
1596597999,32
1596598002,32
1596598005,32
1596598008,32
1596598011,32
1596598014,32
1596598017,32
1596598020,32
1596598023,32
1596598026,32
1596598029,32
1596598032,32
1596598035,32
1596598038,32
1596598041,32
1596598044,32
1596598047,32
1596598050,32
1596598053,32
1596598056,32
1596598059,32
1596598062,32
1596598065,32
1596598068,32
1596598071,32
1596598074,32
1596598077,32
1596598080,32
1596598083,32
1596598086,32
1596598089,32
1596598092,32
1596598095,32
1596598098,32
1596598101,32
1596598104,32
1596598107,32
1596598110,32
1596598113,32
1596598116,32
1596598119,32
1596598122,32
1596598125,32
1596598128,32
1596598131,32
1596598134,32
1596598137,32
1596598140,32
1596598143,32
1596598146,32
1596598149,32
1596598152,32
1596598155,32
1596598158,32
1596598161,32
1596598164,32
1596598167,32
1596598170,32
1596598173,32
1596598176,32
1596598179,32
1596598182,32
1596598185,32
1596598188,32
1596598191,32
1596598194,32
1596598197,32
1596598200,32
1596598203,32
1596598206,32
1596598209,32
1596598212,32
1596598215,32
1596598218,32
1596598221,32
1596598224,32
1596598227,32
1596598230,32
1596598233,32
1596598236,32
1596598239,32
1596598242,32
1596598245,32
1596598248,32
1596598251,32
1596598254,32
1596598257,32
1596598260,32
1596598263,32
1596598266,32
1596598269,32
1596598272,32
1596598275,32
1596598278,32
1596598281,32
t,value
1596598558,32
1596598561,32
1596598564,32
1596598567,32
1596598570,32
1596598573,32
1596598576,32
1596598579,32
1596598582,32
1596598585,32
1596598588,32
1596598591,32
1596598594,32
t,value
1596677242,32
1596677245,32
1596677248,32
1596677251,32
1596677254,32
1596677257,32
1596677260,32
1596677263,32
1596677266,32
1596677269,32
1596677272,32
1596677275,32
1596677278,32
1596677281,32
1596677284,32
1596677287,32
1596677290,32
1596677293,32
1596677296,32
1596677299,32
1596677302,32
1596677305,32
1596677308,32
1596677311,32
1596677314,32
1596677317,32
1596677320,32
1596677323,32
1596677326,32
1596677329,32
1596677332,32
1596677335,32
1596677338,32
1596677341,32
1596677344,32
1596677347,32
1596677350,32
1596677353,32
1596677356,32
1596677359,32
1596677362,32
1596677365,32
1596677368,32
1596677371,32
1596677374,32
1596677377,32
1596677380,32
1596677383,32
1596677386,32
1596677389,32
1596677392,32
1596677395,32
1596677398,32
1596677401,32
1596677404,32
1596677407,32
1596677410,32
1596677413,32
1596677416,32
1596677419,32
1596677422,32
1596677425,32
1596677428,32
1596677431,32
1596677434,32
1596677437,32
1596677440,32
1596677443,32
1596677446,32
1596677449,32
1596677452,32
1596677455,32
1596677458,32
1596677461,32
1596677464,32
1596677467,32
1596677470,32
1596677473,32
1596677476,32
1596677479,32
1596677482,32
1596677485,32
1596677488,32
1596677491,32
1596677494,32
1596677497,32
1596677500,32
1596677503,32
1596677506,32
1596677509,32
1596677512,32
1596677515,32
