t,value
1596597996,0
1596597999,0
1596598002,0
1596598005,0
1596598008,0
1596598011,0
1596598014,0
1596598017,0
1596598020,0
1596598023,0
1596598026,0
1596598029,0
1596598032,0
1596598035,0
1596598038,0
1596598041,0
1596598044,0
1596598047,0
1596598050,0
1596598053,0
1596598056,0
1596598059,0
1596598062,0
1596598065,0
1596598068,0
1596598071,0
1596598074,0
1596598077,0
1596598080,0
1596598083,0
1596598086,0
1596598089,0
1596598092,0
1596598095,0
1596598098,0
1596598101,0
1596598104,0
1596598107,0
1596598110,0
1596598113,0
1596598116,0
1596598119,0
1596598122,0
1596598125,0
1596598128,0
1596598131,0
1596598134,0
1596598137,0
1596598140,0
1596598143,0
1596598146,0
1596598149,0
1596598152,0
1596598155,0
1596598158,0
1596598161,0
1596598164,0
1596598167,0
1596598170,0
1596598173,0
1596598176,0
1596598179,0
1596598182,0
1596598185,0
1596598188,0
1596598191,0
1596598194,0
1596598197,0
1596598200,0
1596598203,0
1596598206,0
1596598209,0
1596598212,0
1596598215,0
1596598218,0
1596598221,0
1596598224,0
1596598227,0
1596598230,0
1596598233,0
1596598236,0
1596598239,0
1596598242,0
1596598245,0
1596598248,0
1596598251,0
1596598254,0
1596598257,0
1596598260,0
1596598263,0
1596598266,0
1596598269,0
1596598272,0
1596598275,0
1596598278,0
1596598281,0
t,value
1596598558,0
1596598561,0
1596598564,0
1596598567,0
1596598570,0
1596598573,0
1596598576,0
1596598579,0
1596598582,0
1596598585,0
1596598588,0
1596598591,0
1596598594,0
t,value
1596677242,0
1596677245,0
1596677248,0
1596677251,0
1596677254,0
1596677257,0
1596677260,0
1596677263,0
1596677266,0
1596677269,0
1596677272,0
1596677275,0
1596677278,0
1596677281,0
1596677284,0
1596677287,0
1596677290,0
1596677293,0
1596677296,0
1596677299,0
1596677302,0
1596677305,0
1596677308,0
1596677311,0
1596677314,0
1596677317,0
1596677320,0
1596677323,0
1596677326,0
1596677329,0
1596677332,0
1596677335,0
1596677338,0
1596677341,0
1596677344,0
1596677347,0
1596677350,0
1596677353,0
1596677356,0
1596677359,0
1596677362,0
1596677365,0
1596677368,0
1596677371,0
1596677374,0
1596677377,0
1596677380,0
1596677383,0
1596677386,0
1596677389,0
1596677392,0
1596677395,0
1596677398,0
1596677401,0
1596677404,0
1596677407,0
1596677410,0
1596677413,0
1596677416,0
1596677419,0
1596677422,0
1596677425,0
1596677428,0
1596677431,0
1596677434,0
1596677437,0
1596677440,0
1596677443,0
1596677446,0
1596677449,0
1596677452,0
1596677455,0
1596677458,0
1596677461,0
1596677464,0
1596677467,0
1596677470,0
1596677473,0
1596677476,0
1596677479,0
1596677482,0
1596677485,0
1596677488,0
1596677491,0
1596677494,0
1596677497,0
1596677500,0
1596677503,0
1596677506,0
1596677509,0
1596677512,0
1596677515,0
1596677518,0
1596677521,0
1596677524,0
1596677527,0
1596677530,0
1596677533,0
1596677536,0
1596677539,0
1596677542,0
1596677545,0
1596677548,0
1596677551,0
1596677554,0
1596677557,0
1596677560,0
1596677563,0
1596677566,0
1596677569,0
1596677572,0
1596677575,0
1596677578,0
1596677581,0
1596677584,0
1596677587,0
1596677590,0
1596677593,0
1596677596,0
1596677599,0
1596677602,0
1596677605,0
1596677608,0
1596677611,0
1596677614,0
1596677617,0
1596677620,0
1596677623,0
1596677626,0
1596677629,0
1596677632,0
1596677635,0
1596677638,0
1596677641,0
1596677644,0
1596677647,0
1596677650,0
1596677653,0
1596677656,0
1596677659,0
1596677662,0
1596677665,0
1596677668,0
1596677671,0
1596677674,0
1596677677,0
1596677680,0
1596677683,0
1596677686,0
1596677689,0
1596677692,0
1596677695,0
1596677698,0
1596677701,0
1596677704,0
1596677707,0
1596677710,0
1596677713,0
1596677716,0
1596677719,0
1596677722,0
1596677725,0
1596677728,0
1596677731,0
1596677734,0
1596677737,0
1596677740,0
1596677743,0
1596677746,0
1596677749,0
1596677752,0
1596677755,0
1596677758,0
1596677761,0
1596677764,0
1596677767,0
1596677770,0
1596677773,0
1596677776,0
1596677779,0
1596677782,0
1596677785,0
1596677788,0
1596677791,0
1596677794,0
1596677797,0
1596677800,0
1596677803,0
1596677806,0
1596677809,0
1596677812,0
1596677815,0
1596677818,0
1596677821,0
1596677824,0
1596677827,0
1596677830,0
1596677833,0
1596677836,0
1596677839,0
1596677842,0
1596677845,0
1596677848,0
1596677851,0
1596677854,0
1596677857,0
1596677860,0
1596677863,0
1596677866,0
1596677869,0
1596677872,0
1596677875,0
1596677878,0
1596677881,0
1596677884,0
1596677887,0
1596677890,0
1596677893,0
1596677896,0
1596677899,0
1596677902,0
1596677905,0
1596677908,0
1596677911,0
1596677914,0
1596677917,0
1596677920,0
1596677923,0
1596677926,0
1596677929,0
1596677932,0
1596677935,0
1596677938,0
1596677941,0
1596677944,0
1596677947,0
1596677950,0
1596677953,2
1596677956,2
1596677959,2
1596677962,2
1596677965,2
1596677968,2
1596677971,2
1596677974,2
1596677977,2
1596677980,2
1596677983,2
