t,value
1596597996,810925
1596597999,810925
1596598002,810925
1596598005,810925
1596598008,810925
1596598011,810925
1596598014,810925
1596598017,810925
1596598020,810925
1596598023,810925
1596598026,810925
1596598029,810925
1596598032,810925
1596598035,810925
1596598038,810925
1596598041,810925
1596598044,810925
1596598047,810925
1596598050,810925
1596598053,810925
1596598056,810925
1596598059,810925
1596598062,810925
1596598065,810925
1596598068,810925
1596598071,810925
1596598074,810925
1596598077,810925
1596598080,810925
1596598083,810925
1596598086,810925
1596598089,810925
1596598092,810925
1596598095,810925
1596598098,810925
1596598101,810925
1596598104,810925
1596598107,810925
1596598110,810925
1596598113,810925
1596598116,810925
1596598119,810925
1596598122,810925
1596598125,810925
1596598128,810925
1596598131,810925
1596598134,810925
1596598137,810925
1596598140,810925
1596598143,810925
1596598146,810925
1596598149,810925
1596598152,810925
1596598155,810925
1596598158,810925
1596598161,810925
1596598164,810925
1596598167,810925
1596598170,810925
1596598173,810925
1596598176,810925
1596598179,810925
1596598182,810925
1596598185,810925
1596598188,810925
1596598191,810925
1596598194,810925
1596598197,810925
1596598200,810925
1596598203,810925
1596598206,810925
1596598209,810925
1596598212,810925
1596598215,810925
1596598218,810925
1596598221,810925
1596598224,810925
1596598227,810925
1596598230,810925
1596598233,810925
1596598236,810925
1596598239,810925
1596598242,810925
1596598245,810925
1596598248,810925
1596598251,810925
1596598254,810925
1596598257,810925
1596598260,810925
1596598263,810925
1596598266,810925
1596598269,810925
1596598272,810925
1596598275,810925
1596598278,810925
1596598281,810925
t,value
1596598558,1032792
1596598561,1032792
1596598564,1032792
1596598567,1032792
1596598570,1032792
1596598573,1032792
1596598576,1032792
1596598579,1032792
1596598582,1032792
1596598585,1032792
1596598588,1032792
1596598591,1032792
1596598594,1032792
t,value
1596677242,1032792
1596677245,1032792
1596677248,1032792
1596677251,1032792
1596677254,1032792
1596677257,1032792
1596677260,1032792
1596677263,1032792
1596677266,1032792
1596677269,1032792
1596677272,1032792
1596677275,1032792
1596677278,1032792
1596677281,1032792
1596677284,1032792
1596677287,1032792
1596677290,1032792
1596677293,1032792
1596677296,1032792
1596677299,1032792
1596677302,1032792
1596677305,1032792
1596677308,1032792
1596677311,1032792
1596677314,1032792
1596677317,1032792
1596677320,1032792
1596677323,1032792
1596677326,1032792
1596677329,1032792
1596677332,1032792
1596677335,1032792
1596677338,1032792
1596677341,1032792
1596677344,1032792
1596677347,1032792
1596677350,1032792
1596677353,1032792
1596677356,1032792
1596677359,1032792
1596677362,1032792
1596677365,1032792
1596677368,1032792
1596677371,1032792
1596677374,1032792
1596677377,1032792
1596677380,1032792
1596677383,1032792
1596677386,1032792
1596677389,1032792
1596677392,1032792
1596677395,1032792
1596677398,1032792
1596677401,1032792
1596677404,1032792
1596677407,1032792
1596677410,1032792
1596677413,1032792
1596677416,1032792
1596677419,1032792
1596677422,1032792
1596677425,1032792
1596677428,1032792
1596677431,1032792
1596677434,1032792
1596677437,1032792
1596677440,1032792
1596677443,1032792
1596677446,1032792
1596677449,1032792
1596677452,1032792
1596677455,1032792
1596677458,1032792
1596677461,1032792
1596677464,1032792
1596677467,1032792
1596677470,1032792
1596677473,1032792
1596677476,1032792
1596677479,1032792
1596677482,1032792
1596677485,1032792
1596677488,1032792
1596677491,1032792
1596677494,1032792
1596677497,1032792
1596677500,1032792
1596677503,1032792
1596677506,1032792
1596677509,1032792
1596677512,1032792
1596677515,1032792
1596677518,1032792
1596677521,1032792
1596677524,1032792
1596677527,1032792
1596677530,1032792
1596677533,1032792
1596677536,1032792
1596677539,1032792
1596677542,1032792
1596677545,1032792
1596677548,1032792
1596677551,1032792
1596677554,1032792
1596677557,1032792
1596677560,1032792
1596677563,1032792
1596677566,1032792
1596677569,1032792
1596677572,1032792
1596677575,1032792
1596677578,1032792
1596677581,1032792
1596677584,1032792
1596677587,1032792
1596677590,1032792
1596677593,1032792
1596677596,1032792
1596677599,1032792
1596677602,1032792
1596677605,1032792
1596677608,1032792
1596677611,1032792
1596677614,1032792
1596677617,1032792
1596677620,1032792
1596677623,1032792
1596677626,1032792
1596677629,1032792
1596677632,1032792
1596677635,1032792
1596677638,1032792
1596677641,1032792
1596677644,1032792
1596677647,1032792
1596677650,1032792
1596677653,1032792
1596677656,1032792
1596677659,1032792
1596677662,1032792
1596677665,1032792
1596677668,1032792
1596677671,1032792
1596677674,1032792
1596677677,1032792
1596677680,1032792
1596677683,1032792
1596677686,1032792
1596677689,1032792
1596677692,1032792
1596677695,1032792
1596677698,1032792
1596677701,1032792
1596677704,1032792
1596677707,1032792
1596677710,1032792
1596677713,1032792
1596677716,1032792
1596677719,1032792
1596677722,1032792
1596677725,1032792
1596677728,1032792
1596677731,1032792
1596677734,1032792
1596677737,1032792
1596677740,1032792
1596677743,1032792
1596677746,1032792
1596677749,1032792
1596677752,1032792
1596677755,1032792
1596677758,1032792
1596677761,1032792
1596677764,1032792
1596677767,1032792
1596677770,1032792
1596677773,1032792
1596677776,1032792
1596677779,1032792
1596677782,1032792
1596677785,1032792
1596677788,1032792
1596677791,1032792
1596677794,1032792
1596677797,1032792
1596677800,1032792
1596677803,1032792
1596677806,1032792
1596677809,1032792
1596677812,1032792
1596677815,1032792
1596677818,1032792
1596677821,1032792
1596677824,1032792
1596677827,1032792
1596677830,1032792
1596677833,1032792
1596677836,1032792
1596677839,1032792
1596677842,1032792
1596677845,1032792
1596677848,1032792
1596677851,1032792
1596677854,1032792
1596677857,1032792
1596677860,1032792
1596677863,1032792
1596677866,1032792
1596677869,1032792
1596677872,1032792
1596677875,1032792
1596677878,1032792
1596677881,1032792
1596677884,1032792
1596677887,1032792
1596677890,1032792
1596677893,1032792
1596677896,1032792
1596677899,1032792
1596677902,1032792
1596677905,1032792
1596677908,1032792
1596677911,1032792
1596677914,1032792
1596677917,1032792
1596677920,1032792
1596677923,1032792
1596677926,1032792
1596677929,1032792
1596677932,1032792
1596677935,1032792
1596677938,1032792
1596677941,1032792
1596677944,1032792
1596677947,1032792
1596677950,1032792
1596677953,1032792
1596677956,1032792
1596677959,1032792
1596677962,1032792
1596677965,1032792
1596677968,1032792
1596677971,1032792
1596677974,1032792
1596677977,1032792
1596677980,1032792
1596677983,1032792
1596677986,1032792
1596677989,1032792
1596677992,1032792
1596677995,1032792
1596677998,1032792
1596678001,1032792
1596678004,1032792
1596678007,1032792
1596678010,1032792
1596678013,1032792
1596678016,1032792
1596678019,1032792
1596678022,1032792
1596678025,1032792
1596678028,1032792
1596678031,1032792
1596678034,1032792
1596678037,1032792
1596678040,1032792
1596678043,1032792
1596678046,1032792
1596678049,1032792
1596678052,1032792
1596678055,1032792
1596678058,1032792
1596678061,1032792
1596678064,1032792
1596678067,1032792
1596678070,1032792
1596678073,1032792
1596678076,1032792
1596678079,1032792
1596678082,1032792
1596678085,1032792
1596678088,1032792
1596678091,1032792
1596678094,1032792
1596678097,1032792
1596678100,1032792
1596678103,1032792
1596678106,1032792
1596678109,1032792
1596678112,1032792
1596678115,1032792
1596678118,1032792
1596678121,1032792
1596678124,1032792
1596678127,1032792
1596678130,1032792
1596678133,1032792
1596678136,1032792
1596678139,1032792
1596678142,1032792
1596678145,1032792
1596678148,1032792
1596678151,1032792
1596678154,1032792
1596678157,1032792
1596678160,1032792
1596678163,1032792
1596678166,1032792
1596678169,1032792
1596678172,1032792
1596678175,1032792
1596678178,1032792
1596678181,1032792
1596678184,1032792
1596678187,1032792
1596678190,1032792
1596678193,1032792
1596678196,1032792
1596678199,1032792
1596678202,1032792
1596678205,1032792
1596678208,1032792
1596678211,1032792
1596678214,1032792
1596678217,1032792
1596678220,1032792
1596678223,1032792
1596678226,1032792
1596678229,1032792
1596678232,1032792
1596678235,1032792
1596678238,1032792
1596678241,1032792
1596678244,1032792
1596678247,1032792
1596678250,1032792
1596678253,1032792
1596678256,1032792
1596678259,1032792
1596678262,1032792
1596678265,1032792
1596678268,1032792
1596678271,1032792
1596678274,1032792
1596678277,1032792
1596678280,1032792
1596678283,1032792
1596678286,1032792
1596678289,1032792
1596678292,1032792
1596678295,1032792
1596678298,1032792
1596678301,1032792
1596678304,1032792
1596678307,1032792
1596678310,1032792
1596678313,1032792
1596678316,1032792
1596678319,1032792
1596678322,1032792
1596678325,1032792
1596678328,1032792
1596678331,1032792
1596678334,1032792
1596678337,1032792
1596678340,1032792
1596678343,1032792
1596678346,1032792
1596678349,1032792
1596678352,1032792
1596678355,1032792
1596678358,1032792
1596678361,1032792
1596678364,1032792
1596678367,1032792
1596678370,1032792
1596678373,1032792
1596678376,1032792
1596678379,1032792
1596678382,1032792
1596678385,1032792
1596678388,1032792
1596678391,1032792
1596678394,1032792
1596678397,1032792
1596678400,1032792
1596678403,1032792
1596678406,1032792
1596678409,1032792
1596678412,1032792
1596678415,1032792
1596678418,1032792
1596678421,1032792
1596678424,1032792
1596678427,1032792
1596678430,1032792
1596678433,1032792
1596678436,1032792
1596678439,1032792
1596678442,1032792
1596678445,1032792
1596678448,1032792
1596678451,1032792
1596678454,1032792
1596678457,1032792
1596678460,1032792
1596678463,1032792
1596678466,1032792
