t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,2,0.497055,0.000000,0.000000,0.000000,events/second
1596597999,2,0.327782,0.000000,0.000000,0.000000,events/second
1596598002,2,0.222501,0.000000,0.000000,0.000000,events/second
1596598005,2,0.165379,0.000000,0.000000,0.000000,events/second
1596598008,2,0.132408,0.000000,0.000000,0.000000,events/second
1596598011,2,0.110943,0.000000,0.000000,0.000000,events/second
1596598014,2,0.095117,0.000000,0.000000,0.000000,events/second
1596598017,2,0.083208,0.000000,0.000000,0.000000,events/second
1596598020,2,0.074180,0.000000,0.000000,0.000000,events/second
1596598023,2,0.066739,0.000000,0.000000,0.000000,events/second
1596598026,2,0.060695,0.000000,0.000000,0.000000,events/second
1596598029,2,0.055587,0.000000,0.000000,0.000000,events/second
1596598032,2,0.051306,0.000000,0.000000,0.000000,events/second
1596598035,2,0.047675,0.000000,0.000000,0.000000,events/second
1596598038,2,0.044491,0.000000,0.000000,0.000000,events/second
1596598041,2,0.041709,0.000000,0.000000,0.000000,events/second
1596598044,2,0.039209,0.000000,0.000000,0.000000,events/second
1596598047,2,0.037061,0.000000,0.000000,0.000000,events/second
1596598050,2,0.035119,0.000000,0.000000,0.000000,events/second
1596598053,2,0.033326,0.000000,0.000000,0.000000,events/second
1596598056,2,0.031761,0.000000,0.000000,0.000000,events/second
1596598059,2,0.030314,0.000000,0.000000,0.000000,events/second
1596598062,2,0.029000,0.000000,0.000000,0.000000,events/second
1596598065,2,0.027793,0.000000,0.000000,0.000000,events/second
1596598068,2,0.026681,0.000000,0.000000,0.000000,events/second
1596598071,2,0.025653,0.000000,0.000000,0.000000,events/second
1596598074,2,0.024701,0.000000,0.000000,0.000000,events/second
1596598077,2,0.023823,0.000000,0.000000,0.000000,events/second
1596598080,2,0.022998,0.000000,0.000000,0.000000,events/second
1596598083,2,0.022231,0.000000,0.000000,0.000000,events/second
1596598086,2,0.021514,0.000000,0.000000,0.000000,events/second
1596598089,2,0.020841,0.000000,0.000000,0.000000,events/second
1596598092,2,0.020209,0.000000,0.000000,0.000000,events/second
1596598095,2,0.019616,0.000000,0.000000,0.000000,events/second
1596598098,2,0.019055,0.000000,0.000000,0.000000,events/second
1596598101,2,0.018529,0.000000,0.000000,0.000000,events/second
1596598104,2,0.018023,0.000000,0.000000,0.000000,events/second
1596598107,2,0.017550,0.000000,0.000000,0.000000,events/second
1596598110,2,0.017097,0.000000,0.000000,0.000000,events/second
1596598113,2,0.016671,0.000000,0.000000,0.000000,events/second
1596598116,2,0.016269,0.000000,0.000000,0.000000,events/second
1596598119,2,0.015881,0.000000,0.000000,0.000000,events/second
1596598122,2,0.015509,0.000000,0.000000,0.000000,events/second
1596598125,2,0.015156,0.000000,0.000000,0.000000,events/second
1596598128,2,0.014819,0.000000,0.000000,0.000000,events/second
1596598131,2,0.014498,0.000000,0.000000,0.000000,events/second
1596598134,2,0.014188,0.000000,0.000000,0.000000,events/second
1596598137,2,0.013893,0.000000,0.000000,0.000000,events/second
1596598140,2,0.013612,0.000000,0.000000,0.000000,events/second
1596598143,2,0.013329,0.000000,0.000000,0.000000,events/second
1596598146,2,0.013061,0.000000,0.000000,0.000000,events/second
1596598149,2,0.012823,0.000000,0.000000,0.000000,events/second
1596598152,2,0.012582,0.000000,0.000000,0.000000,events/second
1596598155,2,0.012349,0.000000,0.000000,0.000000,events/second
1596598158,2,0.012125,0.000000,0.000000,0.000000,events/second
1596598161,2,0.011908,0.000000,0.000000,0.000000,events/second
1596598164,2,0.011699,0.000000,0.000000,0.000000,events/second
1596598167,2,0.011492,0.000000,0.000000,0.000000,events/second
1596598170,2,0.011297,0.000000,0.000000,0.000000,events/second
1596598173,2,0.011112,0.000000,0.000000,0.000000,events/second
1596598176,2,0.010932,0.000000,0.000000,0.000000,events/second
1596598179,2,0.010755,0.000000,0.000000,0.000000,events/second
1596598182,2,0.010577,0.000000,0.000000,0.000000,events/second
1596598185,2,0.010417,0.000000,0.000000,0.000000,events/second
1596598188,2,0.010244,0.000000,0.000000,0.000000,events/second
1596598191,2,0.010103,0.000000,0.000000,0.000000,events/second
1596598194,2,0.009951,0.000000,0.000000,0.000000,events/second
1596598197,2,0.009806,0.000000,0.000000,0.000000,events/second
1596598200,2,0.009665,0.000000,0.000000,0.000000,events/second
1596598203,2,0.009526,0.000000,0.000000,0.000000,events/second
1596598206,2,0.009390,0.000000,0.000000,0.000000,events/second
1596598209,2,0.009262,0.000000,0.000000,0.000000,events/second
1596598212,2,0.009135,0.000000,0.000000,0.000000,events/second
1596598215,2,0.009011,0.000000,0.000000,0.000000,events/second
1596598218,2,0.008891,0.000000,0.000000,0.000000,events/second
1596598221,2,0.008774,0.000000,0.000000,0.000000,events/second
1596598224,2,0.008660,0.000000,0.000000,0.000000,events/second
1596598227,2,0.008541,0.000000,0.000000,0.000000,events/second
1596598230,2,0.008441,0.000000,0.000000,0.000000,events/second
1596598233,2,0.008333,0.000000,0.000000,0.000000,events/second
1596598236,2,0.008232,0.000000,0.000000,0.000000,events/second
1596598239,2,0.008132,0.000000,0.000000,0.000000,events/second
1596598242,2,0.008034,0.000000,0.000000,0.000000,events/second
1596598245,2,0.007938,0.000000,0.000000,0.000000,events/second
1596598248,2,0.007845,0.000000,0.000000,0.000000,events/second
1596598251,2,0.007753,0.000000,0.000000,0.000000,events/second
1596598254,2,0.007664,0.000000,0.000000,0.000000,events/second
1596598257,2,0.007577,0.000000,0.000000,0.000000,events/second
1596598260,2,0.007493,0.000000,0.000000,0.000000,events/second
1596598263,2,0.007408,0.000000,0.000000,0.000000,events/second
1596598266,2,0.007327,0.000000,0.000000,0.000000,events/second
1596598269,2,0.007248,0.000000,0.000000,0.000000,events/second
1596598272,2,0.007169,0.000000,0.000000,0.000000,events/second
1596598275,2,0.007093,0.000000,0.000000,0.000000,events/second
1596598278,2,0.007019,0.000000,0.000000,0.000000,events/second
1596598281,2,0.006945,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,2,0.521411,0.000000,0.000000,0.000000,events/second
1596598561,2,0.330730,0.000000,0.000000,0.000000,events/second
1596598564,2,0.222624,0.000000,0.000000,0.000000,events/second
1596598567,2,0.167747,0.000000,0.000000,0.000000,events/second
1596598570,2,0.132752,0.000000,0.000000,0.000000,events/second
1596598573,2,0.111089,0.000000,0.000000,0.000000,events/second
1596598576,2,0.095337,0.000000,0.000000,0.000000,events/second
1596598579,2,0.083619,0.000000,0.000000,0.000000,events/second
1596598582,2,0.074325,0.000000,0.000000,0.000000,events/second
1596598585,2,0.066429,0.000000,0.000000,0.000000,events/second
1596598588,2,0.060748,0.000000,0.000000,0.000000,events/second
1596598591,2,0.055667,0.000000,0.000000,0.000000,events/second
1596598594,2,0.051385,0.000000,0.000000,0.000000,events/second
