t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,140,7.774567,0.000000,0.000000,0.000000,events/second
1596597999,140,7.102387,0.000000,0.000000,0.000000,events/second
1596598002,140,6.203657,0.000000,0.000000,0.000000,events/second
1596598005,143,5.559255,0.000000,0.000000,0.000000,events/second
1596598008,143,4.980502,0.000000,0.000000,0.000000,events/second
1596598011,143,4.524978,0.000000,0.000000,0.000000,events/second
1596598014,143,4.129467,0.000000,0.000000,0.000000,events/second
1596598017,143,3.799078,0.000000,0.000000,0.000000,events/second
1596598020,143,3.528496,0.000000,0.000000,0.000000,events/second
1596598023,143,3.284435,0.000000,0.000000,0.000000,events/second
1596598026,143,3.073172,0.000000,0.000000,0.000000,events/second
1596598029,143,2.886133,0.000000,0.000000,0.000000,events/second
1596598032,143,2.721276,0.000000,0.000000,0.000000,events/second
1596598035,143,2.576009,0.000000,0.000000,0.000000,events/second
1596598038,143,2.443968,0.000000,0.000000,0.000000,events/second
1596598041,143,2.324576,0.000000,0.000000,0.000000,events/second
1596598044,143,2.214682,0.000000,0.000000,0.000000,events/second
1596598047,143,2.117628,0.000000,0.000000,0.000000,events/second
1596598050,143,2.028197,0.000000,0.000000,0.000000,events/second
1596598053,143,1.943041,0.000000,0.000000,0.000000,events/second
1596598056,143,1.868656,0.000000,0.000000,0.000000,events/second
1596598059,143,1.797989,0.000000,0.000000,0.000000,events/second
1596598062,143,1.732909,0.000000,0.000000,0.000000,events/second
1596598065,143,1.672212,0.000000,0.000000,0.000000,events/second
1596598068,143,1.615505,0.000000,0.000000,0.000000,events/second
1596598071,143,1.562497,0.000000,0.000000,0.000000,events/second
1596598074,143,1.512858,0.000000,0.000000,0.000000,events/second
1596598077,143,1.466536,0.000000,0.000000,0.000000,events/second
1596598080,143,1.422533,0.000000,0.000000,0.000000,events/second
1596598083,143,1.381417,0.000000,0.000000,0.000000,events/second
1596598086,143,1.342503,0.000000,0.000000,0.000000,events/second
1596598089,143,1.305667,0.000000,0.000000,0.000000,events/second
1596598092,143,1.270855,0.000000,0.000000,0.000000,events/second
1596598095,143,1.237936,0.000000,0.000000,0.000000,events/second
1596598098,143,1.206621,0.000000,0.000000,0.000000,events/second
1596598101,143,1.177014,0.000000,0.000000,0.000000,events/second
1596598104,143,1.148367,0.000000,0.000000,0.000000,events/second
1596598107,143,1.121458,0.000000,0.000000,0.000000,events/second
1596598110,143,1.095453,0.000000,0.000000,0.000000,events/second
1596598113,143,1.070965,0.000000,0.000000,0.000000,events/second
1596598116,143,1.047677,0.000000,0.000000,0.000000,events/second
1596598119,143,1.025111,0.000000,0.000000,0.000000,events/second
1596598122,143,1.003440,0.000000,0.000000,0.000000,events/second
1596598125,143,0.982734,0.000000,0.000000,0.000000,events/second
1596598128,143,0.962834,0.000000,0.000000,0.000000,events/second
1596598131,143,0.943843,0.000000,0.000000,0.000000,events/second
1596598134,143,0.925460,0.000000,0.000000,0.000000,events/second
1596598137,143,0.907867,0.000000,0.000000,0.000000,events/second
1596598140,143,0.891042,0.000000,0.000000,0.000000,events/second
1596598143,143,0.873847,0.000000,0.000000,0.000000,events/second
1596598146,143,0.857806,0.000000,0.000000,0.000000,events/second
1596598149,143,0.843559,0.000000,0.000000,0.000000,events/second
1596598152,143,0.828921,0.000000,0.000000,0.000000,events/second
1596598155,143,0.814790,0.000000,0.000000,0.000000,events/second
1596598158,143,0.801080,0.000000,0.000000,0.000000,events/second
1596598161,143,0.787867,0.000000,0.000000,0.000000,events/second
1596598164,143,0.775022,0.000000,0.000000,0.000000,events/second
1596598167,143,0.762307,0.000000,0.000000,0.000000,events/second
1596598170,143,0.750295,0.000000,0.000000,0.000000,events/second
1596598173,143,0.738838,0.000000,0.000000,0.000000,events/second
1596598176,143,0.727715,0.000000,0.000000,0.000000,events/second
1596598179,143,0.716762,0.000000,0.000000,0.000000,events/second
1596598182,143,0.705634,0.000000,0.000000,0.000000,events/second
1596598185,143,0.695669,0.000000,0.000000,0.000000,events/second
1596598188,143,0.684638,0.000000,0.000000,0.000000,events/second
1596598191,143,0.676029,0.000000,0.000000,0.000000,events/second
1596598194,143,0.666444,0.000000,0.000000,0.000000,events/second
1596598197,143,0.657444,0.000000,0.000000,0.000000,events/second
1596598200,143,0.648554,0.000000,0.000000,0.000000,events/second
1596598203,143,0.639797,0.000000,0.000000,0.000000,events/second
1596598206,143,0.631195,0.000000,0.000000,0.000000,events/second
1596598209,143,0.623090,0.000000,0.000000,0.000000,events/second
1596598212,143,0.615081,0.000000,0.000000,0.000000,events/second
1596598215,143,0.607228,0.000000,0.000000,0.000000,events/second
1596598218,143,0.599605,0.000000,0.000000,0.000000,events/second
1596598221,143,0.592149,0.000000,0.000000,0.000000,events/second
1596598224,143,0.584890,0.000000,0.000000,0.000000,events/second
1596598227,143,0.577217,0.000000,0.000000,0.000000,events/second
1596598230,143,0.570860,0.000000,0.000000,0.000000,events/second
1596598233,143,0.563918,0.000000,0.000000,0.000000,events/second
