t,value
1596597996,536870912
1596597999,536870912
1596598002,536870912
1596598005,536870912
1596598008,536870912
1596598011,536870912
1596598014,536870912
1596598017,536870912
1596598020,536870912
1596598023,536870912
1596598026,536870912
1596598029,536870912
1596598032,536870912
1596598035,536870912
1596598038,536870912
1596598041,536870912
1596598044,536870912
1596598047,536870912
1596598050,536870912
1596598053,536870912
1596598056,536870912
1596598059,536870912
1596598062,536870912
1596598065,536870912
1596598068,536870912
1596598071,536870912
1596598074,536870912
1596598077,536870912
1596598080,536870912
1596598083,536870912
1596598086,536870912
1596598089,536870912
1596598092,536870912
1596598095,536870912
1596598098,536870912
1596598101,536870912
1596598104,536870912
1596598107,536870912
1596598110,536870912
1596598113,536870912
1596598116,536870912
1596598119,536870912
1596598122,536870912
1596598125,536870912
1596598128,536870912
1596598131,536870912
1596598134,536870912
1596598137,536870912
1596598140,536870912
1596598143,536870912
1596598146,536870912
1596598149,536870912
1596598152,536870912
1596598155,536870912
1596598158,536870912
1596598161,536870912
1596598164,536870912
1596598167,536870912
1596598170,536870912
1596598173,536870912
1596598176,536870912
1596598179,536870912
1596598182,536870912
1596598185,536870912
1596598188,536870912
1596598191,536870912
1596598194,536870912
1596598197,536870912
1596598200,536870912
1596598203,536870912
1596598206,536870912
1596598209,536870912
1596598212,536870912
1596598215,536870912
1596598218,536870912
1596598221,536870912
1596598224,536870912
1596598227,536870912
1596598230,536870912
1596598233,536870912
1596598236,536870912
1596598239,536870912
1596598242,536870912
1596598245,536870912
1596598248,536870912
1596598251,536870912
1596598254,536870912
1596598257,536870912
1596598260,536870912
1596598263,536870912
1596598266,536870912
1596598269,536870912
1596598272,536870912
1596598275,536870912
1596598278,536870912
1596598281,536870912
t,value
1596598558,536870912
1596598561,536870912
1596598564,536870912
1596598567,536870912
1596598570,536870912
1596598573,536870912
1596598576,536870912
1596598579,536870912
1596598582,536870912
1596598585,536870912
1596598588,536870912
1596598591,536870912
1596598594,536870912
t,value
1596677242,536870912
1596677245,536870912
1596677248,536870912
1596677251,536870912
1596677254,536870912
1596677257,536870912
1596677260,536870912
1596677263,536870912
1596677266,536870912
1596677269,536870912
1596677272,536870912
1596677275,536870912
1596677278,536870912
1596677281,536870912
1596677284,536870912
1596677287,536870912
1596677290,536870912
1596677293,536870912
1596677296,536870912
1596677299,536870912
1596677302,536870912
1596677305,536870912
1596677308,536870912
1596677311,536870912
1596677314,536870912
1596677317,536870912
1596677320,536870912
1596677323,536870912
1596677326,536870912
1596677329,536870912
1596677332,536870912
1596677335,536870912
1596677338,536870912
1596677341,536870912
1596677344,536870912
1596677347,536870912
1596677350,536870912
1596677353,536870912
1596677356,536870912
1596677359,536870912
1596677362,536870912
1596677365,536870912
1596677368,536870912
1596677371,536870912
1596677374,536870912
1596677377,536870912
1596677380,536870912
1596677383,536870912
1596677386,536870912
1596677389,536870912
1596677392,536870912
1596677395,536870912
1596677398,536870912
1596677401,536870912
1596677404,536870912
1596677407,536870912
1596677410,536870912
1596677413,536870912
1596677416,536870912
1596677419,536870912
1596677422,536870912
1596677425,536870912
1596677428,536870912
1596677431,536870912
1596677434,536870912
1596677437,536870912
1596677440,536870912
1596677443,536870912
1596677446,536870912
1596677449,536870912
1596677452,536870912
1596677455,536870912
1596677458,536870912
1596677461,536870912
1596677464,536870912
1596677467,536870912
1596677470,536870912
1596677473,536870912
1596677476,536870912
1596677479,536870912
1596677482,536870912
1596677485,536870912
1596677488,536870912
1596677491,536870912
1596677494,536870912
1596677497,536870912
1596677500,536870912
1596677503,536870912
1596677506,536870912
1596677509,536870912
1596677512,536870912
1596677515,536870912
1596677518,536870912
1596677521,536870912
1596677524,536870912
1596677527,536870912
1596677530,536870912
1596677533,536870912
1596677536,536870912
1596677539,536870912
1596677542,536870912
1596677545,536870912
1596677548,536870912
1596677551,536870912
1596677554,536870912
1596677557,536870912
1596677560,536870912
1596677563,536870912
1596677566,536870912
1596677569,536870912
1596677572,536870912
1596677575,536870912
1596677578,536870912
1596677581,536870912
1596677584,536870912
1596677587,536870912
1596677590,536870912
1596677593,536870912
1596677596,536870912
1596677599,536870912
1596677602,536870912
1596677605,536870912
1596677608,536870912
1596677611,536870912
1596677614,536870912
1596677617,536870912
1596677620,536870912
1596677623,536870912
1596677626,536870912
1596677629,536870912
1596677632,536870912
1596677635,536870912
1596677638,536870912
1596677641,536870912
1596677644,536870912
1596677647,536870912
1596677650,536870912
1596677653,536870912
1596677656,536870912
1596677659,536870912
1596677662,536870912
1596677665,536870912
1596677668,536870912
1596677671,536870912
1596677674,536870912
1596677677,536870912
1596677680,536870912
1596677683,536870912
1596677686,536870912
1596677689,536870912
1596677692,536870912
1596677695,536870912
1596677698,536870912
1596677701,536870912
1596677704,536870912
1596677707,536870912
1596677710,536870912
1596677713,536870912
1596677716,536870912
1596677719,536870912
1596677722,536870912
1596677725,536870912
1596677728,536870912
1596677731,536870912
1596677734,536870912
1596677737,536870912
1596677740,536870912
1596677743,536870912
1596677746,536870912
1596677749,536870912
1596677752,536870912
1596677755,536870912
1596677758,536870912
1596677761,536870912
1596677764,536870912
1596677767,536870912
1596677770,536870912
1596677773,536870912
1596677776,536870912
1596677779,536870912
1596677782,536870912
1596677785,536870912
1596677788,536870912
1596677791,536870912
1596677794,536870912
1596677797,536870912
1596677800,536870912
1596677803,536870912
1596677806,536870912
1596677809,536870912
1596677812,536870912
1596677815,536870912
1596677818,536870912
1596677821,536870912
1596677824,536870912
1596677827,536870912
1596677830,536870912
1596677833,536870912
1596677836,536870912
1596677839,536870912
1596677842,536870912
1596677845,536870912
1596677848,536870912
1596677851,536870912
1596677854,536870912
1596677857,536870912
1596677860,536870912
1596677863,536870912
1596677866,536870912
1596677869,536870912
1596677872,536870912
1596677875,536870912
1596677878,536870912
1596677881,536870912
1596677884,536870912
1596677887,536870912
1596677890,536870912
1596677893,536870912
1596677896,536870912
1596677899,536870912
1596677902,536870912
1596677905,536870912
1596677908,536870912
1596677911,536870912
1596677914,536870912
1596677917,536870912
1596677920,536870912
1596677923,536870912
1596677926,536870912
1596677929,536870912
1596677932,536870912
1596677935,536870912
1596677938,536870912
1596677941,536870912
1596677944,536870912
1596677947,536870912
1596677950,536870912
1596677953,536870912
1596677956,536870912
1596677959,536870912
1596677962,536870912
1596677965,536870912
1596677968,536870912
1596677971,536870912
1596677974,536870912
1596677977,536870912
1596677980,536870912
1596677983,536870912
1596677986,536870912
1596677989,536870912
1596677992,536870912
1596677995,536870912
1596677998,536870912
1596678001,536870912
1596678004,536870912
1596678007,536870912
1596678010,536870912
1596678013,536870912
1596678016,536870912
1596678019,536870912
1596678022,536870912
1596678025,536870912
1596678028,536870912
1596678031,536870912
1596678034,536870912
1596678037,536870912
1596678040,536870912
1596678043,536870912
1596678046,536870912
1596678049,536870912
1596678052,536870912
1596678055,536870912
1596678058,536870912
1596678061,536870912
1596678064,536870912
1596678067,536870912
1596678070,536870912
1596678073,536870912
1596678076,536870912
1596678079,536870912
1596678082,536870912
1596678085,536870912
1596678088,536870912
1596678091,536870912
1596678094,536870912
1596678097,536870912
1596678100,536870912
1596678103,536870912
1596678106,536870912
1596678109,536870912
1596678112,536870912
1596678115,536870912
1596678118,536870912
1596678121,536870912
1596678124,536870912
1596678127,536870912
1596678130,536870912
1596678133,536870912
1596678136,536870912
1596678139,536870912
1596678142,536870912
1596678145,536870912
1596678148,536870912
1596678151,536870912
1596678154,536870912
1596678157,536870912
1596678160,536870912
1596678163,536870912
1596678166,536870912
1596678169,536870912
1596678172,536870912
1596678175,536870912
1596678178,536870912
1596678181,536870912
1596678184,536870912
1596678187,536870912
1596678190,536870912
1596678193,536870912
1596678196,536870912
1596678199,536870912
1596678202,536870912
1596678205,536870912
1596678208,536870912
1596678211,536870912
1596678214,536870912
1596678217,536870912
1596678220,536870912
1596678223,536870912
1596678226,536870912
1596678229,536870912
1596678232,536870912
1596678235,536870912
1596678238,536870912
1596678241,536870912
1596678244,536870912
1596678247,536870912
1596678250,536870912
1596678253,536870912
1596678256,536870912
1596678259,536870912
1596678262,536870912
1596678265,536870912
1596678268,536870912
1596678271,536870912
1596678274,536870912
1596678277,536870912
1596678280,536870912
1596678283,536870912
1596678286,536870912
1596678289,536870912
1596678292,536870912
1596678295,536870912
1596678298,536870912
1596678301,536870912
1596678304,536870912
1596678307,536870912
1596678310,536870912
1596678313,536870912
1596678316,536870912
1596678319,536870912
1596678322,536870912
1596678325,536870912
1596678328,536870912
1596678331,536870912
1596678334,536870912
1596678337,536870912
1596678340,536870912
1596678343,536870912
1596678346,536870912
1596678349,536870912
1596678352,536870912
1596678355,536870912
1596678358,536870912
1596678361,536870912
1596678364,536870912
1596678367,536870912
1596678370,536870912
1596678373,536870912
1596678376,536870912
1596678379,536870912
1596678382,536870912
1596678385,536870912
1596678388,536870912
1596678391,536870912
1596678394,536870912
1596678397,536870912
1596678400,536870912
1596678403,536870912
1596678406,536870912
1596678409,536870912
1596678412,536870912
1596678415,536870912
1596678418,536870912
1596678421,536870912
1596678424,536870912
1596678427,536870912
1596678430,536870912
1596678433,536870912
1596678436,536870912
1596678439,536870912
1596678442,536870912
1596678445,536870912
1596678448,536870912
1596678451,536870912
1596678454,536870912
1596678457,536870912
1596678460,536870912
1596678463,536870912
1596678466,536870912
1596678469,536870912
1596678472,536870912
1596678475,536870912
1596678478,536870912
1596678481,536870912
1596678484,536870912
1596678487,536870912
1596678490,536870912
1596678493,536870912
1596678496,536870912
1596678499,536870912
1596678502,536870912
1596678505,536870912
1596678508,536870912
1596678511,536870912
1596678514,536870912
1596678517,536870912
1596678520,536870912
1596678523,536870912
1596678526,536870912
1596678529,536870912
1596678532,536870912
1596678535,536870912
1596678538,536870912
1596678541,536870912
1596678544,536870912
1596678547,536870912
1596678550,536870912
1596678553,536870912
1596678556,536870912
1596678559,536870912
1596678562,536870912
1596678565,536870912
1596678568,536870912
1596678571,536870912
1596678574,536870912
1596678577,536870912
1596678580,536870912
1596678583,536870912
1596678586,536870912
1596678589,536870912
1596678592,536870912
1596678595,536870912
1596678598,536870912
1596678601,536870912
1596678604,536870912
1596678607,536870912
1596678610,536870912
1596678613,536870912
1596678616,536870912
1596678619,536870912
1596678622,536870912
1596678625,536870912
1596678628,536870912
1596678631,536870912
1596678634,536870912
1596678637,536870912
1596678640,536870912
1596678643,536870912
1596678646,536870912
1596678649,536870912
1596678652,536870912
1596678655,536870912
1596678658,536870912
1596678661,536870912
1596678664,536870912
1596678667,536870912
1596678670,536870912
1596678673,536870912
1596678676,536870912
1596678679,536870912
1596678682,536870912
1596678685,536870912
1596678688,536870912
1596678691,536870912
1596678694,536870912
1596678697,536870912
1596678700,536870912
1596678703,536870912
1596678706,536870912
1596678709,536870912
1596678712,536870912
1596678715,536870912
1596678718,536870912
1596678721,536870912
1596678724,536870912
1596678727,536870912
1596678730,536870912
1596678733,536870912
1596678736,536870912
1596678739,536870912
1596678742,536870912
1596678745,536870912
1596678748,536870912
1596678751,536870912
1596678754,536870912
1596678757,536870912
1596678760,536870912
1596678763,536870912
1596678766,536870912
1596678769,536870912
1596678772,536870912
1596678775,536870912
1596678778,536870912
1596678781,536870912
1596678784,536870912
1596678787,536870912
1596678790,536870912
1596678793,536870912
1596678796,536870912
1596678799,536870912
1596678802,536870912
1596678805,536870912
1596678808,536870912
1596678811,536870912
1596678814,536870912
1596678817,536870912
1596678820,536870912
1596678823,536870912
1596678826,536870912
1596678829,536870912
1596678832,536870912
1596678835,536870912
1596678838,536870912
1596678841,536870912
1596678844,536870912
1596678847,536870912
1596678850,536870912
1596678853,536870912
1596678856,536870912
1596678859,536870912
1596678862,536870912
1596678865,536870912
1596678868,536870912
1596678871,536870912
1596678874,536870912
1596678877,536870912
1596678880,536870912
1596678883,536870912
1596678886,536870912
1596678889,536870912
1596678892,536870912
1596678895,536870912
1596678898,536870912
1596678901,536870912
1596678904,536870912
1596678907,536870912
1596678910,536870912
1596678913,536870912
1596678916,536870912
1596678919,536870912
1596678922,536870912
1596678925,536870912
1596678928,536870912
1596678931,536870912
1596678934,536870912
1596678937,536870912
1596678940,536870912
1596678943,536870912
1596678946,536870912
1596678949,536870912
1596678952,536870912
1596678955,536870912
1596678958,536870912
1596678961,536870912
1596678964,536870912
1596678967,536870912
1596678970,536870912
1596678973,536870912
1596678976,536870912
1596678979,536870912
1596678982,536870912
1596678985,536870912
1596678988,536870912
1596678991,536870912
1596678994,536870912
1596678997,536870912
1596679000,536870912
1596679003,536870912
1596679006,536870912
1596679009,536870912
1596679012,536870912
1596679015,536870912
1596679018,536870912
1596679021,536870912
1596679024,536870912
1596679027,536870912
1596679030,536870912
1596679033,536870912
1596679036,536870912
1596679039,536870912
1596679042,536870912
1596679045,536870912
1596679048,536870912
1596679051,536870912
1596679054,536870912
1596679057,536870912
1596679060,536870912
1596679063,536870912
1596679066,536870912
1596679069,536870912
1596679072,536870912
1596679075,536870912
1596679078,536870912
1596679081,536870912
1596679084,536870912
1596679087,536870912
1596679090,536870912
1596679093,536870912
1596679096,536870912
1596679099,536870912
1596679102,536870912
1596679105,536870912
1596679108,536870912
1596679111,536870912
1596679114,536870912
1596679117,536870912
1596679120,536870912
1596679123,536870912
1596679126,536870912
1596679129,536870912
1596679132,536870912
1596679135,536870912
1596679138,536870912
1596679141,536870912
1596679144,536870912
1596679147,536870912
1596679150,536870912
1596679153,536870912
1596679156,536870912
1596679159,536870912
1596679162,536870912
1596679165,536870912
1596679168,536870912
1596679171,536870912
1596679174,536870912
1596679177,536870912
1596679180,536870912
1596679183,536870912
1596679186,536870912
1596679189,536870912
1596679192,536870912
1596679195,536870912
1596679198,536870912
1596679201,536870912
1596679204,536870912
1596679207,536870912
1596679210,536870912
1596679213,536870912
1596679216,536870912
1596679219,536870912
1596679222,536870912
1596679225,536870912
1596679228,536870912
1596679231,536870912
1596679234,536870912
1596679237,536870912
1596679240,536870912
1596679243,536870912
1596679246,536870912
1596679249,536870912
1596679252,536870912
1596679255,536870912
1596679258,536870912
1596679261,536870912
1596679264,536870912
1596679267,536870912
1596679270,536870912
1596679273,536870912
1596679276,536870912
1596679279,536870912
1596679282,536870912
1596679285,536870912
1596679288,536870912
1596679291,536870912
1596679294,536870912
1596679297,536870912
1596679300,536870912
1596679303,536870912
1596679306,536870912
1596679309,536870912
1596679312,536870912
1596679315,536870912
1596679318,536870912
1596679321,536870912
1596679324,536870912
1596679327,536870912
1596679330,536870912
1596679333,536870912
1596679336,536870912
1596679339,536870912
1596679342,536870912
1596679345,536870912
1596679348,536870912
1596679351,536870912
1596679354,536870912
1596679357,536870912
1596679360,536870912
1596679363,536870912
1596679366,536870912
1596679369,536870912
1596679372,536870912
1596679375,536870912
1596679378,536870912
1596679381,536870912
1596679384,536870912
1596679387,536870912
1596679390,536870912
1596679393,536870912
1596679396,536870912
1596679399,536870912
1596679402,536870912
1596679405,536870912
1596679408,536870912
1596679411,536870912
1596679414,536870912
1596679417,536870912
1596679420,536870912
1596679423,536870912
1596679426,536870912
1596679429,536870912
1596679432,536870912
1596679435,536870912
1596679438,536870912
1596679441,536870912
1596679444,536870912
1596679447,536870912
1596679450,536870912
1596679453,536870912
1596679456,536870912
1596679459,536870912
1596679462,536870912
1596679465,536870912
1596679468,536870912
1596679471,536870912
1596679474,536870912
1596679477,536870912
1596679480,536870912
1596679483,536870912
1596679486,536870912
1596679489,536870912
1596679492,536870912
1596679495,536870912
1596679498,536870912
1596679501,536870912
1596679504,536870912
1596679507,536870912
1596679510,536870912
1596679513,536870912
1596679516,536870912
1596679519,536870912
1596679522,536870912
