t,value
1596597996,0.0
1596597999,1.0
1596598002,1.0
1596598005,1.0
1596598008,1.0
1596598011,1.0
1596598014,1.0
1596598017,1.0
1596598020,1.0
1596598023,1.0
1596598026,1.0
1596598029,1.0
1596598032,1.0
1596598035,1.0
1596598038,1.0
1596598041,1.0
1596598044,1.0
1596598047,1.0
1596598050,1.0
1596598053,1.0
1596598056,1.0
1596598059,1.0
1596598062,1.0
1596598065,1.0
1596598068,1.0
1596598071,1.0
1596598074,1.0
1596598077,1.0
1596598080,1.0
1596598083,1.0
1596598086,1.0
1596598089,1.0
1596598092,1.0
1596598095,1.0
1596598098,1.0
1596598101,1.0
1596598104,1.0
1596598107,1.0
1596598110,1.0
1596598113,1.0
1596598116,1.0
1596598119,1.0
1596598122,1.0
1596598125,1.0
1596598128,1.0
1596598131,1.0
1596598134,1.0
1596598137,1.0
1596598140,1.0
1596598143,1.0
1596598146,1.0
1596598149,1.0
1596598152,1.0
1596598155,1.0
1596598158,1.0
1596598161,1.0
1596598164,1.0
1596598167,1.0
1596598170,1.0
1596598173,1.0
1596598176,1.0
1596598179,1.0
1596598182,1.0
1596598185,1.0
1596598188,1.0
1596598191,1.0
1596598194,1.0
1596598197,1.0
1596598200,1.0
1596598203,1.0
1596598206,1.0
1596598209,1.0
1596598212,1.0
1596598215,1.0
1596598218,1.0
1596598221,1.0
1596598224,1.0
1596598227,1.0
1596598230,1.0
1596598233,1.0
1596598236,1.0
1596598239,1.0
1596598242,1.0
1596598245,1.0
1596598248,1.0
1596598251,1.0
1596598254,1.0
1596598257,1.0
1596598260,1.0
1596598263,1.0
1596598266,1.0
1596598269,1.0
1596598272,1.0
1596598275,1.0
1596598278,1.0
1596598281,1.0
t,value
1596598558,0.0
1596598561,1.0
1596598564,1.0
1596598567,1.0
1596598570,1.0
1596598573,1.0
1596598576,1.0
1596598579,1.0
1596598582,1.0
1596598585,1.0
1596598588,1.0
1596598591,1.0
1596598594,1.0
