t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,95,5.263431,0.000000,0.000000,0.000000,events/second
1596597999,95,4.819398,0.000000,0.000000,0.000000,events/second
1596598002,95,4.209650,0.000000,0.000000,0.000000,events/second
1596598005,98,3.809820,0.000000,0.000000,0.000000,events/second
1596598008,98,3.413107,0.000000,0.000000,0.000000,events/second
1596598011,98,3.101068,0.000000,0.000000,0.000000,events/second
1596598014,98,2.830009,0.000000,0.000000,0.000000,events/second
1596598017,98,2.603550,0.000000,0.000000,0.000000,events/second
1596598020,98,2.418150,0.000000,0.000000,0.000000,events/second
1596598023,98,2.250904,0.000000,0.000000,0.000000,events/second
1596598026,98,2.106102,0.000000,0.000000,0.000000,events/second
1596598029,98,1.977913,0.000000,0.000000,0.000000,events/second
1596598032,98,1.864941,0.000000,0.000000,0.000000,events/second
1596598035,98,1.765396,0.000000,0.000000,0.000000,events/second
1596598038,98,1.674905,0.000000,0.000000,0.000000,events/second
1596598041,98,1.593081,0.000000,0.000000,0.000000,events/second
1596598044,98,1.517768,0.000000,0.000000,0.000000,events/second
1596598047,98,1.451252,0.000000,0.000000,0.000000,events/second
1596598050,98,1.389965,0.000000,0.000000,0.000000,events/second
1596598053,98,1.331598,0.000000,0.000000,0.000000,events/second
1596598056,98,1.280627,0.000000,0.000000,0.000000,events/second
1596598059,98,1.232196,0.000000,0.000000,0.000000,events/second
1596598062,98,1.187597,0.000000,0.000000,0.000000,events/second
1596598065,98,1.146000,0.000000,0.000000,0.000000,events/second
1596598068,98,1.107137,0.000000,0.000000,0.000000,events/second
1596598071,98,1.070809,0.000000,0.000000,0.000000,events/second
1596598074,98,1.036791,0.000000,0.000000,0.000000,events/second
1596598077,98,1.005045,0.000000,0.000000,0.000000,events/second
1596598080,98,0.974889,0.000000,0.000000,0.000000,events/second
1596598083,98,0.946712,0.000000,0.000000,0.000000,events/second
1596598086,98,0.920042,0.000000,0.000000,0.000000,events/second
1596598089,98,0.894789,0.000000,0.000000,0.000000,events/second
1596598092,98,0.870941,0.000000,0.000000,0.000000,events/second
1596598095,98,0.848381,0.000000,0.000000,0.000000,events/second
1596598098,98,0.826920,0.000000,0.000000,0.000000,events/second
1596598101,98,0.806630,0.000000,0.000000,0.000000,events/second
1596598104,98,0.786997,0.000000,0.000000,0.000000,events/second
1596598107,98,0.768555,0.000000,0.000000,0.000000,events/second
1596598110,98,0.750734,0.000000,0.000000,0.000000,events/second
1596598113,98,0.733952,0.000000,0.000000,0.000000,events/second
1596598116,98,0.717992,0.000000,0.000000,0.000000,events/second
1596598119,98,0.702526,0.000000,0.000000,0.000000,events/second
1596598122,98,0.687675,0.000000,0.000000,0.000000,events/second
1596598125,98,0.673485,0.000000,0.000000,0.000000,events/second
1596598128,98,0.659847,0.000000,0.000000,0.000000,events/second
1596598131,98,0.646833,0.000000,0.000000,0.000000,events/second
1596598134,98,0.634234,0.000000,0.000000,0.000000,events/second
1596598137,98,0.622177,0.000000,0.000000,0.000000,events/second
1596598140,98,0.610647,0.000000,0.000000,0.000000,events/second
1596598143,98,0.598855,0.000000,0.000000,0.000000,events/second
1596598146,98,0.587869,0.000000,0.000000,0.000000,events/second
1596598149,98,0.578105,0.000000,0.000000,0.000000,events/second
1596598152,98,0.568074,0.000000,0.000000,0.000000,events/second
1596598155,98,0.558389,0.000000,0.000000,0.000000,events/second
1596598158,98,0.548994,0.000000,0.000000,0.000000,events/second
1596598161,98,0.539939,0.000000,0.000000,0.000000,events/second
1596598164,98,0.531136,0.000000,0.000000,0.000000,events/second
1596598167,98,0.522421,0.000000,0.000000,0.000000,events/second
1596598170,98,0.514190,0.000000,0.000000,0.000000,events/second
1596598173,98,0.506337,0.000000,0.000000,0.000000,events/second
1596598176,98,0.498714,0.000000,0.000000,0.000000,events/second
1596598179,98,0.491209,0.000000,0.000000,0.000000,events/second
1596598182,98,0.483583,0.000000,0.000000,0.000000,events/second
1596598185,98,0.476753,0.000000,0.000000,0.000000,events/second
1596598188,98,0.469193,0.000000,0.000000,0.000000,events/second
1596598191,98,0.463294,0.000000,0.000000,0.000000,events/second
1596598194,98,0.456725,0.000000,0.000000,0.000000,events/second
1596598197,98,0.450557,0.000000,0.000000,0.000000,events/second
1596598200,98,0.444465,0.000000,0.000000,0.000000,events/second
1596598203,98,0.438463,0.000000,0.000000,0.000000,events/second
1596598206,98,0.432568,0.000000,0.000000,0.000000,events/second
1596598209,98,0.427013,0.000000,0.000000,0.000000,events/second
1596598212,98,0.421525,0.000000,0.000000,0.000000,events/second
1596598215,98,0.416143,0.000000,0.000000,0.000000,events/second
1596598218,98,0.410919,0.000000,0.000000,0.000000,events/second
1596598221,98,0.405810,0.000000,0.000000,0.000000,events/second
1596598224,98,0.400835,0.000000,0.000000,0.000000,events/second
1596598227,98,0.395575,0.000000,0.000000,0.000000,events/second
1596598230,98,0.391219,0.000000,0.000000,0.000000,events/second
1596598233,98,0.386462,0.000000,0.000000,0.000000,events/second
1596598236,98,0.382064,0.000000,0.000000,0.000000,events/second
1596598239,98,0.377662,0.000000,0.000000,0.000000,events/second
1596598242,98,0.373323,0.000000,0.000000,0.000000,events/second
1596598245,98,0.369092,0.000000,0.000000,0.000000,events/second
1596598248,98,0.364980,0.000000,0.000000,0.000000,events/second
1596598251,98,0.360918,0.000000,0.000000,0.000000,events/second
1596598254,98,0.356997,0.000000,0.000000,0.000000,events/second
1596598257,98,0.353134,0.000000,0.000000,0.000000,events/second
1596598260,98,0.349394,0.000000,0.000000,0.000000,events/second
1596598263,98,0.345637,0.000000,0.000000,0.000000,events/second
1596598266,98,0.342033,0.000000,0.000000,0.000000,events/second
1596598269,98,0.338523,0.000000,0.000000,0.000000,events/second
1596598272,98,0.335015,0.000000,0.000000,0.000000,events/second
1596598275,98,0.331636,0.000000,0.000000,0.000000,events/second
1596598278,98,0.328303,0.000000,0.000000,0.000000,events/second
1596598281,98,0.325010,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,7,0.967546,0.000000,0.000000,0.000000,events/second
1596598561,7,0.751122,0.000000,0.000000,0.000000,events/second
1596598564,8,0.655157,0.000000,0.000000,0.000000,events/second
1596598567,10,0.659058,0.000000,0.000000,0.000000,events/second
1596598570,10,0.545516,0.000000,0.000000,0.000000,events/second
1596598573,10,0.470493,0.000000,0.000000,0.000000,events/second
1596598576,10,0.413341,0.000000,0.000000,0.000000,events/second
1596598579,10,0.368450,0.000000,0.000000,0.000000,events/second
1596598582,11,0.365225,0.000000,0.000000,0.000000,events/second
1596598585,18,0.538303,0.000000,0.000000,0.000000,events/second
1596598588,20,0.553532,0.000000,0.000000,0.000000,events/second
1596598591,22,0.561982,0.000000,0.000000,0.000000,events/second
1596598594,22,0.522153,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,7,0.829002,0.000000,0.000000,0.000000,events/second
1596677245,7,0.705854,0.000000,0.000000,0.000000,events/second
1596677248,8,0.625416,0.000000,0.000000,0.000000,events/second
1596677251,10,0.632517,0.000000,0.000000,0.000000,events/second
1596677254,10,0.532586,0.000000,0.000000,0.000000,events/second
1596677257,10,0.457737,0.000000,0.000000,0.000000,events/second
1596677260,10,0.402451,0.000000,0.000000,0.000000,events/second
1596677263,10,0.360644,0.000000,0.000000,0.000000,events/second
1596677266,11,0.355951,0.000000,0.000000,0.000000,events/second
1596677269,19,0.556890,0.000000,0.000000,0.000000,events/second
1596677272,22,0.598931,0.000000,0.000000,0.000000,events/second
1596677275,22,0.553237,0.000000,0.000000,0.000000,events/second
1596677278,22,0.514589,0.000000,0.000000,0.000000,events/second
1596677281,22,0.480860,0.000000,0.000000,0.000000,events/second
1596677284,22,0.451496,0.000000,0.000000,0.000000,events/second
1596677287,25,0.483387,0.000000,0.000000,0.000000,events/second
1596677290,25,0.456919,0.000000,0.000000,0.000000,events/second
1596677293,25,0.432898,0.000000,0.000000,0.000000,events/second
