t,value
1596597996,80
1596597999,80
1596598002,80
1596598005,80
1596598008,80
1596598011,80
1596598014,80
1596598017,80
1596598020,80
1596598023,80
1596598026,80
1596598029,80
1596598032,80
1596598035,80
1596598038,80
1596598041,80
1596598044,80
1596598047,80
1596598050,80
1596598053,80
1596598056,80
1596598059,80
1596598062,80
1596598065,80
1596598068,80
1596598071,80
1596598074,80
1596598077,80
1596598080,80
1596598083,80
1596598086,80
1596598089,80
1596598092,80
1596598095,80
1596598098,80
1596598101,80
1596598104,80
1596598107,80
1596598110,80
1596598113,80
1596598116,80
1596598119,80
1596598122,80
1596598125,80
1596598128,80
1596598131,80
1596598134,80
1596598137,80
1596598140,80
1596598143,80
1596598146,80
1596598149,80
1596598152,80
1596598155,80
1596598158,80
1596598161,80
1596598164,80
1596598167,80
1596598170,80
1596598173,80
1596598176,80
1596598179,80
1596598182,80
1596598185,80
1596598188,80
1596598191,80
1596598194,80
1596598197,80
1596598200,80
1596598203,80
1596598206,80
1596598209,80
1596598212,80
1596598215,80
1596598218,80
1596598221,80
1596598224,80
1596598227,80
1596598230,80
1596598233,80
1596598236,80
1596598239,80
1596598242,80
1596598245,80
1596598248,80
1596598251,80
1596598254,80
1596598257,80
1596598260,80
1596598263,80
1596598266,80
1596598269,80
1596598272,80
1596598275,80
1596598278,80
1596598281,80
t,value
1596598558,80
1596598561,80
1596598564,80
1596598567,80
1596598570,80
1596598573,80
1596598576,80
1596598579,80
1596598582,80
1596598585,80
1596598588,80
1596598591,80
1596598594,80
t,value
1596677242,80
1596677245,80
1596677248,80
1596677251,80
1596677254,80
1596677257,80
1596677260,80
1596677263,80
1596677266,80
1596677269,80
1596677272,80
1596677275,80
1596677278,80
1596677281,80
1596677284,80
1596677287,80
1596677290,80
1596677293,80
1596677296,80
1596677299,80
1596677302,80
1596677305,80
1596677308,80
1596677311,80
1596677314,80
1596677317,80
1596677320,80
1596677323,80
1596677326,80
1596677329,80
1596677332,80
1596677335,80
1596677338,80
1596677341,80
1596677344,80
1596677347,80
1596677350,80
1596677353,80
1596677356,80
1596677359,80
1596677362,80
1596677365,80
1596677368,80
1596677371,80
1596677374,80
1596677377,80
1596677380,80
1596677383,80
1596677386,80
1596677389,80
1596677392,80
1596677395,80
1596677398,80
1596677401,80
1596677404,80
1596677407,80
1596677410,80
1596677413,80
1596677416,80
1596677419,80
1596677422,80
1596677425,80
1596677428,80
1596677431,80
1596677434,80
1596677437,80
1596677440,80
1596677443,80
1596677446,80
1596677449,80
1596677452,80
1596677455,80
1596677458,80
1596677461,80
1596677464,80
1596677467,80
1596677470,80
1596677473,80
1596677476,80
1596677479,80
1596677482,80
1596677485,80
1596677488,80
1596677491,80
1596677494,80
1596677497,80
1596677500,80
1596677503,80
1596677506,80
1596677509,80
1596677512,80
1596677515,80
1596677518,80
1596677521,80
1596677524,80
1596677527,80
1596677530,80
1596677533,80
1596677536,80
1596677539,80
1596677542,80
1596677545,80
1596677548,80
1596677551,80
1596677554,80
1596677557,80
1596677560,80
1596677563,80
1596677566,80
1596677569,80
1596677572,80
1596677575,80
1596677578,80
1596677581,80
1596677584,80
1596677587,80
1596677590,80
1596677593,80
1596677596,80
1596677599,80
1596677602,80
1596677605,80
1596677608,80
1596677611,80
1596677614,80
1596677617,80
1596677620,80
1596677623,80
1596677626,80
1596677629,80
1596677632,80
1596677635,80
1596677638,80
1596677641,80
1596677644,80
1596677647,80
1596677650,80
1596677653,80
1596677656,80
1596677659,80
1596677662,80
1596677665,80
1596677668,80
1596677671,80
1596677674,80
1596677677,80
1596677680,80
1596677683,80
1596677686,80
1596677689,80
1596677692,80
1596677695,80
1596677698,80
1596677701,80
1596677704,80
1596677707,80
1596677710,80
1596677713,80
1596677716,80
1596677719,80
1596677722,80
1596677725,80
1596677728,80
1596677731,80
1596677734,80
1596677737,80
1596677740,80
1596677743,80
1596677746,80
1596677749,80
1596677752,80
1596677755,80
1596677758,80
1596677761,80
1596677764,80
1596677767,80
1596677770,80
1596677773,80
1596677776,80
1596677779,80
1596677782,80
1596677785,80
1596677788,80
1596677791,80
1596677794,80
1596677797,80
1596677800,80
1596677803,80
1596677806,80
1596677809,80
1596677812,80
1596677815,80
1596677818,80
1596677821,80
1596677824,80
1596677827,80
1596677830,80
1596677833,80
1596677836,80
1596677839,80
1596677842,80
1596677845,80
1596677848,80
1596677851,80
1596677854,80
1596677857,80
1596677860,80
1596677863,80
1596677866,80
1596677869,80
1596677872,80
1596677875,80
1596677878,80
1596677881,80
1596677884,80
1596677887,80
1596677890,80
1596677893,80
1596677896,80
1596677899,80
1596677902,80
1596677905,80
1596677908,80
1596677911,80
1596677914,80
1596677917,80
1596677920,80
1596677923,80
1596677926,80
1596677929,80
1596677932,80
1596677935,80
1596677938,80
1596677941,80
1596677944,80
1596677947,80
1596677950,80
1596677953,80
1596677956,80
1596677959,80
1596677962,80
1596677965,80
1596677968,80
1596677971,80
1596677974,80
1596677977,80
1596677980,80
1596677983,80
1596677986,80
1596677989,80
1596677992,80
1596677995,80
1596677998,80
1596678001,80
1596678004,80
1596678007,80
1596678010,80
1596678013,80
1596678016,80
1596678019,80
1596678022,80
1596678025,80
1596678028,80
1596678031,80
1596678034,80
1596678037,80
1596678040,80
1596678043,80
1596678046,80
1596678049,80
1596678052,80
1596678055,80
1596678058,80
1596678061,80
1596678064,80
1596678067,80
1596678070,80
1596678073,80
1596678076,80
1596678079,80
1596678082,80
1596678085,80
1596678088,80
1596678091,80
1596678094,80
1596678097,80
1596678100,80
1596678103,80
1596678106,80
1596678109,80
1596678112,80
1596678115,80
1596678118,80
1596678121,80
1596678124,80
1596678127,80
1596678130,80
1596678133,80
1596678136,80
1596678139,80
1596678142,80
1596678145,80
1596678148,80
1596678151,80
1596678154,80
1596678157,80
1596678160,80
1596678163,80
1596678166,80
1596678169,80
1596678172,80
1596678175,80
1596678178,80
1596678181,80
1596678184,80
1596678187,80
1596678190,80
1596678193,80
1596678196,80
1596678199,80
1596678202,80
1596678205,80
1596678208,80
1596678211,80
1596678214,80
1596678217,80
1596678220,80
1596678223,80
1596678226,80
1596678229,80
1596678232,80
1596678235,80
1596678238,80
1596678241,80
1596678244,80
1596678247,80
1596678250,80
1596678253,80
1596678256,80
1596678259,80
1596678262,80
1596678265,80
1596678268,80
1596678271,80
1596678274,80
1596678277,80
1596678280,80
1596678283,80
1596678286,80
1596678289,80
1596678292,80
1596678295,80
1596678298,80
1596678301,80
1596678304,80
1596678307,80
1596678310,80
1596678313,80
1596678316,80
1596678319,80
1596678322,80
1596678325,80
1596678328,80
1596678331,80
1596678334,80
1596678337,80
1596678340,80
1596678343,80
1596678346,80
1596678349,80
1596678352,80
1596678355,80
1596678358,80
1596678361,80
1596678364,80
1596678367,80
1596678370,80
1596678373,80
1596678376,80
1596678379,80
1596678382,80
1596678385,80
1596678388,80
1596678391,80
1596678394,80
1596678397,80
1596678400,80
1596678403,80
1596678406,80
1596678409,80
1596678412,80
1596678415,80
1596678418,80
1596678421,80
1596678424,80
1596678427,80
1596678430,80
1596678433,80
1596678436,80
1596678439,80
1596678442,80
1596678445,80
1596678448,80
1596678451,80
1596678454,80
1596678457,80
1596678460,80
1596678463,80
1596678466,80
1596678469,80
1596678472,80
1596678475,80
1596678478,80
1596678481,80
1596678484,80
1596678487,80
1596678490,80
1596678493,80
1596678496,80
1596678499,80
1596678502,80
1596678505,80
1596678508,80
1596678511,80
1596678514,80
1596678517,80
1596678520,80
1596678523,80
1596678526,80
1596678529,80
1596678532,80
1596678535,80
1596678538,80
1596678541,80
1596678544,80
1596678547,80
1596678550,80
1596678553,80
1596678556,80
1596678559,80
1596678562,80
1596678565,80
1596678568,80
1596678571,80
1596678574,80
1596678577,80
1596678580,80
1596678583,80
1596678586,80
1596678589,80
1596678592,80
1596678595,80
1596678598,80
1596678601,80
1596678604,80
1596678607,80
1596678610,80
1596678613,80
1596678616,80
1596678619,80
1596678622,80
1596678625,80
1596678628,80
1596678631,80
1596678634,80
1596678637,80
1596678640,80
1596678643,80
1596678646,80
1596678649,80
1596678652,80
1596678655,80
1596678658,80
1596678661,80
1596678664,80
1596678667,80
1596678670,80
1596678673,80
1596678676,80
1596678679,80
1596678682,80
1596678685,80
1596678688,80
1596678691,80
1596678694,80
1596678697,80
1596678700,80
1596678703,80
1596678706,80
1596678709,80
1596678712,80
1596678715,80
1596678718,80
1596678721,80
1596678724,80
1596678727,80
1596678730,80
1596678733,80
1596678736,80
1596678739,80
1596678742,80
1596678745,80
1596678748,80
1596678751,80
1596678754,80
1596678757,80
1596678760,80
1596678763,80
1596678766,80
1596678769,80
1596678772,80
1596678775,80
1596678778,80
1596678781,80
1596678784,80
1596678787,80
1596678790,80
1596678793,80
1596678796,80
1596678799,80
1596678802,80
1596678805,80
1596678808,80
1596678811,80
1596678814,80
1596678817,80
1596678820,80
1596678823,80
1596678826,80
1596678829,80
1596678832,80
1596678835,80
1596678838,80
1596678841,80
1596678844,80
1596678847,80
1596678850,80
1596678853,80
1596678856,80
1596678859,80
1596678862,80
1596678865,80
1596678868,80
1596678871,80
1596678874,80
1596678877,80
1596678880,80
1596678883,80
1596678886,80
1596678889,80
1596678892,80
1596678895,80
1596678898,80
1596678901,80
1596678904,80
1596678907,80
1596678910,80
1596678913,80
1596678916,80
1596678919,80
