t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,0,0.000000,0.000000,0.000000,0.000000,events/second
1596597999,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598002,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598005,3,0.248436,0.000000,0.000000,0.000000,events/second
1596598008,3,0.198698,0.000000,0.000000,0.000000,events/second
1596598011,4,0.221955,0.000000,0.000000,0.000000,events/second
1596598014,21,0.998960,0.000000,0.000000,0.000000,events/second
1596598017,21,0.873883,0.000000,0.000000,0.000000,events/second
1596598020,21,0.778909,0.000000,0.000000,0.000000,events/second
1596598023,21,0.700844,0.000000,0.000000,0.000000,events/second
1596598026,21,0.637257,0.000000,0.000000,0.000000,events/second
1596598029,21,0.583667,0.000000,0.000000,0.000000,events/second
1596598032,21,0.538693,0.000000,0.000000,0.000000,events/second
1596598035,21,0.500560,0.000000,0.000000,0.000000,events/second
1596598038,21,0.467165,0.000000,0.000000,0.000000,events/second
1596598041,21,0.437927,0.000000,0.000000,0.000000,events/second
1596598044,21,0.411703,0.000000,0.000000,0.000000,events/second
1596598047,21,0.389147,0.000000,0.000000,0.000000,events/second
1596598050,21,0.368739,0.000000,0.000000,0.000000,events/second
1596598053,21,0.349919,0.000000,0.000000,0.000000,events/second
1596598056,21,0.333484,0.000000,0.000000,0.000000,events/second
1596598059,21,0.318284,0.000000,0.000000,0.000000,events/second
1596598062,21,0.304492,0.000000,0.000000,0.000000,events/second
1596598065,21,0.291817,0.000000,0.000000,0.000000,events/second
1596598068,21,0.280136,0.000000,0.000000,0.000000,events/second
1596598071,21,0.269347,0.000000,0.000000,0.000000,events/second
1596598074,21,0.259357,0.000000,0.000000,0.000000,events/second
1596598077,21,0.250134,0.000000,0.000000,0.000000,events/second
1596598080,21,0.241473,0.000000,0.000000,0.000000,events/second
1596598083,21,0.233424,0.000000,0.000000,0.000000,events/second
1596598086,21,0.225894,0.000000,0.000000,0.000000,events/second
1596598089,21,0.218821,0.000000,0.000000,0.000000,events/second
1596598092,21,0.212188,0.000000,0.000000,0.000000,events/second
1596598095,21,0.205957,0.000000,0.000000,0.000000,events/second
1596598098,21,0.200074,0.000000,0.000000,0.000000,events/second
1596598101,21,0.194548,0.000000,0.000000,0.000000,events/second
1596598104,21,0.189237,0.000000,0.000000,0.000000,events/second
1596598107,21,0.184273,0.000000,0.000000,0.000000,events/second
1596598110,21,0.179514,0.000000,0.000000,0.000000,events/second
1596598113,21,0.175040,0.000000,0.000000,0.000000,events/second
1596598116,21,0.170816,0.000000,0.000000,0.000000,events/second
1596598119,21,0.166747,0.000000,0.000000,0.000000,events/second
1596598122,21,0.162845,0.000000,0.000000,0.000000,events/second
1596598125,21,0.159140,0.000000,0.000000,0.000000,events/second
1596598128,21,0.155596,0.000000,0.000000,0.000000,events/second
1596598131,21,0.152221,0.000000,0.000000,0.000000,events/second
1596598134,21,0.148972,0.000000,0.000000,0.000000,events/second
1596598137,21,0.145874,0.000000,0.000000,0.000000,events/second
1596598140,21,0.142921,0.000000,0.000000,0.000000,events/second
1596598143,21,0.139950,0.000000,0.000000,0.000000,events/second
1596598146,21,0.137177,0.000000,0.000000,0.000000,events/second
1596598149,21,0.134644,0.000000,0.000000,0.000000,events/second
1596598152,21,0.132108,0.000000,0.000000,0.000000,events/second
1596598155,21,0.129667,0.000000,0.000000,0.000000,events/second
1596598158,21,0.127307,0.000000,0.000000,0.000000,events/second
1596598161,21,0.125036,0.000000,0.000000,0.000000,events/second
1596598164,21,0.122837,0.000000,0.000000,0.000000,events/second
1596598167,21,0.120667,0.000000,0.000000,0.000000,events/second
1596598170,21,0.118639,0.000000,0.000000,0.000000,events/second
1596598173,21,0.116677,0.000000,0.000000,0.000000,events/second
1596598176,21,0.114784,0.000000,0.000000,0.000000,events/second
1596598179,21,0.112930,0.000000,0.000000,0.000000,events/second
1596598182,21,0.111069,0.000000,0.000000,0.000000,events/second
1596598185,21,0.109374,0.000000,0.000000,0.000000,events/second
1596598188,21,0.107589,0.000000,0.000000,0.000000,events/second
1596598191,21,0.106078,0.000000,0.000000,0.000000,events/second
1596598194,21,0.104483,0.000000,0.000000,0.000000,events/second
1596598197,21,0.102963,0.000000,0.000000,0.000000,events/second
1596598200,21,0.101479,0.000000,0.000000,0.000000,events/second
1596598203,21,0.100020,0.000000,0.000000,0.000000,events/second
1596598206,21,0.098596,0.000000,0.000000,0.000000,events/second
1596598209,21,0.097247,0.000000,0.000000,0.000000,events/second
1596598212,21,0.095918,0.000000,0.000000,0.000000,events/second
1596598215,21,0.094619,0.000000,0.000000,0.000000,events/second
1596598218,21,0.093359,0.000000,0.000000,0.000000,events/second
1596598221,21,0.092130,0.000000,0.000000,0.000000,events/second
1596598224,21,0.090934,0.000000,0.000000,0.000000,events/second
1596598227,21,0.089682,0.000000,0.000000,0.000000,events/second
1596598230,21,0.088629,0.000000,0.000000,0.000000,events/second
1596598233,21,0.087497,0.000000,0.000000,0.000000,events/second
1596598236,21,0.086438,0.000000,0.000000,0.000000,events/second
1596598239,21,0.085387,0.000000,0.000000,0.000000,events/second
1596598242,21,0.084352,0.000000,0.000000,0.000000,events/second
1596598245,21,0.083345,0.000000,0.000000,0.000000,events/second
1596598248,21,0.082367,0.000000,0.000000,0.000000,events/second
1596598251,21,0.081403,0.000000,0.000000,0.000000,events/second
1596598254,21,0.080473,0.000000,0.000000,0.000000,events/second
1596598257,21,0.079560,0.000000,0.000000,0.000000,events/second
1596598260,21,0.078671,0.000000,0.000000,0.000000,events/second
1596598263,21,0.077782,0.000000,0.000000,0.000000,events/second
1596598266,21,0.076931,0.000000,0.000000,0.000000,events/second
1596598269,21,0.076103,0.000000,0.000000,0.000000,events/second
1596598272,21,0.075277,0.000000,0.000000,0.000000,events/second
1596598275,21,0.074481,0.000000,0.000000,0.000000,events/second
1596598278,21,0.073699,0.000000,0.000000,0.000000,events/second
1596598281,40,0.138906,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,2,0.222759,0.000000,0.000000,0.000000,events/second
1596598567,3,0.251629,0.000000,0.000000,0.000000,events/second
1596598570,3,0.199146,0.000000,0.000000,0.000000,events/second
1596598573,3,0.166646,0.000000,0.000000,0.000000,events/second
1596598576,9,0.428998,0.000000,0.000000,0.000000,events/second
1596598579,21,0.878099,0.000000,0.000000,0.000000,events/second
1596598582,27,1.003280,0.000000,0.000000,0.000000,events/second
1596598585,74,2.458021,0.000000,0.000000,0.000000,events/second
1596598588,87,2.642227,0.000000,0.000000,0.000000,events/second
1596598591,97,2.699906,0.000000,0.000000,0.000000,events/second
1596598594,116,2.980196,0.000000,0.000000,0.000000,events/second
