t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,0,0.000000,0.000000,0.000000,0.000000,events/second
1596597999,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598002,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598005,6,0.496640,0.000000,0.000000,0.000000,events/second
1596598008,6,0.397275,0.000000,0.000000,0.000000,events/second
1596598011,6,0.332856,0.000000,0.000000,0.000000,events/second
1596598014,23,1.093895,0.000000,0.000000,0.000000,events/second
1596598017,23,0.956886,0.000000,0.000000,0.000000,events/second
1596598020,23,0.852970,0.000000,0.000000,0.000000,events/second
1596598023,23,0.767505,0.000000,0.000000,0.000000,events/second
1596598026,23,0.697884,0.000000,0.000000,0.000000,events/second
1596598029,23,0.639188,0.000000,0.000000,0.000000,events/second
1596598032,23,0.589940,0.000000,0.000000,0.000000,events/second
1596598035,23,0.548191,0.000000,0.000000,0.000000,events/second
1596598038,23,0.511600,0.000000,0.000000,0.000000,events/second
1596598041,23,0.479603,0.000000,0.000000,0.000000,events/second
1596598044,23,0.450863,0.000000,0.000000,0.000000,events/second
1596598047,23,0.426184,0.000000,0.000000,0.000000,events/second
1596598050,23,0.403835,0.000000,0.000000,0.000000,events/second
1596598053,23,0.383220,0.000000,0.000000,0.000000,events/second
1596598056,23,0.365227,0.000000,0.000000,0.000000,events/second
1596598059,23,0.348580,0.000000,0.000000,0.000000,events/second
1596598062,23,0.333477,0.000000,0.000000,0.000000,events/second
1596598065,23,0.319596,0.000000,0.000000,0.000000,events/second
1596598068,23,0.306803,0.000000,0.000000,0.000000,events/second
1596598071,23,0.294988,0.000000,0.000000,0.000000,events/second
1596598074,23,0.284047,0.000000,0.000000,0.000000,events/second
1596598077,23,0.273946,0.000000,0.000000,0.000000,events/second
1596598080,23,0.264460,0.000000,0.000000,0.000000,events/second
1596598083,23,0.255646,0.000000,0.000000,0.000000,events/second
1596598086,23,0.247399,0.000000,0.000000,0.000000,events/second
1596598089,23,0.239653,0.000000,0.000000,0.000000,events/second
1596598092,23,0.232388,0.000000,0.000000,0.000000,events/second
1596598095,23,0.225565,0.000000,0.000000,0.000000,events/second
1596598098,23,0.219123,0.000000,0.000000,0.000000,events/second
1596598101,23,0.213070,0.000000,0.000000,0.000000,events/second
1596598104,23,0.207254,0.000000,0.000000,0.000000,events/second
1596598107,23,0.201818,0.000000,0.000000,0.000000,events/second
1596598110,23,0.196605,0.000000,0.000000,0.000000,events/second
1596598113,23,0.191705,0.000000,0.000000,0.000000,events/second
1596598116,23,0.187080,0.000000,0.000000,0.000000,events/second
1596598119,23,0.182622,0.000000,0.000000,0.000000,events/second
1596598122,23,0.178350,0.000000,0.000000,0.000000,events/second
1596598125,23,0.174292,0.000000,0.000000,0.000000,events/second
1596598128,23,0.170411,0.000000,0.000000,0.000000,events/second
1596598131,23,0.166715,0.000000,0.000000,0.000000,events/second
1596598134,23,0.163156,0.000000,0.000000,0.000000,events/second
1596598137,23,0.159764,0.000000,0.000000,0.000000,events/second
1596598140,23,0.156529,0.000000,0.000000,0.000000,events/second
1596598143,23,0.153274,0.000000,0.000000,0.000000,events/second
1596598146,23,0.150233,0.000000,0.000000,0.000000,events/second
1596598149,23,0.147465,0.000000,0.000000,0.000000,events/second
1596598152,23,0.144687,0.000000,0.000000,0.000000,events/second
1596598155,23,0.142014,0.000000,0.000000,0.000000,events/second
1596598158,23,0.139428,0.000000,0.000000,0.000000,events/second
1596598161,23,0.136942,0.000000,0.000000,0.000000,events/second
1596598164,23,0.134534,0.000000,0.000000,0.000000,events/second
1596598167,23,0.132157,0.000000,0.000000,0.000000,events/second
1596598170,23,0.129935,0.000000,0.000000,0.000000,events/second
1596598173,23,0.127787,0.000000,0.000000,0.000000,events/second
1596598176,23,0.125713,0.000000,0.000000,0.000000,events/second
1596598179,23,0.123684,0.000000,0.000000,0.000000,events/second
1596598182,23,0.121641,0.000000,0.000000,0.000000,events/second
1596598185,23,0.119789,0.000000,0.000000,0.000000,events/second
1596598188,23,0.117831,0.000000,0.000000,0.000000,events/second
1596598191,23,0.116179,0.000000,0.000000,0.000000,events/second
1596598194,23,0.114432,0.000000,0.000000,0.000000,events/second
1596598197,23,0.112767,0.000000,0.000000,0.000000,events/second
1596598200,23,0.111142,0.000000,0.000000,0.000000,events/second
1596598203,23,0.109545,0.000000,0.000000,0.000000,events/second
1596598206,23,0.107984,0.000000,0.000000,0.000000,events/second
1596598209,23,0.106507,0.000000,0.000000,0.000000,events/second
1596598212,23,0.105051,0.000000,0.000000,0.000000,events/second
1596598215,23,0.103629,0.000000,0.000000,0.000000,events/second
1596598218,23,0.102249,0.000000,0.000000,0.000000,events/second
1596598221,23,0.100902,0.000000,0.000000,0.000000,events/second
1596598224,23,0.099593,0.000000,0.000000,0.000000,events/second
1596598227,23,0.098220,0.000000,0.000000,0.000000,events/second
1596598230,23,0.097069,0.000000,0.000000,0.000000,events/second
1596598233,23,0.095828,0.000000,0.000000,0.000000,events/second
1596598236,23,0.094669,0.000000,0.000000,0.000000,events/second
1596598239,23,0.093518,0.000000,0.000000,0.000000,events/second
1596598242,23,0.092384,0.000000,0.000000,0.000000,events/second
1596598245,23,0.091282,0.000000,0.000000,0.000000,events/second
1596598248,23,0.090210,0.000000,0.000000,0.000000,events/second
1596598251,23,0.089155,0.000000,0.000000,0.000000,events/second
1596598254,23,0.088136,0.000000,0.000000,0.000000,events/second
1596598257,23,0.087136,0.000000,0.000000,0.000000,events/second
1596598260,23,0.086162,0.000000,0.000000,0.000000,events/second
1596598263,23,0.085189,0.000000,0.000000,0.000000,events/second
1596598266,23,0.084257,0.000000,0.000000,0.000000,events/second
1596598269,23,0.083350,0.000000,0.000000,0.000000,events/second
1596598272,23,0.082446,0.000000,0.000000,0.000000,events/second
1596598275,23,0.081573,0.000000,0.000000,0.000000,events/second
1596598278,23,0.080717,0.000000,0.000000,0.000000,events/second
1596598281,43,0.149322,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,3,0.333991,0.000000,0.000000,0.000000,events/second
1596598567,6,0.503083,0.000000,0.000000,0.000000,events/second
1596598570,6,0.398179,0.000000,0.000000,0.000000,events/second
1596598573,6,0.333182,0.000000,0.000000,0.000000,events/second
1596598576,12,0.571881,0.000000,0.000000,0.000000,events/second
1596598579,23,0.961538,0.000000,0.000000,0.000000,events/second
1596598582,30,1.114596,0.000000,0.000000,0.000000,events/second
1596598585,89,2.955787,0.000000,0.000000,0.000000,events/second
1596598588,99,3.006382,0.000000,0.000000,0.000000,events/second
1596598591,111,3.089167,0.000000,0.000000,0.000000,events/second
1596598594,131,3.365180,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677245,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677248,6,0.670011,0.000000,0.000000,0.000000,events/second
1596677251,6,0.501800,0.000000,0.000000,0.000000,events/second
1596677254,6,0.401371,0.000000,0.000000,0.000000,events/second
1596677257,6,0.333350,0.000000,0.000000,0.000000,events/second
1596677260,12,0.571659,0.000000,0.000000,0.000000,events/second
1596677263,23,0.961558,0.000000,0.000000,0.000000,events/second
1596677266,33,1.220245,0.000000,0.000000,0.000000,events/second
1596677269,95,3.140897,0.000000,0.000000,0.000000,events/second
1596677272,111,3.373017,0.000000,0.000000,0.000000,events/second
1596677275,111,3.088271,0.000000,0.000000,0.000000,events/second
1596677278,111,2.850195,0.000000,0.000000,0.000000,events/second
1596677281,111,2.646384,0.000000,0.000000,0.000000,events/second
1596677284,111,2.471027,0.000000,0.000000,0.000000,events/second
1596677287,134,2.796753,0.000000,0.000000,0.000000,events/second
1596677290,134,2.632244,0.000000,0.000000,0.000000,events/second
1596677293,134,2.484266,0.000000,0.000000,0.000000,events/second
1596677296,134,2.354420,0.000000,0.000000,0.000000,events/second
1596677299,134,2.235615,0.000000,0.000000,0.000000,events/second
1596677302,134,2.129091,0.000000,0.000000,0.000000,events/second
1596677305,134,2.032662,0.000000,0.000000,0.000000,events/second
1596677308,157,2.277876,0.000000,0.000000,0.000000,events/second
1596677311,157,2.182502,0.000000,0.000000,0.000000,events/second
1596677314,157,2.094304,0.000000,0.000000,0.000000,events/second
1596677317,157,2.014731,0.000000,0.000000,0.000000,events/second
1596677320,167,2.063959,0.000000,0.000000,0.000000,events/second
1596677323,167,1.989799,0.000000,0.000000,0.000000,events/second
1596677326,178,2.047444,0.000000,0.000000,0.000000,events/second
1596677329,190,2.113433,0.000000,0.000000,0.000000,events/second
1596677332,190,2.045079,0.000000,0.000000,0.000000,events/second
1596677335,190,1.980724,0.000000,0.000000,0.000000,events/second
1596677338,190,1.920383,0.000000,0.000000,0.000000,events/second
1596677341,190,1.864164,0.000000,0.000000,0.000000,events/second
1596677344,190,1.810198,0.000000,0.000000,0.000000,events/second
1596677347,213,1.973845,0.000000,0.000000,0.000000,events/second
1596677350,213,1.920523,0.000000,0.000000,0.000000,events/second
1596677353,213,1.869892,0.000000,0.000000,0.000000,events/second
1596677356,213,1.821653,0.000000,0.000000,0.000000,events/second
1596677359,213,1.775867,0.000000,0.000000,0.000000,events/second
1596677362,213,1.732832,0.000000,0.000000,0.000000,events/second
1596677365,213,1.691392,0.000000,0.000000,0.000000,events/second
1596677368,236,1.829889,0.000000,0.000000,0.000000,events/second
1596677371,236,1.788944,0.000000,0.000000,0.000000,events/second
1596677374,236,1.749244,0.000000,0.000000,0.000000,events/second
1596677377,236,1.710980,0.000000,0.000000,0.000000,events/second
1596677380,236,1.674756,0.000000,0.000000,0.000000,events/second
1596677383,236,1.639769,0.000000,0.000000,0.000000,events/second
1596677386,247,1.678848,0.000000,0.000000,0.000000,events/second
1596677389,259,1.726999,0.000000,0.000000,0.000000,events/second
1596677392,259,1.693500,0.000000,0.000000,0.000000,events/second
1596677395,259,1.660389,0.000000,0.000000,0.000000,events/second
1596677398,259,1.629861,0.000000,0.000000,0.000000,events/second
1596677401,259,1.597503,0.000000,0.000000,0.000000,events/second
1596677404,259,1.569860,0.000000,0.000000,0.000000,events/second
1596677407,282,1.679250,0.000000,0.000000,0.000000,events/second
1596677410,282,1.649888,0.000000,0.000000,0.000000,events/second
1596677413,282,1.621506,0.000000,0.000000,0.000000,events/second
1596677416,282,1.593901,0.000000,0.000000,0.000000,events/second
1596677419,282,1.567374,0.000000,0.000000,0.000000,events/second
