t,value
1596597996,71819256
1596597999,74277144
1596598002,77978984
1596598005,83358264
1596598008,91507800
1596598011,103289512
1596598014,107708560
1596598017,107711032
1596598020,107712088
1596598023,107724832
1596598026,107731536
1596598029,107732216
1596598032,107736024
1596598035,107739088
1596598038,107743688
1596598041,107746776
1596598044,107804968
1596598047,107805520
1596598050,107809000
1596598053,107816056
1596598056,107819192
1596598059,107820248
1596598062,107820864
1596598065,107821304
1596598068,107821744
1596598071,107823656
1596598074,107824608
1596598077,107826528
1596598080,107840568
1596598083,107841800
1596598086,107842264
1596598089,107844656
1596598092,107849832
1596598095,107850296
1596598098,107850792
1596598101,107850792
1596598104,107863360
1596598107,107863360
1596598110,107863360
1596598113,107874280
1596598116,107875320
1596598119,107878600
1596598122,107878920
1596598125,107881656
1596598128,107884352
1596598131,107884352
1596598134,107885240
1596598137,107885856
1596598140,107885856
1596598143,107887632
1596598146,107888016
1596598149,107888016
1596598152,107890712
1596598155,107892904
1596598158,107892904
1596598161,107892904
1596598164,107894736
1596598167,107894736
1596598170,107894736
1596598173,107912176
1596598176,107913808
1596598179,107913808
1596598182,107917072
1596598185,107920624
1596598188,107930832
1596598191,107930832
1596598194,107931920
1596598197,107931920
1596598200,107931920
1596598203,107934344
1596598206,107934344
1596598209,107934344
1596598212,107934344
1596598215,107937352
1596598218,107937352
1596598221,107937352
1596598224,107944696
1596598227,107944696
1596598230,107944696
1596598233,107951160
1596598236,107951160
1596598239,107951160
1596598242,107953480
1596598245,107953936
1596598248,107955632
1596598251,107955632
1596598254,107963496
1596598257,107967016
1596598260,107967016
1596598263,107967016
1596598266,107967912
1596598269,107967912
1596598272,107968408
1596598275,107968408
1596598278,107968776
1596598281,108133576
t,value
1596598558,70741320
1596598561,73825336
1596598564,78072904
1596598567,85478400
1596598570,92788288
1596598573,99601216
1596598576,104632832
1596598579,106736336
1596598582,108566488
1596598585,110040336
1596598588,113440848
1596598591,113503368
1596598594,113567776
t,value
1596677242,68711968
1596677245,72432144
1596677248,76218856
1596677251,83638280
1596677254,87780640
1596677257,96504328
1596677260,102747184
1596677263,104762944
1596677266,106597440
1596677269,109512616
1596677272,111566520
1596677275,111567352
1596677278,111568504
1596677281,111569184
1596677284,111573112
1596677287,111691280
1596677290,111692304
1596677293,111697128
1596677296,111697568
1596677299,111734600
1596677302,111747656
1596677305,111748256
1596677308,111843384
1596677311,111843824
1596677314,111844224
1596677317,111844224
1596677320,112047312
1596677323,112057768
1596677326,112120312
1596677329,112151800
1596677332,112154216
1596677335,112155976
1596677338,112160968
1596677341,112163888
1596677344,112163888
1596677347,112240368
1596677350,112240368
1596677353,112240368
1596677356,112240368
1596677359,112249000
1596677362,112257192
1596677365,112258728
1596677368,112359864
1596677371,112363392
1596677374,112367168
1596677377,112367168
1596677380,112368144
1596677383,112368144
1596677386,112438784
1596677389,112470240
1596677392,112470240
1596677395,112470240
1596677398,112471120
1596677401,112472784
1596677404,112475888
1596677407,112540176
1596677410,112540584
1596677413,112540968
1596677416,112540968
1596677419,112543192
1596677422,112560488
1596677425,112561448
1596677428,112648080
1596677431,112651632
1596677434,112663656
1596677437,112663656
1596677440,112663656
1596677443,112663656
1596677446,112706696
1596677449,112725176
1596677452,112725176
1596677455,112726104
1596677458,112726104
1596677461,112727080
1596677464,112727080
1596677467,113148000
1596677470,113174472
1596677473,113174472
1596677476,113174472
1596677479,113179736
1596677482,113184648
1596677485,113184648
1596677488,113273136
1596677491,113273592
1596677494,113279216
1596677497,113279216
1596677500,113289336
1596677503,113289336
1596677506,113300872
1596677509,113342520
1596677512,113342520
1596677515,113342520
1596677518,113342520
1596677521,113342520
1596677524,113342520
1596677527,113368912
1596677530,113369792
1596677533,113369792
1596677536,113369792
1596677539,113372416
1596677542,113382704
1596677545,113382704
1596677548,113413664
1596677551,113414656
1596677554,113425240
1596677557,113425240
1596677560,113426576
1596677563,113426576
1596677566,113438040
1596677569,113477904
1596677572,113477904
1596677575,113477904
1596677578,113477904
1596677581,113477904
1596677584,113477904
1596677587,113513832
1596677590,113513832
1596677593,113514736
1596677596,113514736
1596677599,113514736
1596677602,113514736
1596677605,113516160
1596677608,113573816
1596677611,113574744
1596677614,113574744
1596677617,113574744
1596677620,113575744
1596677623,113602256
1596677626,113618152
1596677629,113645504
1596677632,113645504
1596677635,113661536
1596677638,113661944
1596677641,113661944
1596677644,113661944
1596677647,113694432
1596677650,113694432
1596677653,113694432
1596677656,113696528
1596677659,113741832
1596677662,113750328
1596677665,113752360
1596677668,113786856
1596677671,113792512
1596677674,113797896
1596677677,113810832
1596677680,113811192
1596677683,113811192
1596677686,113816896
1596677689,113833784
1596677692,113833784
1596677695,113833784
1596677698,113833784
1596677701,113833784
1596677704,113836648
1596677707,113887200
1596677710,113890392
1596677713,113890392
1596677716,113890792
1596677719,113893056
1596677722,113893336
1596677725,113893336
1596677728,113931824
1596677731,113931824
1596677734,113931824
1596677737,113932272
1596677740,113932272
1596677743,113971312
1596677746,113984704
1596677749,114002680
1596677752,114002680
1596677755,114003080
1596677758,114003080
1596677761,114010456
1596677764,114010456
1596677767,114036640
1596677770,114039992
1596677773,114039992
1596677776,114041328
1596677779,114041768
1596677782,114046768
1596677785,114051600
1596677788,114080272
1596677791,114085112
1596677794,114085112
1596677797,114085112
1596677800,114085936
1596677803,114085936
1596677806,114091968
1596677809,114101752
1596677812,114101752
1596677815,114108864
1596677818,114108864
1596677821,114108864
1596677824,114108864
1596677827,114125632
1596677830,114125632
1596677833,114125632
1596677836,114132880
1596677839,114144072
1596677842,114144528
1596677845,114144528
1596677848,114157856
1596677851,114157856
1596677854,114181944
1596677857,114181944
1596677860,114181944
1596677863,114181944
1596677866,114181944
1596677869,114197952
1596677872,114197952
1596677875,114197952
1596677878,114197952
1596677881,114198912
1596677884,114198912
1596677887,114220976
1596677890,115277968
1596677893,115277968
1596677896,115277968
1596677899,115278512
1596677902,115279968
1596677905,115280664
1596677908,115313328
1596677911,115313328
1596677914,115313328
1596677917,115313328
1596677920,115313328
1596677923,115330312
1596677926,115408912
1596677929,115414520
1596677932,115415128
1596677935,115415128
1596677938,115415128
1596677941,115415128
1596677944,115415128
1596677947,115440520
1596677950,115440520
1596677953,116816360
1596677956,116853384
1596677959,116853464
1596677962,116853920
1596677965,116853920
1596677968,116903000
1596677971,116915128
1596677974,116930256
1596677977,116939696
1596677980,116939696
1596677983,116963216
1596677986,116963656
1596677989,116993608
1596677992,117004024
1596677995,117005432
1596677998,117010480
1596678001,117010920
1596678004,117014704
1596678007,117045344
1596678010,117052680
1596678013,117052680
1596678016,117052680
1596678019,117077672
1596678022,117127144
1596678025,117136320
1596678028,117143912
1596678031,117161488
1596678034,117202824
1596678037,117203272
1596678040,117203272
1596678043,117219456
1596678046,117231384
1596678049,117257048
1596678052,117257048
1596678055,117280528
1596678058,117281944
1596678061,117281944
1596678064,117301504
1596678067,117348032
1596678070,117350816
1596678073,117350816
1596678076,117352984
1596678079,117353352
1596678082,117353352
1596678085,117364608
1596678088,117376872
1596678091,117376872
1596678094,117376872
1596678097,117376872
1596678100,117376872
1596678103,117376872
1596678106,117376872
1596678109,117387792
1596678112,117414168
1596678115,117414168
1596678118,117414168
1596678121,117414168
1596678124,117414168
1596678127,117467472
1596678130,117467472
1596678133,117467472
1596678136,117467472
1596678139,117467472
1596678142,117467472
1596678145,117467472
1596678148,117492112
1596678151,117492112
1596678154,117492112
1596678157,117492112
1596678160,117492112
1596678163,117492112
1596678166,117492112
1596678169,117505416
1596678172,117505416
1596678175,117505416
1596678178,117505416
1596678181,117505416
1596678184,117505416
1596678187,117518208
1596678190,117527384
1596678193,117527464
1596678196,117527464
1596678199,117527464
1596678202,117527464
1596678205,117527464
1596678208,117543016
1596678211,117543672
1596678214,117543672
1596678217,117543672
1596678220,117543672
1596678223,117543672
1596678226,117543672
1596678229,117585864
1596678232,117585864
1596678235,117585864
1596678238,117585864
1596678241,117585864
1596678244,117585864
1596678247,117599896
1596678250,117607112
1596678253,117607112
1596678256,117607112
1596678259,117607112
1596678262,117607744
1596678265,117607744
1596678268,117615144
1596678271,117615144
1596678274,117615144
1596678277,117615904
1596678280,117615904
1596678283,117615904
1596678286,117615904
1596678289,117626248
1596678292,117626248
1596678295,117626248
1596678298,117626248
1596678301,117626248
1596678304,117626248
1596678307,117628280
1596678310,117641456
1596678313,117641456
1596678316,117641456
1596678319,117641456
1596678322,117642128
1596678325,117642128
1596678328,117648624
1596678331,117648624
1596678334,117648624
1596678337,117648624
1596678340,117648624
1596678343,117648624
1596678346,117648624
1596678349,117672976
1596678352,117672976
1596678355,117672976
1596678358,117672976
1596678361,117672976
1596678364,117672976
1596678367,117674544
1596678370,117680192
1596678373,117680192
1596678376,117680192
1596678379,117682224
1596678382,117682224
1596678385,117682224
1596678388,117693288
1596678391,117701736
1596678394,117703752
1596678397,117703752
1596678400,117703752
1596678403,117703752
1596678406,117703752
1596678409,117714768
1596678412,117714768
1596678415,117714768
1596678418,117714768
1596678421,117714768
1596678424,117714768
1596678427,117719176
1596678430,117719928
1596678433,117719928
1596678436,117720848
1596678439,117720848
1596678442,117720848
1596678445,117720848
1596678448,117738248
1596678451,117738248
1596678454,117738248
1596678457,117738248
1596678460,117738640
1596678463,117738640
1596678466,117738640
1596678469,117749136
1596678472,117749136
1596678475,117749136
1596678478,117749136
1596678481,117749136
1596678484,117749136
1596678487,117750296
1596678490,117754024
1596678493,117754024
1596678496,117754024
1596678499,117755680
1596678502,117755680
1596678505,117755680
1596678508,117758584
1596678511,117764152
1596678514,117764152
1596678517,117764152
1596678520,117767624
1596678523,117767624
1596678526,117767624
1596678529,117767624
1596678532,117767624
1596678535,117767624
1596678538,117768536
1596678541,117768536
1596678544,117768536
1596678547,117792456
1596678550,117875504
1596678553,117998408
1596678556,117998408
1596678559,117998408
1596678562,117998488
1596678565,117998488
1596678568,117998928
1596678571,117998928
1596678574,117998928
1596678577,117998928
1596678580,117998928
1596678583,117998928
1596678586,117998928
1596678589,118007288
1596678592,118007288
1596678595,118007288
1596678598,118007288
1596678601,118007288
1596678604,118007288
1596678607,118012016
1596678610,118014352
1596678613,118014352
1596678616,118014352
1596678619,118014352
1596678622,118014352
1596678625,118014352
1596678628,118028008
1596678631,118028008
1596678634,118028008
1596678637,118028008
1596678640,118028008
1596678643,118028008
1596678646,118028008
1596678649,118039232
1596678652,118039232
1596678655,118039232
1596678658,118039232
1596678661,118039232
1596678664,118039232
1596678667,118045000
1596678670,118065728
1596678673,118097680
1596678676,118097680
1596678679,118098128
1596678682,118098128
1596678685,118098128
1596678688,118112976
1596678691,118112976
1596678694,118112976
1596678697,118112976
1596678700,118112976
1596678703,118112976
1596678706,118112976
1596678709,118124352
1596678712,118124352
1596678715,118124352
1596678718,118124352
1596678721,118124352
1596678724,118124352
1596678727,118136192
1596678730,118146128
1596678733,118146128
1596678736,118146128
1596678739,118146128
1596678742,118146128
1596678745,118146128
1596678748,118190368
1596678751,118190368
1596678754,118190368
1596678757,118190368
1596678760,118190368
1596678763,118190368
1596678766,118252240
1596678769,118267936
1596678772,118267936
1596678775,118271280
1596678778,118273488
1596678781,118273488
1596678784,118276912
1596678787,118279728
1596678790,118396472
1596678793,118414800
1596678796,118446680
1596678799,118446680
1596678802,118446680
1596678805,118446680
1596678808,118476136
1596678811,118476136
1596678814,118476136
1596678817,118476136
1596678820,118476136
1596678823,118478848
1596678826,118482688
1596678829,118511496
1596678832,118653536
1596678835,118653536
1596678838,118653536
1596678841,118653536
1596678844,118653536
1596678847,118653536
1596678850,118655008
1596678853,118655008
1596678856,118655008
1596678859,118655008
1596678862,118655008
1596678865,118655008
1596678868,118656544
1596678871,118656544
1596678874,118656544
1596678877,118656544
1596678880,118656544
1596678883,118656544
1596678886,118934640
1596678889,118948256
1596678892,118948256
1596678895,119464024
1596678898,120135920
1596678901,120135920
1596678904,120178168
1596678907,120182336
1596678910,120189344
1596678913,120189344
1596678916,120189344
1596678919,120189344
1596678922,120189344
1596678925,120190616
1596678928,120225472
1596678931,120225472
1596678934,120225472
1596678937,120225472
1596678940,120235704
1596678943,120249080
1596678946,120251360
1596678949,120258264
1596678952,120258264
1596678955,120261704
1596678958,120295384
1596678961,120298192
1596678964,120313600
1596678967,120313600
1596678970,120320432
1596678973,120320872
1596678976,120320872
1596678979,120320872
1596678982,120320872
1596678985,120320872
1596678988,120322528
1596678991,120322528
1596678994,120322528
1596678997,120322528
1596679000,120322528
1596679003,120322528
1596679006,120322528
1596679009,120348944
1596679012,120348944
1596679015,120348944
1596679018,120348944
1596679021,120348944
1596679024,120348944
1596679027,120488752
1596679030,120497136
1596679033,120497136
1596679036,120530480
1596679039,120538288
1596679042,120539176
1596679045,120539176
1596679048,120539176
1596679051,120539176
1596679054,120539176
1596679057,120539176
1596679060,120539176
1596679063,120539176
1596679066,120541088
1596679069,120546720
1596679072,120546720
1596679075,120546720
1596679078,120546720
1596679081,120546720
1596679084,120546720
1596679087,120546720
1596679090,120547472
1596679093,120593816
1596679096,120597440
1596679099,120602008
1596679102,120607864
1596679105,120607864
1596679108,120609632
1596679111,120609632
1596679114,120609632
1596679117,120609632
1596679120,120610800
1596679123,120610800
1596679126,120929896
1596679129,120965008
1596679132,120965008
1596679135,120965008
1596679138,120965008
1596679141,120965928
1596679144,120965928
1596679147,120965928
1596679150,120973512
1596679153,120973512
1596679156,120973512
1596679159,120973512
1596679162,120980128
1596679165,120980128
1596679168,120981152
1596679171,120981152
1596679174,120981152
1596679177,120981152
1596679180,120981152
1596679183,120981152
1596679186,120981152
1596679189,120983184
1596679192,120983184
1596679195,120983184
1596679198,120983184
1596679201,120983184
1596679204,120983184
1596679207,120983184
1596679210,120984856
1596679213,120984856
1596679216,120984856
1596679219,120984856
1596679222,120985736
1596679225,120985736
1596679228,121025168
1596679231,121027696
1596679234,121036408
1596679237,121036408
1596679240,121036408
1596679243,121036408
1596679246,121037480
1596679249,121044944
1596679252,121045664
1596679255,121050320
1596679258,121050320
1596679261,121050320
1596679264,121050320
1596679267,121050320
1596679270,121052952
1596679273,121052952
1596679276,121052952
1596679279,121052952
1596679282,121052952
1596679285,121052952
1596679288,121056808
1596679291,121056808
1596679294,121056808
1596679297,121056808
1596679300,121056808
1596679303,121056808
1596679306,121056808
1596679309,121090288
1596679312,121090288
1596679315,121090288
1596679318,121090288
1596679321,121090288
1596679324,121090288
1596679327,121090288
1596679330,121108144
1596679333,121108144
1596679336,121108144
1596679339,121108144
1596679342,121108144
1596679345,121108144
1596679348,121133752
1596679351,121153432
1596679354,121153432
1596679357,121155296
1596679360,121160200
1596679363,121181976
1596679366,121181976
1596679369,121209800
1596679372,121209800
1596679375,121212216
1596679378,121212216
1596679381,121212216
1596679384,121212216
1596679387,121212216
1596679390,121230808
1596679393,121230808
1596679396,121230808
1596679399,121230808
1596679402,121231344
1596679405,121233936
1596679408,121244040
1596679411,121255344
1596679414,121265960
1596679417,121265960
1596679420,121265960
1596679423,121271376
1596679426,121271376
1596679429,121291960
1596679432,121456216
1596679435,121562376
1596679438,121562376
1596679441,121562376
1596679444,121563272
1596679447,121563272
1596679450,121563272
1596679453,121568856
1596679456,121570104
1596679459,121570104
1596679462,121570104
1596679465,121570104
1596679468,121570104
1596679471,121570104
1596679474,121570104
1596679477,121570104
1596679480,121570104
1596679483,121570104
1596679486,121570104
1596679489,121571920
1596679492,121571920
1596679495,121571920
1596679498,121571920
1596679501,121572776
1596679504,121574128
1596679507,121574128
1596679510,121577864
1596679513,121577864
1596679516,121577864
1596679519,121577864
1596679522,121577864
1596679525,121577864
1596679528,121577864
1596679531,121579776
1596679534,121579776
1596679537,121579776
1596679540,121579776
1596679543,121579776
1596679546,121579776
1596679549,121579776
1596679552,121579776
1596679555,121579776
1596679558,121579776
1596679561,121579776
1596679564,121581744
1596679567,121588744
1596679570,121599920
1596679573,121599920
1596679576,121606784
1596679579,121606784
1596679582,121611672
1596679585,121611672
1596679588,121611672
1596679591,121613240
1596679594,121613240
1596679597,121613240
1596679600,121613240
1596679603,121614936
1596679606,121615672
1596679609,121621152
1596679612,121621152
1596679615,121635232
1596679618,121644896
1596679621,121644896
1596679624,121644976
1596679627,121647632
1596679630,121693320
1596679633,121699472
1596679636,121699872
1596679639,121702208
1596679642,121703376
1596679645,121703376
1596679648,121703376
1596679651,121703784
1596679654,121703784
1596679657,121704936
1596679660,121704936
1596679663,121704936
1596679666,121704936
1596679669,121711128
1596679672,121711128
1596679675,121711528
1596679678,121711528
1596679681,121711528
1596679684,121711896
1596679687,121712736
1596679690,121712736
1596679693,121712736
1596679696,121713648
1596679699,121717112
1596679702,121717112
1596679705,121717112
1596679708,121717112
1596679711,121717112
1596679714,121719288
1596679717,121724936
1596679720,121748952
1596679723,121754480
1596679726,121762360
1596679729,121763128
1596679732,121775400
1596679735,121783656
1596679738,121788064
1596679741,121797408
1596679744,121811512
1596679747,121811512
1596679750,121812008
1596679753,121820568
1596679756,121824440
1596679759,121824440
1596679762,121824440
1596679765,121824440
1596679768,121824440
1596679771,121848936
1596679774,121849992
1596679777,121850880
1596679780,121850880
1596679783,121850880
1596679786,121851408
1596679789,121863352
1596679792,121864152
1596679795,121864152
1596679798,121868648
1596679801,121872096
1596679804,121872096
1596679807,121872096
1596679810,121882792
1596679813,121890752
1596679816,121918768
1596679819,121919800
1596679822,122033000
1596679825,122033000
1596679828,122033000
1596679831,122033000
1596679834,122033968
1596679837,122035072
1596679840,122035072
1596679843,122036560
1596679846,122040200
1596679849,122040712
1596679852,122046272
1596679855,122046272
1596679858,122046736
1596679861,122046736
1596679864,122049360
1596679867,122054832
1596679870,122065680
1596679873,122087712
1596679876,122087712
1596679879,122089848
1596679882,122089848
1596679885,122093032
1596679888,122094592
1596679891,122099184
1596679894,122099184
1596679897,122099184
1596679900,122099184
1596679903,122099184
1596679906,122104872
1596679909,122104872
1596679912,122214584
1596679915,122215568
1596679918,122239368
1596679921,122240296
1596679924,122240296
1596679927,122245848
1596679930,122250224
1596679933,122250224
1596679936,122250224
1596679939,122270256
1596679942,122270256
1596679945,122270256
1596679948,122270256
1596679951,122437512
1596679954,122437512
1596679957,122437512
1596679960,122437512
1596679963,122437512
1596679966,122437512
1596679969,122449592
1596679972,122452408
1596679975,122452408
1596679978,122452408
1596679981,122452408
1596679984,122452408
1596679987,122452408
1596679990,122465016
1596679993,122465016
1596679996,122465016
1596679999,122465016
1596680002,122465016
1596680005,122465016
1596680008,122465016
1596680011,122470528
1596680014,122470528
1596680017,122470528
1596680020,122470528
1596680023,122470528
1596680026,122470528
1596680029,122472016
1596680032,122472384
1596680035,122472384
1596680038,122472384
1596680041,122472384
1596680044,122472384
1596680047,122472384
1596680050,122472840
1596680053,122472840
1596680056,122472840
1596680059,122472840
1596680062,122472840
1596680065,122472840
1596680068,122472840
1596680071,122482264
1596680074,122482264
1596680077,122482264
1596680080,122482264
1596680083,122482264
1596680086,122482264
1596680089,122482264
1596680092,122482264
1596680095,122482264
1596680098,122482264
1596680101,122482264
1596680104,122482264
1596680107,122482264
1596680110,122482760
1596680113,122482760
1596680116,122482760
1596680119,122482760
1596680122,122482760
1596680125,122482760
1596680128,122482760
1596680131,122482760
1596680134,122482760
1596680137,122482760
1596680140,122482760
1596680143,122482760
1596680146,122482760
1596680149,122482760
1596680152,122482760
1596680155,122482760
1596680158,122482760
1596680161,122482760
1596680164,122482760
1596680167,122482760
1596680170,122486496
1596680173,122486496
1596680176,122486496
1596680179,122486496
1596680182,122486496
1596680185,122486496
1596680188,122487480
1596680191,122487848
1596680194,122487848
1596680197,122487848
1596680200,122487848
1596680203,122487848
1596680206,122487848
1596680209,122487848
1596680212,122487848
1596680215,122487848
1596680218,122487848
1596680221,122487848
1596680224,122487848
1596680227,122487848
1596680230,122489248
1596680233,122489248
1596680236,122489248
1596680239,122489248
1596680242,122489248
1596680245,122489248
1596680248,122490776
1596680251,122490776
1596680254,122490776
1596680257,122490776
1596680260,122490952
1596680263,122490952
1596680266,122513072
t,value
1596762728,68593896
1596762731,70668864
1596762734,75658464
1596762737,78215984
1596762740,79816000
1596762743,82531568
1596762746,86265216
1596762749,88063576
1596762752,88276136
1596762755,88772720
1596762758,89161832
1596762761,93913296
1596762764,105217008
1596762767,108917752
1596762770,112010984
1596762773,112010984
1596762776,112014456
1596762779,112022760
1596762782,112040176
1596762785,112166592
1596762788,112177528
1596762791,112187232
1596762794,112188808
1596762797,112189208
1596762800,112191424
1596762803,112191880
1596762806,112307768
1596762809,112309472
1596762812,112329744
1596762815,112331552
1596762818,112332456
1596762821,112333776
1596762824,112379968
1596762827,112459888
1596762830,112460552
1596762833,112460552
1596762836,112460968
1596762839,112463536
1596762842,112466064
1596762845,112539320
1596762848,112546400
1596762851,112547616
1596762854,112548872
1596762857,112553344
1596762860,112553784
1596762863,112556480
1596762866,112641632
1596762869,112641632
1596762872,112641632
1596762875,112642120
1596762878,112643912
1596762881,112644352
1596762884,112699984
1596762887,112748128
1596762890,112748128
1596762893,112750728
1596762896,112751112
1596762899,112751112
1596762902,112754168
1596762905,112805240
1596762908,112830128
1596762911,112830128
1596762914,112833392
1596762917,112836944
1596762920,112846528
1596762923,112846528
1596762926,112928336
1596762929,112929312
1596762932,112929696
1596762935,112930736
1596762938,112930736
1596762941,112930736
1596762944,112953752
1596762947,112972816
1596762950,112972816
1596762953,112972816
1596762956,112972816
1596762959,112972816
1596762962,112972816
1596762965,113420320
1596762968,113425232
1596762971,113425232
1596762974,113425232
1596762977,113428008
1596762980,113429704
1596762983,113429704
1596762986,113549712
1596762989,114615848
1596762992,114615848
1596762995,114615848
1596762998,114615848
1596763001,114615848
1596763004,114636088
1596763007,114647024
1596763010,114647024
1596763013,114647024
1596763016,114647400
1596763019,114832944
1596763022,114837608
1596763025,114878152
1596763028,114894440
1596763031,114894440
1596763034,114894880
1596763037,114898968
1596763040,114911320
1596763043,114925776
1596763046,114988608
1596763049,115020144
1596763052,115020144
1596763055,115022040
1596763058,115028152
1596763061,115028152
1596763064,115051336
1596763067,115102760
1596763070,115105584
1596763073,115116320
1596763076,115842152
1596763079,115883624
1596763082,115889176
1596763085,115941648
1596763088,115941648
1596763091,115942064
1596763094,115942064
1596763097,115957144
1596763100,115957144
1596763103,116384304
1596763106,116406824
1596763109,116471664
1596763112,116483296
1596763115,116496488
1596763118,116496488
1596763121,116501280
1596763124,116527064
1596763127,116546776
1596763130,116546776
1596763133,116568624
1596763136,116568624
1596763139,116568624
1596763142,116584744
1596763145,116610784
1596763148,116614856
1596763151,116622080
1596763154,116651032
1596763157,116662608
1596763160,116666400
1596763163,116692368
1596763166,116717504
1596763169,116717864
1596763172,116717864
1596763175,116785256
1596763178,116786248
1596763181,116786248
1596763184,116808368
1596763187,116828736
1596763190,116828736
1596763193,116828736
1596763196,116828736
1596763199,116828736
1596763202,116828816
1596763205,116850336
1596763208,116850336
1596763211,116850336
1596763214,116850792
1596763217,116850792
1596763220,116850792
1596763223,116850792
1596763226,116915472
1596763229,116924080
1596763232,116924080
1596763235,116924536
1596763238,116924536
1596763241,116924936
1596763244,116924936
1596763247,116937528
1596763250,116937896
1596763253,116948064
1596763256,116948064
1596763259,116948064
1596763262,117000872
1596763265,117016776
1596763268,117016856
1596763271,117016856
1596763274,117016856
1596763277,118129672
1596763280,118188488
1596763283,118188488
1596763286,118208608
1596763289,118208688
1596763292,118209808
1596763295,118227448
1596763298,118243296
1596763301,118276592
1596763304,118280096
1596763307,118286616
1596763310,118330200
1596763313,118330200
1596763316,118330200
1596763319,118330200
1596763322,118330200
1596763325,118353432
1596763328,118354848
1596763331,118354848
1596763334,118356848
1596763337,118390592
1596763340,118390592
1596763343,118408496
1596763346,118484120
1596763349,118484120
1596763352,118484120
1596763355,118484120
1596763358,118484120
1596763361,118515928
1596763364,118519832
1596763367,118535800
1596763370,118535800
1596763373,118537104
1596763376,118545696
1596763379,118549648
1596763382,118569352
1596763385,118592152
1596763388,118592152
1596763391,118592152
1596763394,118592152
1596763397,118592152
1596763400,118592152
1596763403,118592152
1596763406,118611048
1596763409,118629248
1596763412,118629248
1596763415,118629248
1596763418,118629248
1596763421,118629248
1596763424,118633944
1596763427,118678320
1596763430,118678680
1596763433,118678680
1596763436,118678680
1596763439,118678680
1596763442,118678680
1596763445,118693080
1596763448,118693080
1596763451,118693080
1596763454,118693080
1596763457,118693080
1596763460,118693080
1596763463,118693080
1596763466,118706400
1596763469,118706776
1596763472,118707216
1596763475,118707216
1596763478,118707712
1596763481,118727952
1596763484,118749144
1596763487,118793384
1596763490,118798552
1596763493,118816928
1596763496,118824800
1596763499,118824800
1596763502,118826120
1596763505,118837376
1596763508,118843616
1596763511,118843616
1596763514,118843616
1596763517,118843616
1596763520,118844064
1596763523,118844064
1596763526,118886432
1596763529,118886976
1596763532,118886976
1596763535,118886976
1596763538,118886976
1596763541,118887944
1596763544,118887944
1596763547,118904712
