t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,406,91.221476,0.000000,0.000000,0.000000,events/second
1596597999,406,65.330597,0.000000,0.000000,0.000000,events/second
1596598002,406,44.716235,0.000000,0.000000,0.000000,events/second
1596598005,406,33.208588,0.000000,0.000000,0.000000,events/second
1596598008,406,26.686196,0.000000,0.000000,0.000000,events/second
1596598011,406,22.413273,0.000000,0.000000,0.000000,events/second
1596598014,406,19.203105,0.000000,0.000000,0.000000,events/second
1596598017,406,16.815240,0.000000,0.000000,0.000000,events/second
1596598020,406,15.013041,0.000000,0.000000,0.000000,events/second
1596598023,406,13.509852,0.000000,0.000000,0.000000,events/second
1596598026,406,12.292465,0.000000,0.000000,0.000000,events/second
1596598029,406,11.258660,0.000000,0.000000,0.000000,events/second
1596598032,406,10.393155,0.000000,0.000000,0.000000,events/second
1596598035,406,9.660354,0.000000,0.000000,0.000000,events/second
1596598038,406,9.016235,0.000000,0.000000,0.000000,events/second
1596598041,406,8.452721,0.000000,0.000000,0.000000,events/second
1596598044,406,7.947268,0.000000,0.000000,0.000000,events/second
1596598047,406,7.512167,0.000000,0.000000,0.000000,events/second
1596598050,406,7.119714,0.000000,0.000000,0.000000,events/second
1596598053,406,6.754898,0.000000,0.000000,0.000000,events/second
1596598056,406,6.439924,0.000000,0.000000,0.000000,events/second
1596598059,406,6.146697,0.000000,0.000000,0.000000,events/second
1596598062,406,5.880710,0.000000,0.000000,0.000000,events/second
1596598065,406,5.636189,0.000000,0.000000,0.000000,events/second
1596598068,406,5.410744,0.000000,0.000000,0.000000,events/second
1596598071,406,5.202517,0.000000,0.000000,0.000000,events/second
1596598074,406,5.009747,0.000000,0.000000,0.000000,events/second
1596598077,406,4.831751,0.000000,0.000000,0.000000,events/second
1596598080,406,4.664381,0.000000,0.000000,0.000000,events/second
1596598083,406,4.509293,0.000000,0.000000,0.000000,events/second
1596598086,406,4.363888,0.000000,0.000000,0.000000,events/second
1596598089,406,4.227379,0.000000,0.000000,0.000000,events/second
1596598092,406,4.099281,0.000000,0.000000,0.000000,events/second
1596598095,406,3.979064,0.000000,0.000000,0.000000,events/second
1596598098,406,3.865486,0.000000,0.000000,0.000000,events/second
1596598101,406,3.758796,0.000000,0.000000,0.000000,events/second
1596598104,406,3.656221,0.000000,0.000000,0.000000,events/second
1596598107,406,3.560405,0.000000,0.000000,0.000000,events/second
1596598110,406,3.468390,0.000000,0.000000,0.000000,events/second
1596598113,406,3.382101,0.000000,0.000000,0.000000,events/second
1596598116,406,3.300515,0.000000,0.000000,0.000000,events/second
1596598119,406,3.221842,0.000000,0.000000,0.000000,events/second
1596598122,406,3.146582,0.000000,0.000000,0.000000,events/second
1596598125,406,3.075025,0.000000,0.000000,0.000000,events/second
1596598128,406,3.006552,0.000000,0.000000,0.000000,events/second
1596598131,406,2.941439,0.000000,0.000000,0.000000,events/second
1596598134,406,2.878672,0.000000,0.000000,0.000000,events/second
1596598137,406,2.818831,0.000000,0.000000,0.000000,events/second
