t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,3,0.332842,0.000000,0.000000,0.000000,events/second
1597515524,3,0.249171,0.000000,0.000000,0.000000,events/second
1597515527,21,1.399074,0.000000,0.000000,0.000000,events/second
1597515530,21,1.167099,0.000000,0.000000,0.000000,events/second
1597515533,21,0.999384,0.000000,0.000000,0.000000,events/second
1597515536,21,0.874375,0.000000,0.000000,0.000000,events/second
1597515539,21,0.777498,0.000000,0.000000,0.000000,events/second
1597515542,21,0.699771,0.000000,0.000000,0.000000,events/second
1597515545,21,0.636324,0.000000,0.000000,0.000000,events/second
1597515548,21,0.583238,0.000000,0.000000,0.000000,events/second
1597515551,21,0.538587,0.000000,0.000000,0.000000,events/second
1597515554,21,0.500066,0.000000,0.000000,0.000000,events/second
1597515557,21,0.466705,0.000000,0.000000,0.000000,events/second
1597515560,21,0.437559,0.000000,0.000000,0.000000,events/second
1597515563,21,0.411531,0.000000,0.000000,0.000000,events/second
1597515566,21,0.389048,0.000000,0.000000,0.000000,events/second
1597515569,21,0.368429,0.000000,0.000000,0.000000,events/second
1597515572,21,0.349987,0.000000,0.000000,0.000000,events/second
1597515575,21,0.333225,0.000000,0.000000,0.000000,events/second
1597515578,21,0.318304,0.000000,0.000000,0.000000,events/second
1597515581,21,0.304296,0.000000,0.000000,0.000000,events/second
1597515584,21,0.291626,0.000000,0.000000,0.000000,events/second
1597515587,21,0.279956,0.000000,0.000000,0.000000,events/second
1597515590,21,0.268959,0.000000,0.000000,0.000000,events/second
1597515593,21,0.258866,0.000000,0.000000,0.000000,events/second
1597515596,21,0.250035,0.000000,0.000000,0.000000,events/second
1597515599,21,0.241367,0.000000,0.000000,0.000000,events/second
1597515602,21,0.233368,0.000000,0.000000,0.000000,events/second
1597515605,21,0.225839,0.000000,0.000000,0.000000,events/second
1597515608,21,0.218782,0.000000,0.000000,0.000000,events/second
1597515611,21,0.212092,0.000000,0.000000,0.000000,events/second
1597515614,21,0.205901,0.000000,0.000000,0.000000,events/second
1597515617,21,0.199913,0.000000,0.000000,0.000000,events/second
1597515620,21,0.194442,0.000000,0.000000,0.000000,events/second
1597515623,21,0.189221,0.000000,0.000000,0.000000,events/second
1597515626,21,0.184171,0.000000,0.000000,0.000000,events/second
1597515629,21,0.179458,0.000000,0.000000,0.000000,events/second
1597515632,21,0.174944,0.000000,0.000000,0.000000,events/second
1597515635,21,0.170697,0.000000,0.000000,0.000000,events/second
1597515638,21,0.166445,0.000000,0.000000,0.000000,events/second
1597515641,21,0.162793,0.000000,0.000000,0.000000,events/second
1597515644,21,0.159106,0.000000,0.000000,0.000000,events/second
1597515647,25,0.185075,0.000000,0.000000,0.000000,events/second
1597515650,118,0.854731,0.000000,0.000000,0.000000,events/second
1597515653,127,0.900761,0.000000,0.000000,0.000000,events/second
1597515656,161,1.117951,0.000000,0.000000,0.000000,events/second
1597515659,181,1.231309,0.000000,0.000000,0.000000,events/second
1597515662,204,1.360227,0.000000,0.000000,0.000000,events/second
1597515665,204,1.333193,0.000000,0.000000,0.000000,events/second
1597515668,207,1.326981,0.000000,0.000000,0.000000,events/second
1597515671,207,1.301840,0.000000,0.000000,0.000000,events/second
1597515674,210,1.296434,0.000000,0.000000,0.000000,events/second
