t,value
1597515515,810925
1597515518,810925
1597515521,810925
1597515524,810925
1597515527,810925
1597515530,810925
1597515533,810925
1597515536,810925
1597515539,810925
1597515542,810925
1597515545,810925
1597515548,810925
1597515551,810925
1597515554,810925
1597515557,810925
1597515560,810925
1597515563,810925
1597515566,810925
1597515569,810925
1597515572,810925
1597515575,810925
1597515578,810925
1597515581,810925
1597515584,810925
1597515587,810925
1597515590,810925
1597515593,810925
1597515596,810925
1597515599,810925
1597515602,810925
1597515605,810925
1597515608,810925
1597515611,810925
1597515614,810925
1597515617,810925
1597515620,810925
1597515623,810925
1597515626,810925
1597515629,810925
1597515632,810925
1597515635,810925
1597515638,810925
1597515641,810925
1597515644,810925
1597515647,810925
1597515650,810925
1597515653,810925
1597515656,810925
1597515659,810925
1597515662,810925
1597515665,810925
1597515668,810925
1597515671,810925
1597515674,810925
1597515677,810925
1597515680,810925
1597515683,810925
1597515686,810925
1597515689,810925
1597515692,810925
1597515695,810925
1597515698,810925
1597515701,810925
1597515704,810925
1597515707,810925
1597515710,810925
1597515713,810925
1597515716,810925
1597515719,810925
1597515722,810925
1597515725,810925
1597515728,810925
1597515731,810925
1597515734,810925
1597515737,810925
1597515740,810925
1597515743,810925
1597515746,810925
1597515749,810925
1597515752,810925
1597515755,810925
1597515758,810925
1597515761,810925
1597515764,810925
1597515767,810925
1597515770,810925
1597515773,810925
1597515776,810925
1597515779,810925
1597515782,810925
1597515785,810925
1597515788,810925
1597515791,810925
1597515794,810925
1597515797,810925
1597515800,810925
1597515803,810925
1597515806,810925
1597515809,810925
1597515812,810925
1597515815,810925
1597515818,810925
1597515821,810925
1597515824,810925
1597515827,810925
1597515830,810925
1597515833,810925
1597515836,810925
1597515839,810925
1597515842,810925
1597515845,810925
1597515848,810925
1597515851,810925
1597515854,810925
1597515857,810925
1597515860,810925
1597515863,810925
1597515866,810925
1597515869,810925
1597515872,810925
1597515875,810925
1597515878,810925
1597515881,810925
1597515884,810925
1597515887,810925
1597515890,810925
1597515893,810925
1597515896,810925
1597515899,810925
1597515902,810925
1597515905,810925
1597515908,810925
1597515911,810925
1597515914,810925
1597515917,810925
1597515920,810925
1597515923,810925
1597515926,810925
1597515929,810925
1597515932,810925
1597515935,810925
1597515938,810925
1597515941,810925
1597515944,810925
1597515947,810925
1597515950,810925
1597515953,810925
1597515956,810925
1597515959,810925
1597515962,810925
1597515965,810925
1597515968,810925
1597515971,810925
1597515974,810925
1597515977,810925
1597515980,810925
1597515983,810925
1597515986,810925
1597515989,810925
1597515992,810925
1597515995,810925
1597515998,810925
1597516001,810925
1597516004,810925
1597516007,810925
1597516010,810925
1597516013,810925
1597516016,810925
1597516019,810925
1597516022,810925
1597516025,810925
1597516028,810925
1597516031,810925
1597516034,810925
1597516037,810925
1597516040,810925
1597516043,810925
1597516046,810925
1597516049,810925
1597516052,810925
1597516055,810925
1597516058,810925
1597516061,810925
1597516064,810925
1597516067,810925
1597516070,810925
1597516073,810925
1597516076,810925
1597516079,810925
1597516082,810925
1597516085,810925
1597516088,810925
1597516091,810925
1597516094,810925
1597516097,810925
1597516100,810925
1597516103,810925
1597516106,810925
1597516109,983749
1597516112,983749
1597516115,983749
1597516118,983749
1597516121,983749
1597516124,983749
1597516127,983749
1597516130,983749
1597516133,983749
1597516136,983749
1597516139,983749
1597516142,983749
1597516145,983749
1597516148,983749
1597516151,983749
1597516154,983749
1597516157,983749
1597516160,983749
1597516163,983749
1597516166,983749
1597516169,983749
1597516172,983749
1597516175,983749
1597516178,983749
1597516181,983749
1597516184,983749
1597516187,983749
1597516190,983749
1597516193,983749
1597516196,983749
1597516199,983749
1597516202,983749
1597516205,983749
1597516208,983749
1597516211,983749
1597516214,983749
1597516217,983749
1597516220,983749
1597516223,983749
1597516226,983749
1597516229,983749
1597516232,983749
1597516235,983749
1597516238,983749
1597516241,983749
1597516244,983749
1597516247,983749
1597516250,983749
1597516253,983749
1597516256,983749
1597516259,983749
1597516262,983749
1597516265,983749
1597516268,983749
1597516271,983749
1597516274,983749
1597516277,983749
1597516280,983749
1597516283,983749
1597516286,983749
1597516289,983749
1597516292,983749
1597516295,983749
1597516298,983749
1597516301,983749
1597516304,983749
1597516307,983749
1597516310,983749
1597516313,983749
1597516316,983749
1597516319,983749
1597516322,983749
1597516325,983749
1597516328,983749
1597516331,983749
1597516334,983749
1597516337,983749
1597516340,983749
1597516343,983749
1597516346,983749
1597516349,983749
1597516352,983749
1597516355,983749
1597516358,983749
1597516361,983749
1597516364,983749
1597516367,983749
1597516370,983749
1597516373,983749
1597516376,983749
1597516379,983749
1597516382,983749
1597516385,983749
1597516388,983749
1597516391,983749
1597516394,983749
1597516397,983749
1597516400,983749
1597516403,983749
1597516406,983749
1597516409,983749
1597516412,983749
1597516415,983749
1597516418,983749
1597516421,983749
1597516424,983749
1597516427,983749
1597516430,983749
1597516433,983749
1597516436,983749
1597516439,983749
1597516442,983749
1597516445,983749
1597516448,983749
1597516451,983749
1597516454,983749
1597516457,983749
1597516460,983749
1597516463,983749
1597516466,983749
1597516469,983749
1597516472,983749
1597516475,983749
1597516478,983749
1597516481,983749
1597516484,983749
1597516487,983749
1597516490,983749
1597516493,983749
1597516496,983749
1597516499,983749
1597516502,983749
1597516505,983749
1597516508,983749
1597516511,983749
1597516514,983749
1597516517,983749
1597516520,983749
1597516523,983749
1597516526,983749
1597516529,983749
1597516532,983749
