t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,1634,431.989505,0.000000,0.000000,0.000000,events/second
1597515518,1636,261.669839,0.000000,0.000000,0.000000,events/second
1597515521,1694,186.308992,0.000000,0.000000,0.000000,events/second
1597515524,1696,139.869903,0.000000,0.000000,0.000000,events/second
1597515527,1707,113.203016,0.000000,0.000000,0.000000,events/second
1597515530,1709,94.690679,0.000000,0.000000,0.000000,events/second
1597515533,1711,81.214022,0.000000,0.000000,0.000000,events/second
1597515536,1713,71.128711,0.000000,0.000000,0.000000,events/second
1597515539,1715,63.367522,0.000000,0.000000,0.000000,events/second
1597515542,1717,57.109912,0.000000,0.000000,0.000000,events/second
1597515545,1719,52.005173,0.000000,0.000000,0.000000,events/second
1597515548,1721,47.718755,0.000000,0.000000,0.000000,events/second
1597515551,1723,44.130567,0.000000,0.000000,0.000000,events/second
1597515554,1725,41.025521,0.000000,0.000000,0.000000,events/second
1597515557,1727,38.334179,0.000000,0.000000,0.000000,events/second
1597515560,1729,35.986092,0.000000,0.000000,0.000000,events/second
1597515563,1844,36.095638,0.000000,0.000000,0.000000,events/second
1597515566,1858,34.388087,0.000000,0.000000,0.000000,events/second
1597515569,1860,32.597101,0.000000,0.000000,0.000000,events/second
1597515572,1962,32.666215,0.000000,0.000000,0.000000,events/second
1597515575,1964,31.138332,0.000000,0.000000,0.000000,events/second
1597515578,1966,29.775652,0.000000,0.000000,0.000000,events/second
1597515581,1968,28.494312,0.000000,0.000000,0.000000,events/second
1597515584,1970,27.335189,0.000000,0.000000,0.000000,events/second
1597515587,1972,26.263377,0.000000,0.000000,0.000000,events/second
1597515590,1974,25.252070,0.000000,0.000000,0.000000,events/second
1597515593,1976,24.336844,0.000000,0.000000,0.000000,events/second
1597515596,1978,23.535664,0.000000,0.000000,0.000000,events/second
1597515599,1980,22.743617,0.000000,0.000000,0.000000,events/second
1597515602,1982,22.012869,0.000000,0.000000,0.000000,events/second
1597515605,1984,21.324693,0.000000,0.000000,0.000000,events/second
1597515608,1986,20.679196,0.000000,0.000000,0.000000,events/second
1597515611,1988,20.064730,0.000000,0.000000,0.000000,events/second
1597515614,1990,19.501734,0.000000,0.000000,0.000000,events/second
1597515617,1992,18.948741,0.000000,0.000000,0.000000,events/second
1597515620,1994,18.453242,0.000000,0.000000,0.000000,events/second
1597515623,2121,19.102463,0.000000,0.000000,0.000000,events/second
1597515626,2123,18.610247,0.000000,0.000000,0.000000,events/second
1597515629,2125,18.147900,0.000000,0.000000,0.000000,events/second
1597515632,2227,18.541471,0.000000,0.000000,0.000000,events/second
1597515635,2229,18.105589,0.000000,0.000000,0.000000,events/second
1597515638,2231,17.664289,0.000000,0.000000,0.000000,events/second
1597515641,2233,17.301090,0.000000,0.000000,0.000000,events/second
1597515644,2235,16.925688,0.000000,0.000000,0.000000,events/second
1597515647,2237,16.535410,0.000000,0.000000,0.000000,events/second
1597515650,2239,16.209503,0.000000,0.000000,0.000000,events/second
1597515653,2246,15.922860,0.000000,0.000000,0.000000,events/second
1597515656,2318,16.088856,0.000000,0.000000,0.000000,events/second
1597515659,2324,15.802906,0.000000,0.000000,0.000000,events/second
1597515662,2336,15.570212,0.000000,0.000000,0.000000,events/second
1597515665,2338,15.274247,0.000000,0.000000,0.000000,events/second
1597515668,2340,14.995524,0.000000,0.000000,0.000000,events/second
1597515671,2342,14.723723,0.000000,0.000000,0.000000,events/second
1597515674,2344,14.465871,0.000000,0.000000,0.000000,events/second
1597515677,2346,14.214379,0.000000,0.000000,0.000000,events/second
1597515680,2348,13.973394,0.000000,0.000000,0.000000,events/second
1597515683,2475,14.470528,0.000000,0.000000,0.000000,events/second
1597515686,2477,14.230883,0.000000,0.000000,0.000000,events/second
1597515689,2479,14.002684,0.000000,0.000000,0.000000,events/second
1597515692,2581,14.335340,0.000000,0.000000,0.000000,events/second
1597515695,2583,14.111031,0.000000,0.000000,0.000000,events/second
1597515698,2585,13.896215,0.000000,0.000000,0.000000,events/second
1597515701,2587,13.685282,0.000000,0.000000,0.000000,events/second
1597515704,2589,13.481825,0.000000,0.000000,0.000000,events/second
1597515707,2591,13.284827,0.000000,0.000000,0.000000,events/second
1597515710,2614,13.188559,0.000000,0.000000,0.000000,events/second
1597515713,2620,13.032266,0.000000,0.000000,0.000000,events/second
1597515716,2622,12.851379,0.000000,0.000000,0.000000,events/second
1597515719,2624,12.673225,0.000000,0.000000,0.000000,events/second
1597515722,2626,12.503114,0.000000,0.000000,0.000000,events/second
1597515725,2628,12.335687,0.000000,0.000000,0.000000,events/second
1597515728,2652,12.273196,0.000000,0.000000,0.000000,events/second
1597515731,2654,12.116040,0.000000,0.000000,0.000000,events/second
1597515734,2656,11.962197,0.000000,0.000000,0.000000,events/second
1597515737,2658,11.811845,0.000000,0.000000,0.000000,events/second
1597515740,2660,11.664469,0.000000,0.000000,0.000000,events/second
1597515743,2716,11.749887,0.000000,0.000000,0.000000,events/second
1597515746,2794,11.937552,0.000000,0.000000,0.000000,events/second
1597515749,2796,11.792711,0.000000,0.000000,0.000000,events/second
1597515752,2920,12.164545,0.000000,0.000000,0.000000,events/second
1597515755,3100,12.754600,0.000000,0.000000,0.000000,events/second
1597515758,3157,12.831082,0.000000,0.000000,0.000000,events/second
1597515761,3195,12.826605,0.000000,0.000000,0.000000,events/second
1597515764,3197,12.681388,0.000000,0.000000,0.000000,events/second
1597515767,31551,123.657720,0.000000,0.000000,0.000000,events/second
1597515770,31605,122.406795,0.000000,0.000000,0.000000,events/second
1597515773,92984,356.068894,0.000000,0.000000,0.000000,events/second
1597515776,137847,522.106295,0.000000,0.000000,0.000000,events/second
1597515779,137851,516.221550,0.000000,0.000000,0.000000,events/second
1597515782,137863,510.537222,0.000000,0.000000,0.000000,events/second
1597515785,137863,504.931342,0.000000,0.000000,0.000000,events/second
1597515788,137863,499.462988,0.000000,0.000000,0.000000,events/second
1597515791,137883,494.135337,0.000000,0.000000,0.000000,events/second
1597515794,137883,488.885857,0.000000,0.000000,0.000000,events/second
1597515797,137883,483.732887,0.000000,0.000000,0.000000,events/second
1597515800,137883,478.533838,0.000000,0.000000,0.000000,events/second
1597515803,138008,474.201847,0.000000,0.000000,0.000000,events/second
1597515806,138008,469.345573,0.000000,0.000000,0.000000,events/second
1597515809,138008,464.570298,0.000000,0.000000,0.000000,events/second
1597515812,138398,461.251156,0.000000,0.000000,0.000000,events/second
1597515815,138398,456.719261,0.000000,0.000000,0.000000,events/second
1597515818,138398,452.169294,0.000000,0.000000,0.000000,events/second
1597515821,138398,447.820474,0.000000,0.000000,0.000000,events/second
1597515824,138398,443.491400,0.000000,0.000000,0.000000,events/second
1597515827,138398,439.267945,0.000000,0.000000,0.000000,events/second
1597515830,138418,435.156308,0.000000,0.000000,0.000000,events/second
1597515833,138418,431.164983,0.000000,0.000000,0.000000,events/second
1597515836,138418,427.173254,0.000000,0.000000,0.000000,events/second
1597515839,138418,423.258731,0.000000,0.000000,0.000000,events/second
1597515842,138418,419.390304,0.000000,0.000000,0.000000,events/second
1597515845,138418,415.627177,0.000000,0.000000,0.000000,events/second
1597515848,138418,411.915026,0.000000,0.000000,0.000000,events/second
1597515851,138438,408.308674,0.000000,0.000000,0.000000,events/second
1597515854,138438,404.730859,0.000000,0.000000,0.000000,events/second
1597515857,138438,401.220944,0.000000,0.000000,0.000000,events/second
1597515860,138438,397.740840,0.000000,0.000000,0.000000,events/second
1597515863,138563,394.734553,0.000000,0.000000,0.000000,events/second
1597515866,138563,391.366337,0.000000,0.000000,0.000000,events/second
1597515869,138563,388.105541,0.000000,0.000000,0.000000,events/second
1597515872,138933,385.901731,0.000000,0.000000,0.000000,events/second
1597515875,138933,382.668080,0.000000,0.000000,0.000000,events/second
1597515878,138933,379.547821,0.000000,0.000000,0.000000,events/second
1597515881,138933,376.442616,0.000000,0.000000,0.000000,events/second
1597515884,138933,373.443125,0.000000,0.000000,0.000000,events/second
1597515887,138933,370.431957,0.000000,0.000000,0.000000,events/second
1597515890,138933,367.364219,0.000000,0.000000,0.000000,events/second
1597515893,138933,364.583007,0.000000,0.000000,0.000000,events/second
1597515896,138933,361.772045,0.000000,0.000000,0.000000,events/second
1597515899,138933,358.957802,0.000000,0.000000,0.000000,events/second
1597515902,138933,356.207286,0.000000,0.000000,0.000000,events/second
1597515905,138933,353.496373,0.000000,0.000000,0.000000,events/second
1597515908,138933,350.808051,0.000000,0.000000,0.000000,events/second
1597515911,138933,348.182640,0.000000,0.000000,0.000000,events/second
1597515914,138933,345.581361,0.000000,0.000000,0.000000,events/second
1597515917,138933,342.995406,0.000000,0.000000,0.000000,events/second
1597515920,138933,340.419139,0.000000,0.000000,0.000000,events/second
1597515923,139058,338.294465,0.000000,0.000000,0.000000,events/second
1597515926,139058,335.874946,0.000000,0.000000,0.000000,events/second
1597515929,139058,333.452317,0.000000,0.000000,0.000000,events/second
1597515932,139428,331.953658,0.000000,0.000000,0.000000,events/second
1597515935,139428,329.589472,0.000000,0.000000,0.000000,events/second
1597515938,139428,327.260507,0.000000,0.000000,0.000000,events/second
1597515941,139428,324.979432,0.000000,0.000000,0.000000,events/second
1597515944,139428,322.718069,0.000000,0.000000,0.000000,events/second
1597515947,139428,320.506233,0.000000,0.000000,0.000000,events/second
1597515950,139428,318.306276,0.000000,0.000000,0.000000,events/second
1597515953,139428,315.946527,0.000000,0.000000,0.000000,events/second
1597515956,139428,313.990136,0.000000,0.000000,0.000000,events/second
1597515959,139428,311.819428,0.000000,0.000000,0.000000,events/second
1597515962,139428,309.819432,0.000000,0.000000,0.000000,events/second
1597515965,139428,307.766421,0.000000,0.000000,0.000000,events/second
1597515968,139428,305.741730,0.000000,0.000000,0.000000,events/second
1597515971,139428,303.745745,0.000000,0.000000,0.000000,events/second
1597515974,139428,301.749279,0.000000,0.000000,0.000000,events/second
1597515977,139428,299.709116,0.000000,0.000000,0.000000,events/second
1597515980,139428,297.823815,0.000000,0.000000,0.000000,events/second
1597515983,139553,296.272151,0.000000,0.000000,0.000000,events/second
1597515986,139553,294.339018,0.000000,0.000000,0.000000,events/second
1597515989,139553,292.518483,0.000000,0.000000,0.000000,events/second
1597515992,140013,291.672072,0.000000,0.000000,0.000000,events/second
1597515995,150123,310.773829,0.000000,0.000000,0.000000,events/second
1597515998,150123,308.873034,0.000000,0.000000,0.000000,events/second
1597516001,160233,327.582228,0.000000,0.000000,0.000000,events/second
1597516004,160259,325.700903,0.000000,0.000000,0.000000,events/second
