t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,161,41.506681,0.000000,0.000000,0.000000,events/second
1597515518,161,25.678027,0.000000,0.000000,0.000000,events/second
1597515521,161,17.672273,0.000000,0.000000,0.000000,events/second
1597515524,208,17.125688,0.000000,0.000000,0.000000,events/second
1597515527,208,13.781244,0.000000,0.000000,0.000000,events/second
1597515530,208,11.525761,0.000000,0.000000,0.000000,events/second
1597515533,208,9.873609,0.000000,0.000000,0.000000,events/second
1597515536,208,8.631737,0.000000,0.000000,0.000000,events/second
1597515539,208,7.686244,0.000000,0.000000,0.000000,events/second
1597515542,208,6.918986,0.000000,0.000000,0.000000,events/second
1597515545,208,6.293189,0.000000,0.000000,0.000000,events/second
1597515548,208,5.767595,0.000000,0.000000,0.000000,events/second
1597515551,208,5.327877,0.000000,0.000000,0.000000,events/second
1597515554,208,4.947191,0.000000,0.000000,0.000000,events/second
1597515557,208,4.616862,0.000000,0.000000,0.000000,events/second
1597515560,208,4.329434,0.000000,0.000000,0.000000,events/second
1597515563,208,4.071452,0.000000,0.000000,0.000000,events/second
1597515566,208,3.849944,0.000000,0.000000,0.000000,events/second
1597515569,208,3.645114,0.000000,0.000000,0.000000,events/second
1597515572,208,3.462960,0.000000,0.000000,0.000000,events/second
1597515575,208,3.297849,0.000000,0.000000,0.000000,events/second
1597515578,208,3.150365,0.000000,0.000000,0.000000,events/second
1597515581,208,3.011609,0.000000,0.000000,0.000000,events/second
1597515584,208,2.886155,0.000000,0.000000,0.000000,events/second
1597515587,208,2.770048,0.000000,0.000000,0.000000,events/second
1597515590,208,2.660223,0.000000,0.000000,0.000000,events/second
1597515593,208,2.560033,0.000000,0.000000,0.000000,events/second
1597515596,208,2.475021,0.000000,0.000000,0.000000,events/second
1597515599,208,2.389297,0.000000,0.000000,0.000000,events/second
1597515602,208,2.310211,0.000000,0.000000,0.000000,events/second
1597515605,208,2.235751,0.000000,0.000000,0.000000,events/second
1597515608,208,2.165816,0.000000,0.000000,0.000000,events/second
1597515611,208,2.099251,0.000000,0.000000,0.000000,events/second
1597515614,208,2.038358,0.000000,0.000000,0.000000,events/second
1597515617,208,1.978558,0.000000,0.000000,0.000000,events/second
1597515620,208,1.924946,0.000000,0.000000,0.000000,events/second
1597515623,208,1.873387,0.000000,0.000000,0.000000,events/second
1597515626,208,1.823006,0.000000,0.000000,0.000000,events/second
1597515629,208,1.776255,0.000000,0.000000,0.000000,events/second
1597515632,208,1.731746,0.000000,0.000000,0.000000,events/second
1597515635,208,1.689368,0.000000,0.000000,0.000000,events/second
1597515638,208,1.646387,0.000000,0.000000,0.000000,events/second
1597515641,208,1.611511,0.000000,0.000000,0.000000,events/second
1597515644,208,1.575051,0.000000,0.000000,0.000000,events/second
