t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,71,7.884274,0.000000,0.000000,0.000000,events/second
1597515524,71,5.901192,0.000000,0.000000,0.000000,events/second
1597515527,7622,508.033684,0.000000,0.000000,0.000000,events/second
1597515530,7622,423.735935,0.000000,0.000000,0.000000,events/second
1597515533,7622,362.827257,0.000000,0.000000,0.000000,events/second
1597515536,7622,317.634164,0.000000,0.000000,0.000000,events/second
1597515539,7622,282.251384,0.000000,0.000000,0.000000,events/second
1597515542,7622,254.030207,0.000000,0.000000,0.000000,events/second
1597515545,7622,230.994068,0.000000,0.000000,0.000000,events/second
1597515548,7622,211.725579,0.000000,0.000000,0.000000,events/second
1597515551,7622,195.508488,0.000000,0.000000,0.000000,events/second
1597515554,7622,181.523250,0.000000,0.000000,0.000000,events/second
1597515557,7622,169.412149,0.000000,0.000000,0.000000,events/second
1597515560,7622,158.830802,0.000000,0.000000,0.000000,events/second
1597515563,7622,149.382797,0.000000,0.000000,0.000000,events/second
1597515566,7622,141.220418,0.000000,0.000000,0.000000,events/second
1597515569,7622,133.735461,0.000000,0.000000,0.000000,events/second
1597515572,7622,127.040337,0.000000,0.000000,0.000000,events/second
1597515575,7622,120.955481,0.000000,0.000000,0.000000,events/second
1597515578,7622,115.538667,0.000000,0.000000,0.000000,events/second
1597515581,7622,110.455901,0.000000,0.000000,0.000000,events/second
1597515584,7622,105.865686,0.000000,0.000000,0.000000,events/second
1597515587,7622,101.619469,0.000000,0.000000,0.000000,events/second
1597515590,7622,97.633905,0.000000,0.000000,0.000000,events/second
1597515593,7622,93.964441,0.000000,0.000000,0.000000,events/second
1597515596,7622,90.756818,0.000000,0.000000,0.000000,events/second
1597515599,7622,87.610369,0.000000,0.000000,0.000000,events/second
1597515602,7622,84.706311,0.000000,0.000000,0.000000,events/second
1597515605,7622,81.973456,0.000000,0.000000,0.000000,events/second
1597515608,7622,79.411693,0.000000,0.000000,0.000000,events/second
1597515611,7622,76.983800,0.000000,0.000000,0.000000,events/second
1597515614,7622,74.736241,0.000000,0.000000,0.000000,events/second
1597515617,7622,72.569250,0.000000,0.000000,0.000000,events/second
1597515620,7622,70.577049,0.000000,0.000000,0.000000,events/second
1597515623,7622,68.681454,0.000000,0.000000,0.000000,events/second
1597515626,7622,66.848633,0.000000,0.000000,0.000000,events/second
1597515629,7622,65.143507,0.000000,0.000000,0.000000,events/second
1597515632,7622,63.499229,0.000000,0.000000,0.000000,events/second
1597515635,7622,61.957663,0.000000,0.000000,0.000000,events/second
1597515638,7622,60.462578,0.000000,0.000000,0.000000,events/second
1597515641,7622,59.089391,0.000000,0.000000,0.000000,events/second
1597515644,7622,57.750389,0.000000,0.000000,0.000000,events/second
1597515647,8159,60.403596,0.000000,0.000000,0.000000,events/second
1597515650,10942,79.263616,0.000000,0.000000,0.000000,events/second
1597515653,13301,94.342887,0.000000,0.000000,0.000000,events/second
1597515656,17854,123.979653,0.000000,0.000000,0.000000,events/second
1597515659,18672,127.027283,0.000000,0.000000,0.000000,events/second
1597515662,19064,127.119266,0.000000,0.000000,0.000000,events/second
1597515665,19064,124.592465,0.000000,0.000000,0.000000,events/second
1597515668,19074,122.278729,0.000000,0.000000,0.000000,events/second
