t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,64,8.800595,0.000000,0.000000,0.000000,events/second
1597515518,64,6.518559,0.000000,0.000000,0.000000,events/second
1597515521,64,5.048200,0.000000,0.000000,0.000000,events/second
1597515524,64,4.074810,0.000000,0.000000,0.000000,events/second
1597515527,64,3.427894,0.000000,0.000000,0.000000,events/second
1597515530,64,2.956226,0.000000,0.000000,0.000000,events/second
1597515533,64,2.594446,0.000000,0.000000,0.000000,events/second
1597515536,64,2.312401,0.000000,0.000000,0.000000,events/second
1597515539,64,2.087016,0.000000,0.000000,0.000000,events/second
1597515542,64,1.901091,0.000000,0.000000,0.000000,events/second
1597515545,64,1.745942,0.000000,0.000000,0.000000,events/second
1597515548,64,1.613558,0.000000,0.000000,0.000000,events/second
1597515551,64,1.500753,0.000000,0.000000,0.000000,events/second
1597515554,64,1.401993,0.000000,0.000000,0.000000,events/second
1597515557,64,1.315483,0.000000,0.000000,0.000000,events/second
1597515560,64,1.239152,0.000000,0.000000,0.000000,events/second
1597515563,64,1.170331,0.000000,0.000000,0.000000,events/second
1597515566,64,1.110486,0.000000,0.000000,0.000000,events/second
1597515569,64,1.055113,0.000000,0.000000,0.000000,events/second
1597515572,64,1.005365,0.000000,0.000000,0.000000,events/second
1597515575,64,0.959873,0.000000,0.000000,0.000000,events/second
1597515578,64,0.919157,0.000000,0.000000,0.000000,events/second
1597515581,64,0.880738,0.000000,0.000000,0.000000,events/second
1597515584,64,0.845809,0.000000,0.000000,0.000000,events/second
1597515587,64,0.813464,0.000000,0.000000,0.000000,events/second
1597515590,64,0.782897,0.000000,0.000000,0.000000,events/second
1597515593,64,0.754871,0.000000,0.000000,0.000000,events/second
1597515596,64,0.730218,0.000000,0.000000,0.000000,events/second
1597515599,64,0.705939,0.000000,0.000000,0.000000,events/second
1597515602,64,0.683460,0.000000,0.000000,0.000000,events/second
1597515605,64,0.662246,0.000000,0.000000,0.000000,events/second
1597515608,64,0.642306,0.000000,0.000000,0.000000,events/second
1597515611,64,0.623332,0.000000,0.000000,0.000000,events/second
1597515614,64,0.605804,0.000000,0.000000,0.000000,events/second
1597515617,64,0.588700,0.000000,0.000000,0.000000,events/second
1597515620,64,0.573186,0.000000,0.000000,0.000000,events/second
1597515623,64,0.558291,0.000000,0.000000,0.000000,events/second
1597515626,64,0.543850,0.000000,0.000000,0.000000,events/second
1597515629,64,0.530289,0.000000,0.000000,0.000000,events/second
1597515632,64,0.517403,0.000000,0.000000,0.000000,events/second
1597515635,64,0.505173,0.000000,0.000000,0.000000,events/second
1597515638,64,0.492937,0.000000,0.000000,0.000000,events/second
1597515641,64,0.482430,0.000000,0.000000,0.000000,events/second
1597515644,64,0.471825,0.000000,0.000000,0.000000,events/second
1597515647,64,0.460828,0.000000,0.000000,0.000000,events/second
1597515650,64,0.451612,0.000000,0.000000,0.000000,events/second
1597515653,64,0.442447,0.000000,0.000000,0.000000,events/second
1597515656,64,0.433391,0.000000,0.000000,0.000000,events/second
1597515659,64,0.424804,0.000000,0.000000,0.000000,events/second
1597515662,64,0.416584,0.000000,0.000000,0.000000,events/second
1597515665,64,0.408500,0.000000,0.000000,0.000000,events/second
1597515668,64,0.400879,0.000000,0.000000,0.000000,events/second
1597515671,64,0.393451,0.000000,0.000000,0.000000,events/second
1597515674,64,0.386386,0.000000,0.000000,0.000000,events/second
1597515677,64,0.379502,0.000000,0.000000,0.000000,events/second
1597515680,64,0.372883,0.000000,0.000000,0.000000,events/second
1597515683,64,0.366471,0.000000,0.000000,0.000000,events/second
1597515686,64,0.360247,0.000000,0.000000,0.000000,events/second
1597515689,64,0.354296,0.000000,0.000000,0.000000,events/second
1597515692,64,0.348495,0.000000,0.000000,0.000000,events/second
1597515695,64,0.342897,0.000000,0.000000,0.000000,events/second
1597515698,64,0.337510,0.000000,0.000000,0.000000,events/second
1597515701,64,0.332236,0.000000,0.000000,0.000000,events/second
1597515704,64,0.327141,0.000000,0.000000,0.000000,events/second
1597515707,64,0.322196,0.000000,0.000000,0.000000,events/second
1597515710,64,0.317217,0.000000,0.000000,0.000000,events/second
1597515713,64,0.312743,0.000000,0.000000,0.000000,events/second
1597515716,64,0.308245,0.000000,0.000000,0.000000,events/second
1597515719,64,0.303823,0.000000,0.000000,0.000000,events/second
1597515722,64,0.299582,0.000000,0.000000,0.000000,events/second
1597515725,64,0.295418,0.000000,0.000000,0.000000,events/second
1597515728,64,0.291335,0.000000,0.000000,0.000000,events/second
