t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,7,0.777152,0.000000,0.000000,0.000000,events/second
1597515524,7,0.581705,0.000000,0.000000,0.000000,events/second
1597515527,7155,476.851041,0.000000,0.000000,0.000000,events/second
1597515530,7155,397.741186,0.000000,0.000000,0.000000,events/second
1597515533,7155,340.572773,0.000000,0.000000,0.000000,events/second
1597515536,7155,298.149190,0.000000,0.000000,0.000000,events/second
1597515539,7155,264.944617,0.000000,0.000000,0.000000,events/second
1597515542,7155,238.454842,0.000000,0.000000,0.000000,events/second
1597515545,7155,216.831124,0.000000,0.000000,0.000000,events/second
1597515548,7155,198.744999,0.000000,0.000000,0.000000,events/second
1597515551,7155,183.523333,0.000000,0.000000,0.000000,events/second
1597515554,7155,170.395835,0.000000,0.000000,0.000000,events/second
1597515557,7155,159.027489,0.000000,0.000000,0.000000,events/second
1597515560,7155,149.095104,0.000000,0.000000,0.000000,events/second
1597515563,7155,140.226162,0.000000,0.000000,0.000000,events/second
1597515566,7155,132.564502,0.000000,0.000000,0.000000,events/second
1597515569,7155,125.538357,0.000000,0.000000,0.000000,events/second
1597515572,7155,119.253788,0.000000,0.000000,0.000000,events/second
1597515575,7155,113.542136,0.000000,0.000000,0.000000,events/second
1597515578,7155,108.457321,0.000000,0.000000,0.000000,events/second
1597515581,7155,103.686257,0.000000,0.000000,0.000000,events/second
1597515584,7155,99.377265,0.000000,0.000000,0.000000,events/second
1597515587,7155,95.391269,0.000000,0.000000,0.000000,events/second
1597515590,7155,91.648810,0.000000,0.000000,0.000000,events/second
1597515593,7155,88.205110,0.000000,0.000000,0.000000,events/second
1597515596,7155,85.194770,0.000000,0.000000,0.000000,events/second
1597515599,7155,82.241246,0.000000,0.000000,0.000000,events/second
1597515602,7155,79.515191,0.000000,0.000000,0.000000,events/second
1597515605,7155,76.949836,0.000000,0.000000,0.000000,events/second
1597515608,7155,74.545123,0.000000,0.000000,0.000000,events/second
1597515611,7155,72.265951,0.000000,0.000000,0.000000,events/second
1597515614,7155,70.156236,0.000000,0.000000,0.000000,events/second
1597515617,7155,68.121186,0.000000,0.000000,0.000000,events/second
1597515620,7155,66.251915,0.000000,0.000000,0.000000,events/second
1597515623,7155,64.472581,0.000000,0.000000,0.000000,events/second
1597515626,7155,62.751919,0.000000,0.000000,0.000000,events/second
1597515629,7155,61.150949,0.000000,0.000000,0.000000,events/second
1597515632,7155,59.607932,0.000000,0.000000,0.000000,events/second
1597515635,7155,58.160862,0.000000,0.000000,0.000000,events/second
1597515638,7155,56.757259,0.000000,0.000000,0.000000,events/second
1597515641,7155,55.468233,0.000000,0.000000,0.000000,events/second
1597515644,7155,54.211437,0.000000,0.000000,0.000000,events/second
1597515647,7675,56.819794,0.000000,0.000000,0.000000,events/second
1597515650,12141,87.948166,0.000000,0.000000,0.000000,events/second
1597515653,14285,101.321243,0.000000,0.000000,0.000000,events/second
1597515656,18400,127.769811,0.000000,0.000000,0.000000,events/second
1597515659,19148,130.264234,0.000000,0.000000,0.000000,events/second
1597515662,19528,130.212038,0.000000,0.000000,0.000000,events/second
1597515665,19528,127.623851,0.000000,0.000000,0.000000,events/second
1597515668,19540,125.265094,0.000000,0.000000,0.000000,events/second
