t,value
1597515515,24290816
1597515518,24290816
1597515521,24290816
1597515524,29998080
1597515527,29998080
1597515530,29998080
1597515533,29998080
1597515536,29998080
1597515539,29998080
1597515542,29998080
1597515545,29998080
1597515548,29998080
1597515551,29998080
1597515554,29998080
1597515557,29998080
1597515560,29998080
1597515563,29998080
1597515566,29998080
1597515569,29998080
1597515572,29998080
1597515575,29998080
1597515578,29998080
1597515581,29998080
1597515584,29998080
1597515587,29998080
1597515590,29998080
1597515593,29998080
1597515596,29998080
1597515599,29998080
1597515602,29998080
1597515605,29998080
1597515608,29998080
1597515611,29998080
1597515614,29998080
1597515617,29998080
1597515620,29998080
1597515623,29998080
1597515626,29998080
1597515629,29998080
1597515632,29998080
1597515635,29998080
1597515638,29998080
1597515641,29998080
1597515644,29998080
1597515647,29998080
1597515650,29998080
1597515653,33196032
1597515656,33196032
1597515659,33196032
1597515662,33196032
1597515665,33196032
1597515668,33196032
1597515671,33196032
1597515674,33196032
1597515677,33196032
1597515680,33196032
1597515683,33196032
1597515686,33196032
1597515689,33196032
1597515692,33196032
1597515695,33196032
1597515698,33196032
1597515701,33196032
1597515704,33196032
1597515707,33196032
1597515710,33196032
1597515713,33196032
1597515716,33196032
1597515719,33196032
1597515722,33196032
1597515725,33196032
1597515728,33196032
1597515731,33196032
1597515734,33196032
1597515737,33196032
1597515740,33196032
1597515743,33196032
1597515746,33196032
1597515749,33196032
1597515752,33196032
1597515755,52193792
1597515758,52193792
1597515761,60582400
1597515764,60582400
1597515767,68971008
1597515770,61630976
1597515773,70019584
1597515776,70019584
1597515779,70019584
1597515782,70019584
1597515785,70019584
1597515788,70019584
1597515791,70019584
1597515794,70019584
1597515797,70019584
1597515800,70019584
1597515803,70019584
1597515806,70019584
1597515809,70019584
1597515812,70019584
1597515815,70019584
1597515818,70019584
1597515821,70019584
1597515824,70019584
1597515827,70019584
1597515830,70019584
1597515833,70019584
1597515836,70019584
1597515839,70019584
1597515842,70019584
1597515845,70019584
1597515848,70019584
1597515851,70019584
1597515854,70019584
1597515857,70019584
1597515860,70019584
1597515863,70019584
1597515866,70019584
1597515869,70019584
1597515872,70019584
1597515875,70019584
1597515878,70019584
1597515881,70019584
1597515884,70019584
1597515887,70019584
1597515890,70019584
1597515893,70019584
1597515896,70019584
1597515899,70019584
1597515902,70019584
1597515905,70019584
1597515908,70019584
1597515911,70019584
1597515914,70019584
1597515917,70019584
1597515920,70019584
1597515923,70019584
1597515926,70019584
1597515929,70019584
1597515932,70019584
1597515935,70019584
1597515938,70019584
1597515941,70019584
