t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,1,0.110933,0.000000,0.000000,0.000000,events/second
1597515524,1,0.083050,0.000000,0.000000,0.000000,events/second
1597515527,2,0.133231,0.000000,0.000000,0.000000,events/second
1597515530,2,0.111138,0.000000,0.000000,0.000000,events/second
1597515533,2,0.095169,0.000000,0.000000,0.000000,events/second
1597515536,2,0.083315,0.000000,0.000000,0.000000,events/second
1597515539,2,0.074041,0.000000,0.000000,0.000000,events/second
1597515542,2,0.066640,0.000000,0.000000,0.000000,events/second
1597515545,2,0.060598,0.000000,0.000000,0.000000,events/second
1597515548,2,0.055543,0.000000,0.000000,0.000000,events/second
1597515551,2,0.051291,0.000000,0.000000,0.000000,events/second
1597515554,2,0.047622,0.000000,0.000000,0.000000,events/second
1597515557,2,0.044446,0.000000,0.000000,0.000000,events/second
1597515560,2,0.041670,0.000000,0.000000,0.000000,events/second
1597515563,2,0.039192,0.000000,0.000000,0.000000,events/second
1597515566,2,0.037051,0.000000,0.000000,0.000000,events/second
1597515569,2,0.035087,0.000000,0.000000,0.000000,events/second
1597515572,2,0.033331,0.000000,0.000000,0.000000,events/second
1597515575,2,0.031735,0.000000,0.000000,0.000000,events/second
1597515578,2,0.030314,0.000000,0.000000,0.000000,events/second
1597515581,2,0.028980,0.000000,0.000000,0.000000,events/second
1597515584,2,0.027773,0.000000,0.000000,0.000000,events/second
1597515587,2,0.026662,0.000000,0.000000,0.000000,events/second
1597515590,2,0.025616,0.000000,0.000000,0.000000,events/second
1597515593,2,0.024653,0.000000,0.000000,0.000000,events/second
1597515596,2,0.023812,0.000000,0.000000,0.000000,events/second
1597515599,2,0.022987,0.000000,0.000000,0.000000,events/second
1597515602,2,0.022225,0.000000,0.000000,0.000000,events/second
1597515605,2,0.021508,0.000000,0.000000,0.000000,events/second
1597515608,2,0.020836,0.000000,0.000000,0.000000,events/second
1597515611,2,0.020199,0.000000,0.000000,0.000000,events/second
1597515614,2,0.019609,0.000000,0.000000,0.000000,events/second
1597515617,2,0.019040,0.000000,0.000000,0.000000,events/second
1597515620,2,0.018518,0.000000,0.000000,0.000000,events/second
1597515623,2,0.018021,0.000000,0.000000,0.000000,events/second
1597515626,2,0.017540,0.000000,0.000000,0.000000,events/second
1597515629,2,0.017092,0.000000,0.000000,0.000000,events/second
1597515632,2,0.016661,0.000000,0.000000,0.000000,events/second
1597515635,2,0.016257,0.000000,0.000000,0.000000,events/second
1597515638,2,0.015855,0.000000,0.000000,0.000000,events/second
1597515641,2,0.015504,0.000000,0.000000,0.000000,events/second
1597515644,2,0.015153,0.000000,0.000000,0.000000,events/second
1597515647,3,0.022209,0.000000,0.000000,0.000000,events/second
1597515650,3,0.021731,0.000000,0.000000,0.000000,events/second
1597515653,3,0.021278,0.000000,0.000000,0.000000,events/second
1597515656,3,0.020831,0.000000,0.000000,0.000000,events/second
1597515659,3,0.020408,0.000000,0.000000,0.000000,events/second
1597515662,3,0.020003,0.000000,0.000000,0.000000,events/second
1597515665,3,0.019605,0.000000,0.000000,0.000000,events/second
1597515668,3,0.019231,0.000000,0.000000,0.000000,events/second
1597515671,3,0.018867,0.000000,0.000000,0.000000,events/second
1597515674,3,0.018520,0.000000,0.000000,0.000000,events/second
