t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,32466,2240.564077,0.000000,0.000000,0.000000,events/second
1597515518,32466,1916.169548,0.000000,0.000000,0.000000,events/second
1597515521,32466,1641.123371,0.000000,0.000000,0.000000,events/second
1597515524,32466,1422.971223,0.000000,0.000000,0.000000,events/second
1597515527,32466,1260.044172,0.000000,0.000000,0.000000,events/second
1597515530,32466,1129.927611,0.000000,0.000000,0.000000,events/second
1597515533,32466,1022.489729,0.000000,0.000000,0.000000,events/second
1597515536,32466,933.768894,0.000000,0.000000,0.000000,events/second
1597515539,32466,860.058366,0.000000,0.000000,0.000000,events/second
1597515542,32466,796.727558,0.000000,0.000000,0.000000,events/second
1597515545,32466,742.278262,0.000000,0.000000,0.000000,events/second
1597515548,32466,694.465727,0.000000,0.000000,0.000000,events/second
1597515551,32466,652.883221,0.000000,0.000000,0.000000,events/second
1597515554,32466,615.691269,0.000000,0.000000,0.000000,events/second
1597515557,32466,582.503292,0.000000,0.000000,0.000000,events/second
1597515560,32466,552.799098,0.000000,0.000000,0.000000,events/second
1597515563,32466,525.582930,0.000000,0.000000,0.000000,events/second
1597515566,32466,501.682822,0.000000,0.000000,0.000000,events/second
1597515569,32466,479.243520,0.000000,0.000000,0.000000,events/second
1597515572,32466,458.898801,0.000000,0.000000,0.000000,events/second
1597515575,32466,440.169953,0.000000,0.000000,0.000000,events/second
1597515578,32466,423.225172,0.000000,0.000000,0.000000,events/second
1597515581,32466,407.095293,0.000000,0.000000,0.000000,events/second
1597515584,32466,392.324417,0.000000,0.000000,0.000000,events/second
1597515587,32466,378.525611,0.000000,0.000000,0.000000,events/second
1597515590,32466,365.344515,0.000000,0.000000,0.000000,events/second
1597515593,32466,353.236318,0.000000,0.000000,0.000000,events/second
1597515596,32466,342.734109,0.000000,0.000000,0.000000,events/second
1597515599,32466,332.161945,0.000000,0.000000,0.000000,events/second
1597515602,32466,322.332507,0.000000,0.000000,0.000000,events/second
1597515605,32466,313.011714,0.000000,0.000000,0.000000,events/second
1597515608,32466,304.206551,0.000000,0.000000,0.000000,events/second
1597515611,32466,295.781032,0.000000,0.000000,0.000000,events/second
1597515614,32466,287.998569,0.000000,0.000000,0.000000,events/second
1597515617,32466,280.337260,0.000000,0.000000,0.000000,events/second
1597515620,32466,273.418741,0.000000,0.000000,0.000000,events/second
1597515623,32466,266.734460,0.000000,0.000000,0.000000,events/second
1597515626,32466,260.215203,0.000000,0.000000,0.000000,events/second
1597515629,32466,254.080356,0.000000,0.000000,0.000000,events/second
1597515632,32466,248.221559,0.000000,0.000000,0.000000,events/second
1597515635,32466,242.650530,0.000000,0.000000,0.000000,events/second
1597515638,32466,236.997309,0.000000,0.000000,0.000000,events/second
1597515641,32466,232.312351,0.000000,0.000000,0.000000,events/second
1597515644,32466,227.456495,0.000000,0.000000,0.000000,events/second
1597515647,32466,222.415458,0.000000,0.000000,0.000000,events/second
1597515650,32466,218.164767,0.000000,0.000000,0.000000,events/second
1597515653,32466,213.957173,0.000000,0.000000,0.000000,events/second
1597515656,32466,209.781389,0.000000,0.000000,0.000000,events/second
1597515659,32466,205.810529,0.000000,0.000000,0.000000,events/second
1597515662,32466,202.009844,0.000000,0.000000,0.000000,events/second
1597515665,32466,198.263357,0.000000,0.000000,0.000000,events/second
1597515668,32466,194.721218,0.000000,0.000000,0.000000,events/second
1597515671,32466,191.261253,0.000000,0.000000,0.000000,events/second
1597515674,32466,187.968516,0.000000,0.000000,0.000000,events/second
1597515677,32466,184.750998,0.000000,0.000000,0.000000,events/second
1597515680,32466,181.660899,0.000000,0.000000,0.000000,events/second
1597515683,32466,178.658302,0.000000,0.000000,0.000000,events/second
1597515686,32466,175.736179,0.000000,0.000000,0.000000,events/second
1597515689,32466,172.947936,0.000000,0.000000,0.000000,events/second
1597515692,32466,170.221056,0.000000,0.000000,0.000000,events/second
1597515695,32466,167.580688,0.000000,0.000000,0.000000,events/second
1597515698,32466,165.048549,0.000000,0.000000,0.000000,events/second
1597515701,32466,162.558129,0.000000,0.000000,0.000000,events/second
1597515704,32466,160.149574,0.000000,0.000000,0.000000,events/second
1597515707,32466,157.817668,0.000000,0.000000,0.000000,events/second
1597515710,32466,155.424330,0.000000,0.000000,0.000000,events/second
1597515713,32466,153.341611,0.000000,0.000000,0.000000,events/second
1597515716,32466,151.209612,0.000000,0.000000,0.000000,events/second
1597515719,32466,149.107764,0.000000,0.000000,0.000000,events/second
1597515722,32466,147.097089,0.000000,0.000000,0.000000,events/second
1597515725,32466,145.116161,0.000000,0.000000,0.000000,events/second
1597515728,32466,143.170176,0.000000,0.000000,0.000000,events/second
1597515731,32466,141.320978,0.000000,0.000000,0.000000,events/second
1597515734,32466,139.508144,0.000000,0.000000,0.000000,events/second
1597515737,32466,137.735651,0.000000,0.000000,0.000000,events/second
1597515740,32466,135.996569,0.000000,0.000000,0.000000,events/second
1597515743,32466,134.248195,0.000000,0.000000,0.000000,events/second
1597515746,32466,132.657589,0.000000,0.000000,0.000000,events/second
1597515749,32466,131.027496,0.000000,0.000000,0.000000,events/second
1597515752,32466,129.486753,0.000000,0.000000,0.000000,events/second
1597515755,32466,127.952703,0.000000,0.000000,0.000000,events/second
1597515758,32466,126.461164,0.000000,0.000000,0.000000,events/second
1597515761,32466,124.974652,0.000000,0.000000,0.000000,events/second
1597515764,32466,123.534708,0.000000,0.000000,0.000000,events/second
1597515767,32466,122.129051,0.000000,0.000000,0.000000,events/second
1597515770,32466,120.744081,0.000000,0.000000,0.000000,events/second
1597515773,32466,119.436739,0.000000,0.000000,0.000000,events/second
1597515776,32466,118.185088,0.000000,0.000000,0.000000,events/second
1597515779,32466,116.901010,0.000000,0.000000,0.000000,events/second
1597515782,32466,115.653060,0.000000,0.000000,0.000000,events/second
1597515785,32466,114.431003,0.000000,0.000000,0.000000,events/second
1597515788,32466,113.237877,0.000000,0.000000,0.000000,events/second
1597515791,32466,112.058885,0.000000,0.000000,0.000000,events/second
1597515794,32466,110.911854,0.000000,0.000000,0.000000,events/second
1597515797,32466,109.785018,0.000000,0.000000,0.000000,events/second
1597515800,32466,108.647101,0.000000,0.000000,0.000000,events/second
1597515803,32466,107.604381,0.000000,0.000000,0.000000,events/second
1597515806,32466,106.541217,0.000000,0.000000,0.000000,events/second
1597515809,32466,105.494635,0.000000,0.000000,0.000000,events/second
1597515812,32466,104.482042,0.000000,0.000000,0.000000,events/second
1597515815,32466,103.490395,0.000000,0.000000,0.000000,events/second
1597515818,32466,102.493804,0.000000,0.000000,0.000000,events/second
1597515821,32466,101.541285,0.000000,0.000000,0.000000,events/second
1597515824,32466,100.592035,0.000000,0.000000,0.000000,events/second
1597515827,32466,99.665458,0.000000,0.000000,0.000000,events/second
1597515830,32466,98.749154,0.000000,0.000000,0.000000,events/second
1597515833,32466,97.872789,0.000000,0.000000,0.000000,events/second
1597515836,32466,96.995598,0.000000,0.000000,0.000000,events/second
1597515839,32466,96.134872,0.000000,0.000000,0.000000,events/second
1597515842,32466,95.283774,0.000000,0.000000,0.000000,events/second
1597515845,32466,94.455412,0.000000,0.000000,0.000000,events/second
1597515848,32466,93.637776,0.000000,0.000000,0.000000,events/second
1597515851,32466,92.830028,0.000000,0.000000,0.000000,events/second
1597515854,32466,92.041186,0.000000,0.000000,0.000000,events/second
1597515857,32466,91.267003,0.000000,0.000000,0.000000,events/second
1597515860,32466,90.498950,0.000000,0.000000,0.000000,events/second
1597515863,32466,89.756490,0.000000,0.000000,0.000000,events/second
1597515866,32466,89.012972,0.000000,0.000000,0.000000,events/second
1597515869,32466,88.292890,0.000000,0.000000,0.000000,events/second
1597515872,32466,87.578979,0.000000,0.000000,0.000000,events/second
1597515875,32466,86.865946,0.000000,0.000000,0.000000,events/second
1597515878,32466,86.177853,0.000000,0.000000,0.000000,events/second
1597515881,32466,85.492510,0.000000,0.000000,0.000000,events/second
1597515884,32466,84.830421,0.000000,0.000000,0.000000,events/second
1597515887,32466,84.165283,0.000000,0.000000,0.000000,events/second
1597515890,32466,83.487395,0.000000,0.000000,0.000000,events/second
1597515893,32466,82.872111,0.000000,0.000000,0.000000,events/second
1597515896,32466,82.250938,0.000000,0.000000,0.000000,events/second
1597515899,32466,81.628263,0.000000,0.000000,0.000000,events/second
1597515902,32466,81.019488,0.000000,0.000000,0.000000,events/second
1597515905,32466,80.419311,0.000000,0.000000,0.000000,events/second
1597515908,32466,79.823691,0.000000,0.000000,0.000000,events/second
1597515911,32466,79.241995,0.000000,0.000000,0.000000,events/second
