t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,46,3.167833,0.000000,0.000000,0.000000,events/second
1597515518,46,2.712820,0.000000,0.000000,0.000000,events/second
1597515521,46,2.323597,0.000000,0.000000,0.000000,events/second
1597515524,46,2.014852,0.000000,0.000000,0.000000,events/second
1597515527,46,1.784486,0.000000,0.000000,0.000000,events/second
1597515530,46,1.600509,0.000000,0.000000,0.000000,events/second
1597515533,46,1.448372,0.000000,0.000000,0.000000,events/second
1597515536,46,1.322534,0.000000,0.000000,0.000000,events/second
1597515539,46,1.218344,0.000000,0.000000,0.000000,events/second
1597515542,46,1.128646,0.000000,0.000000,0.000000,events/second
1597515545,46,1.051520,0.000000,0.000000,0.000000,events/second
1597515548,46,0.983796,0.000000,0.000000,0.000000,events/second
1597515551,46,0.924907,0.000000,0.000000,0.000000,events/second
1597515554,46,0.872222,0.000000,0.000000,0.000000,events/second
1597515557,46,0.825189,0.000000,0.000000,0.000000,events/second
1597515560,46,0.783143,0.000000,0.000000,0.000000,events/second
1597515563,46,0.744576,0.000000,0.000000,0.000000,events/second
1597515566,46,0.710736,0.000000,0.000000,0.000000,events/second
1597515569,46,0.678934,0.000000,0.000000,0.000000,events/second
1597515572,46,0.650116,0.000000,0.000000,0.000000,events/second
1597515575,46,0.623595,0.000000,0.000000,0.000000,events/second
1597515578,46,0.599594,0.000000,0.000000,0.000000,events/second
1597515581,46,0.576740,0.000000,0.000000,0.000000,events/second
1597515584,46,0.555809,0.000000,0.000000,0.000000,events/second
1597515587,46,0.536272,0.000000,0.000000,0.000000,events/second
1597515590,46,0.517585,0.000000,0.000000,0.000000,events/second
1597515593,46,0.500392,0.000000,0.000000,0.000000,events/second
1597515596,46,0.485568,0.000000,0.000000,0.000000,events/second
1597515599,46,0.470591,0.000000,0.000000,0.000000,events/second
1597515602,46,0.456668,0.000000,0.000000,0.000000,events/second
1597515605,46,0.443464,0.000000,0.000000,0.000000,events/second
1597515608,46,0.430989,0.000000,0.000000,0.000000,events/second
1597515611,46,0.419038,0.000000,0.000000,0.000000,events/second
1597515614,46,0.408027,0.000000,0.000000,0.000000,events/second
1597515617,46,0.397169,0.000000,0.000000,0.000000,events/second
1597515620,46,0.387373,0.000000,0.000000,0.000000,events/second
1597515623,46,0.377904,0.000000,0.000000,0.000000,events/second
1597515626,46,0.368623,0.000000,0.000000,0.000000,events/second
1597515629,46,0.359957,0.000000,0.000000,0.000000,events/second
1597515632,46,0.351671,0.000000,0.000000,0.000000,events/second
1597515635,46,0.343765,0.000000,0.000000,0.000000,events/second
1597515638,46,0.335743,0.000000,0.000000,0.000000,events/second
1597515641,46,0.329131,0.000000,0.000000,0.000000,events/second
1597515644,46,0.322250,0.000000,0.000000,0.000000,events/second
1597515647,46,0.315113,0.000000,0.000000,0.000000,events/second
1597515650,46,0.309090,0.000000,0.000000,0.000000,events/second
1597515653,46,0.303126,0.000000,0.000000,0.000000,events/second
1597515656,46,0.297214,0.000000,0.000000,0.000000,events/second
1597515659,46,0.291591,0.000000,0.000000,0.000000,events/second
1597515662,46,0.286207,0.000000,0.000000,0.000000,events/second
1597515665,46,0.280900,0.000000,0.000000,0.000000,events/second
1597515668,46,0.275847,0.000000,0.000000,0.000000,events/second
1597515671,46,0.270979,0.000000,0.000000,0.000000,events/second
1597515674,46,0.266315,0.000000,0.000000,0.000000,events/second
1597515677,46,0.261752,0.000000,0.000000,0.000000,events/second
1597515680,46,0.257379,0.000000,0.000000,0.000000,events/second
1597515683,46,0.253124,0.000000,0.000000,0.000000,events/second
1597515686,46,0.248983,0.000000,0.000000,0.000000,events/second
1597515689,46,0.245033,0.000000,0.000000,0.000000,events/second
1597515692,46,0.241171,0.000000,0.000000,0.000000,events/second
1597515695,46,0.237430,0.000000,0.000000,0.000000,events/second
1597515698,46,0.233843,0.000000,0.000000,0.000000,events/second
1597515701,46,0.230314,0.000000,0.000000,0.000000,events/second
1597515704,46,0.226900,0.000000,0.000000,0.000000,events/second
1597515707,46,0.223599,0.000000,0.000000,0.000000,events/second
