t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,1,0.136668,0.000000,0.000000,0.000000,events/second
1597515518,1,0.101586,0.000000,0.000000,0.000000,events/second
1597515521,1,0.078831,0.000000,0.000000,0.000000,events/second
1597515524,1,0.063634,0.000000,0.000000,0.000000,events/second
1597515527,1,0.053550,0.000000,0.000000,0.000000,events/second
1597515530,1,0.046184,0.000000,0.000000,0.000000,events/second
1597515533,1,0.040533,0.000000,0.000000,0.000000,events/second
1597515536,1,0.036125,0.000000,0.000000,0.000000,events/second
1597515539,1,0.032607,0.000000,0.000000,0.000000,events/second
1597515542,1,0.029702,0.000000,0.000000,0.000000,events/second
1597515545,1,0.027278,0.000000,0.000000,0.000000,events/second
1597515548,1,0.025210,0.000000,0.000000,0.000000,events/second
1597515551,1,0.023448,0.000000,0.000000,0.000000,events/second
1597515554,1,0.021905,0.000000,0.000000,0.000000,events/second
1597515557,1,0.020553,0.000000,0.000000,0.000000,events/second
1597515560,1,0.019361,0.000000,0.000000,0.000000,events/second
1597515563,1,0.018285,0.000000,0.000000,0.000000,events/second
1597515566,1,0.017351,0.000000,0.000000,0.000000,events/second
1597515569,1,0.016485,0.000000,0.000000,0.000000,events/second
1597515572,1,0.015708,0.000000,0.000000,0.000000,events/second
1597515575,1,0.014997,0.000000,0.000000,0.000000,events/second
1597515578,1,0.014361,0.000000,0.000000,0.000000,events/second
1597515581,1,0.013761,0.000000,0.000000,0.000000,events/second
1597515584,1,0.013215,0.000000,0.000000,0.000000,events/second
1597515587,1,0.012709,0.000000,0.000000,0.000000,events/second
1597515590,1,0.012232,0.000000,0.000000,0.000000,events/second
1597515593,1,0.011794,0.000000,0.000000,0.000000,events/second
1597515596,1,0.011409,0.000000,0.000000,0.000000,events/second
1597515599,1,0.011030,0.000000,0.000000,0.000000,events/second
1597515602,1,0.010679,0.000000,0.000000,0.000000,events/second
1597515605,1,0.010347,0.000000,0.000000,0.000000,events/second
1597515608,1,0.010036,0.000000,0.000000,0.000000,events/second
1597515611,1,0.009739,0.000000,0.000000,0.000000,events/second
1597515614,1,0.009465,0.000000,0.000000,0.000000,events/second
1597515617,1,0.009198,0.000000,0.000000,0.000000,events/second
1597515620,1,0.008956,0.000000,0.000000,0.000000,events/second
1597515623,1,0.008723,0.000000,0.000000,0.000000,events/second
1597515626,1,0.008497,0.000000,0.000000,0.000000,events/second
1597515629,1,0.008285,0.000000,0.000000,0.000000,events/second
1597515632,1,0.008084,0.000000,0.000000,0.000000,events/second
1597515635,1,0.007893,0.000000,0.000000,0.000000,events/second
1597515638,1,0.007701,0.000000,0.000000,0.000000,events/second
1597515641,1,0.007538,0.000000,0.000000,0.000000,events/second
1597515644,1,0.007372,0.000000,0.000000,0.000000,events/second
1597515647,1,0.007200,0.000000,0.000000,0.000000,events/second
