t,value
1597515515,1048576
1597515518,1048576
1597515521,1048576
1597515524,1048576
1597515527,1048576
1597515530,1048576
1597515533,1048576
1597515536,1048576
1597515539,1048576
1597515542,1048576
1597515545,1048576
1597515548,1048576
1597515551,1048576
1597515554,1048576
1597515557,1048576
1597515560,1048576
1597515563,1048576
1597515566,1048576
1597515569,1048576
1597515572,1048576
1597515575,1048576
1597515578,1048576
1597515581,1048576
1597515584,1048576
1597515587,1048576
1597515590,1048576
1597515593,1048576
1597515596,1048576
1597515599,1048576
1597515602,1048576
1597515605,1048576
1597515608,1048576
1597515611,1048576
1597515614,1048576
1597515617,1048576
1597515620,1048576
1597515623,1048576
1597515626,1048576
1597515629,1048576
1597515632,1048576
1597515635,1048576
1597515638,1048576
1597515641,1048576
1597515644,1048576
1597515647,1048576
1597515650,1048576
1597515653,1048576
1597515656,1048576
1597515659,1048576
1597515662,1048576
1597515665,1048576
1597515668,1048576
1597515671,1048576
1597515674,1048576
1597515677,1048576
1597515680,1048576
1597515683,1048576
1597515686,1048576
1597515689,1048576
1597515692,1048576
1597515695,1048576
1597515698,1048576
1597515701,1048576
1597515704,1048576
1597515707,1048576
1597515710,1048576
1597515713,1048576
1597515716,1048576
1597515719,1048576
1597515722,1048576
1597515725,1048576
1597515728,1048576
1597515731,1048576
1597515734,1048576
1597515737,1048576
1597515740,1048576
1597515743,1048576
1597515746,1048576
1597515749,1048576
1597515752,1048576
1597515755,1048576
1597515758,1048576
1597515761,1048576
1597515764,1048576
1597515767,1048576
1597515770,1048576
1597515773,1048576
1597515776,1048576
1597515779,1048576
1597515782,1048576
1597515785,1048576
1597515788,1048576
1597515791,1048576
1597515794,1048576
1597515797,1048576
1597515800,1048576
1597515803,1048576
1597515806,1048576
1597515809,1048576
1597515812,1048576
1597515815,1048576
1597515818,1048576
1597515821,1048576
1597515824,1048576
1597515827,1048576
1597515830,1048576
1597515833,1048576
1597515836,1048576
1597515839,1048576
1597515842,1048576
1597515845,1048576
1597515848,1048576
1597515851,1048576
1597515854,1048576
1597515857,1048576
1597515860,1048576
1597515863,1048576
1597515866,1048576
1597515869,1048576
1597515872,1048576
1597515875,1048576
1597515878,1048576
1597515881,1048576
1597515884,1048576
1597515887,1048576
1597515890,1048576
1597515893,1048576
1597515896,1048576
1597515899,1048576
1597515902,1048576
1597515905,1048576
1597515908,1048576
1597515911,1048576
1597515914,1048576
1597515917,1048576
1597515920,1048576
1597515923,1048576
1597515926,1048576
1597515929,1048576
1597515932,1048576
1597515935,1048576
1597515938,1048576
1597515941,1048576
1597515944,1048576
1597515947,1048576
