t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,406,107.666413,0.000000,0.000000,0.000000,events/second
1597515518,406,64.988717,0.000000,0.000000,0.000000,events/second
1597515521,406,44.674773,0.000000,0.000000,0.000000,events/second
1597515524,406,33.497862,0.000000,0.000000,0.000000,events/second
1597515527,406,26.932341,0.000000,0.000000,0.000000,events/second
1597515530,406,22.498974,0.000000,0.000000,0.000000,events/second
1597515533,406,19.273775,0.000000,0.000000,0.000000,events/second
1597515536,406,16.861128,0.000000,0.000000,0.000000,events/second
1597515539,406,15.002858,0.000000,0.000000,0.000000,events/second
1597515542,406,13.505584,0.000000,0.000000,0.000000,events/second
1597515545,406,12.283806,0.000000,0.000000,0.000000,events/second
1597515548,406,11.258232,0.000000,0.000000,0.000000,events/second
1597515551,406,10.399470,0.000000,0.000000,0.000000,events/second
1597515554,406,9.656500,0.000000,0.000000,0.000000,events/second
1597515557,406,9.012551,0.000000,0.000000,0.000000,events/second
1597515560,406,8.450673,0.000000,0.000000,0.000000,events/second
1597515563,406,7.947826,0.000000,0.000000,0.000000,events/second
1597515566,406,7.514680,0.000000,0.000000,0.000000,events/second
1597515569,406,7.115655,0.000000,0.000000,0.000000,events/second
1597515572,406,6.760103,0.000000,0.000000,0.000000,events/second
1597515575,406,6.437231,0.000000,0.000000,0.000000,events/second
1597515578,406,6.149270,0.000000,0.000000,0.000000,events/second
1597515581,406,5.878641,0.000000,0.000000,0.000000,events/second
1597515584,406,5.633790,0.000000,0.000000,0.000000,events/second
1597515587,406,5.407500,0.000000,0.000000,0.000000,events/second
1597515590,406,5.193939,0.000000,0.000000,0.000000,events/second
1597515593,406,5.000595,0.000000,0.000000,0.000000,events/second
1597515596,406,4.831035,0.000000,0.000000,0.000000,events/second
1597515599,406,4.663741,0.000000,0.000000,0.000000,events/second
1597515602,406,4.509329,0.000000,0.000000,0.000000,events/second
1597515605,406,4.363948,0.000000,0.000000,0.000000,events/second
1597515608,406,4.227591,0.000000,0.000000,0.000000,events/second
1597515611,406,4.097860,0.000000,0.000000,0.000000,events/second
1597515614,406,3.978852,0.000000,0.000000,0.000000,events/second
1597515617,406,3.862182,0.000000,0.000000,0.000000,events/second
1597515620,406,3.757375,0.000000,0.000000,0.000000,events/second
1597515623,406,3.656666,0.000000,0.000000,0.000000,events/second
1597515626,406,3.559086,0.000000,0.000000,0.000000,events/second
1597515629,406,3.467478,0.000000,0.000000,0.000000,events/second
1597515632,406,3.380359,0.000000,0.000000,0.000000,events/second
1597515635,406,3.297940,0.000000,0.000000,0.000000,events/second
1597515638,406,3.214723,0.000000,0.000000,0.000000,events/second
1597515641,406,3.145729,0.000000,0.000000,0.000000,events/second
1597515644,406,3.074728,0.000000,0.000000,0.000000,events/second
1597515647,406,3.001153,0.000000,0.000000,0.000000,events/second
1597515650,406,2.939374,0.000000,0.000000,0.000000,events/second
1597515653,406,2.878378,0.000000,0.000000,0.000000,events/second
1597515656,406,2.818045,0.000000,0.000000,0.000000,events/second
1597515659,406,2.760810,0.000000,0.000000,0.000000,events/second
1597515662,406,2.706185,0.000000,0.000000,0.000000,events/second
1597515665,406,2.652462,0.000000,0.000000,0.000000,events/second
1597515668,406,2.601833,0.000000,0.000000,0.000000,events/second
1597515671,406,2.552493,0.000000,0.000000,0.000000,events/second
1597515674,406,2.505657,0.000000,0.000000,0.000000,events/second
1597515677,406,2.459993,0.000000,0.000000,0.000000,events/second
1597515680,406,2.416222,0.000000,0.000000,0.000000,events/second
1597515683,406,2.373800,0.000000,0.000000,0.000000,events/second
1597515686,406,2.332607,0.000000,0.000000,0.000000,events/second
1597515689,406,2.293334,0.000000,0.000000,0.000000,events/second
1597515692,406,2.255033,0.000000,0.000000,0.000000,events/second
1597515695,406,2.218042,0.000000,0.000000,0.000000,events/second
1597515698,406,2.182574,0.000000,0.000000,0.000000,events/second
1597515701,406,2.147800,0.000000,0.000000,0.000000,events/second
1597515704,406,2.114219,0.000000,0.000000,0.000000,events/second
1597515707,406,2.081712,0.000000,0.000000,0.000000,events/second
1597515710,406,2.048775,0.000000,0.000000,0.000000,events/second
1597515713,406,2.019537,0.000000,0.000000,0.000000,events/second
1597515716,406,1.989981,0.000000,0.000000,0.000000,events/second
1597515719,406,1.960911,0.000000,0.000000,0.000000,events/second
1597515722,406,1.933103,0.000000,0.000000,0.000000,events/second
1597515725,406,1.905766,0.000000,0.000000,0.000000,events/second
1597515728,406,1.878979,0.000000,0.000000,0.000000,events/second
1597515731,406,1.853495,0.000000,0.000000,0.000000,events/second
1597515734,406,1.828582,0.000000,0.000000,0.000000,events/second
1597515737,406,1.804240,0.000000,0.000000,0.000000,events/second
1597515740,406,1.780387,0.000000,0.000000,0.000000,events/second
1597515743,406,1.756450,0.000000,0.000000,0.000000,events/second
1597515746,406,1.734683,0.000000,0.000000,0.000000,events/second
1597515749,406,1.712414,0.000000,0.000000,0.000000,events/second
1597515752,406,1.691392,0.000000,0.000000,0.000000,events/second
1597515755,442,1.818583,0.000000,0.000000,0.000000,events/second
1597515758,454,1.845225,0.000000,0.000000,0.000000,events/second
1597515761,454,1.822653,0.000000,0.000000,0.000000,events/second
