t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,49152,13141.114585,0.000000,0.000000,0.000000,events/second
1597515518,49152,7888.269036,0.000000,0.000000,0.000000,events/second
1597515521,49152,5417.633019,0.000000,0.000000,0.000000,events/second
1597515524,49152,4060.465244,0.000000,0.000000,0.000000,events/second
1597515527,49152,3263.752822,0.000000,0.000000,0.000000,events/second
1597515530,49152,2725.609691,0.000000,0.000000,0.000000,events/second
1597515533,49152,2334.733827,0.000000,0.000000,0.000000,events/second
1597515536,49152,2042.328420,0.000000,0.000000,0.000000,events/second
1597515539,49152,1817.123490,0.000000,0.000000,0.000000,events/second
1597515542,49152,1635.708001,0.000000,0.000000,0.000000,events/second
1597515545,49152,1487.669680,0.000000,0.000000,0.000000,events/second
1597515548,49152,1363.453691,0.000000,0.000000,0.000000,events/second
1597515551,49152,1259.388720,0.000000,0.000000,0.000000,events/second
1597515554,49152,1169.379556,0.000000,0.000000,0.000000,events/second
1597515557,49152,1091.379967,0.000000,0.000000,0.000000,events/second
1597515560,49152,1023.321378,0.000000,0.000000,0.000000,events/second
1597515563,49152,962.434484,0.000000,0.000000,0.000000,events/second
1597515566,49152,909.953754,0.000000,0.000000,0.000000,events/second
1597515569,49152,861.652829,0.000000,0.000000,0.000000,events/second
1597515572,49152,818.576841,0.000000,0.000000,0.000000,events/second
1597515575,49152,779.462019,0.000000,0.000000,0.000000,events/second
1597515578,49152,744.586868,0.000000,0.000000,0.000000,events/second
1597515581,49152,711.830322,0.000000,0.000000,0.000000,events/second
1597515584,49152,682.163443,0.000000,0.000000,0.000000,events/second
1597515587,49152,654.769992,0.000000,0.000000,0.000000,events/second
1597515590,49152,628.977068,0.000000,0.000000,0.000000,events/second
1597515593,49152,605.510227,0.000000,0.000000,0.000000,events/second
1597515596,49152,584.945650,0.000000,0.000000,0.000000,events/second
1597515599,49152,564.687848,0.000000,0.000000,0.000000,events/second
1597515602,49152,545.987721,0.000000,0.000000,0.000000,events/second
1597515605,49152,528.382710,0.000000,0.000000,0.000000,events/second
1597515608,49152,511.871819,0.000000,0.000000,0.000000,events/second
1597515611,49152,496.165536,0.000000,0.000000,0.000000,events/second
1597515614,49152,481.750731,0.000000,0.000000,0.000000,events/second
1597515617,49152,467.634166,0.000000,0.000000,0.000000,events/second
1597515620,49152,454.932196,0.000000,0.000000,0.000000,events/second
1597515623,49152,442.736978,0.000000,0.000000,0.000000,events/second
1597515626,49152,430.921268,0.000000,0.000000,0.000000,events/second
1597515629,49152,419.830329,0.000000,0.000000,0.000000,events/second
1597515632,49152,409.314009,0.000000,0.000000,0.000000,events/second
1597515635,49152,399.311411,0.000000,0.000000,0.000000,events/second
1597515638,49152,389.239937,0.000000,0.000000,0.000000,events/second
1597515641,49152,380.872726,0.000000,0.000000,0.000000,events/second
1597515644,49152,372.273605,0.000000,0.000000,0.000000,events/second
1597515647,49152,363.364425,0.000000,0.000000,0.000000,events/second
1597515650,49152,355.898574,0.000000,0.000000,0.000000,events/second
1597515653,49152,348.498896,0.000000,0.000000,0.000000,events/second
1597515656,49152,341.193420,0.000000,0.000000,0.000000,events/second
1597515659,49152,334.263176,0.000000,0.000000,0.000000,events/second
