t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,95,6.545876,0.000000,0.000000,0.000000,events/second
1597515518,95,5.603085,0.000000,0.000000,0.000000,events/second
1597515521,98,4.950708,0.000000,0.000000,0.000000,events/second
1597515524,98,4.292986,0.000000,0.000000,0.000000,events/second
1597515527,98,3.802008,0.000000,0.000000,0.000000,events/second
1597515530,98,3.409710,0.000000,0.000000,0.000000,events/second
1597515533,98,3.085595,0.000000,0.000000,0.000000,events/second
1597515536,98,2.817725,0.000000,0.000000,0.000000,events/second
1597515539,98,2.595545,0.000000,0.000000,0.000000,events/second
1597515542,98,2.404457,0.000000,0.000000,0.000000,events/second
1597515545,98,2.240155,0.000000,0.000000,0.000000,events/second
1597515548,98,2.095884,0.000000,0.000000,0.000000,events/second
1597515551,98,1.970421,0.000000,0.000000,0.000000,events/second
1597515554,98,1.858183,0.000000,0.000000,0.000000,events/second
1597515557,98,1.757995,0.000000,0.000000,0.000000,events/second
1597515560,98,1.668409,0.000000,0.000000,0.000000,events/second
1597515563,98,1.586271,0.000000,0.000000,0.000000,events/second
1597515566,98,1.514155,0.000000,0.000000,0.000000,events/second
1597515569,98,1.446418,0.000000,0.000000,0.000000,events/second
1597515572,98,1.385023,0.000000,0.000000,0.000000,events/second
1597515575,98,1.328516,0.000000,0.000000,0.000000,events/second
1597515578,98,1.277383,0.000000,0.000000,0.000000,events/second
1597515581,98,1.228704,0.000000,0.000000,0.000000,events/second
1597515584,98,1.184108,0.000000,0.000000,0.000000,events/second
1597515587,98,1.142483,0.000000,0.000000,0.000000,events/second
1597515590,98,1.102680,0.000000,0.000000,0.000000,events/second
1597515593,98,1.066096,0.000000,0.000000,0.000000,events/second
1597515596,98,1.034465,0.000000,0.000000,0.000000,events/second
1597515599,98,1.002555,0.000000,0.000000,0.000000,events/second
1597515602,98,0.972893,0.000000,0.000000,0.000000,events/second
1597515605,98,0.944763,0.000000,0.000000,0.000000,events/second
1597515608,98,0.918188,0.000000,0.000000,0.000000,events/second
1597515611,98,0.892733,0.000000,0.000000,0.000000,events/second
