t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,45,3.099990,0.000000,0.000000,0.000000,events/second
1597515518,45,2.653941,0.000000,0.000000,0.000000,events/second
1597515521,45,2.273163,0.000000,0.000000,0.000000,events/second
1597515524,45,1.971145,0.000000,0.000000,0.000000,events/second
1597515527,45,1.745779,0.000000,0.000000,0.000000,events/second
1597515530,45,1.565673,0.000000,0.000000,0.000000,events/second
1597515533,45,1.416846,0.000000,0.000000,0.000000,events/second
1597515536,45,1.293829,0.000000,0.000000,0.000000,events/second
1597515539,45,1.191826,0.000000,0.000000,0.000000,events/second
1597515542,45,1.104083,0.000000,0.000000,0.000000,events/second
1597515545,45,1.028638,0.000000,0.000000,0.000000,events/second
1597515548,45,0.962392,0.000000,0.000000,0.000000,events/second
1597515551,45,0.904782,0.000000,0.000000,0.000000,events/second
1597515554,45,0.853244,0.000000,0.000000,0.000000,events/second
1597515557,45,0.807238,0.000000,0.000000,0.000000,events/second
1597515560,45,0.766104,0.000000,0.000000,0.000000,events/second
1597515563,45,0.728387,0.000000,0.000000,0.000000,events/second
1597515566,45,0.695274,0.000000,0.000000,0.000000,events/second
1597515569,45,0.664169,0.000000,0.000000,0.000000,events/second
1597515572,45,0.635977,0.000000,0.000000,0.000000,events/second
1597515575,45,0.610031,0.000000,0.000000,0.000000,events/second
1597515578,45,0.586552,0.000000,0.000000,0.000000,events/second
1597515581,45,0.564199,0.000000,0.000000,0.000000,events/second
1597515584,45,0.543720,0.000000,0.000000,0.000000,events/second
1597515587,45,0.524608,0.000000,0.000000,0.000000,events/second
1597515590,45,0.506330,0.000000,0.000000,0.000000,events/second
1597515593,45,0.489530,0.000000,0.000000,0.000000,events/second
1597515596,45,0.475009,0.000000,0.000000,0.000000,events/second
1597515599,45,0.460356,0.000000,0.000000,0.000000,events/second
1597515602,45,0.446736,0.000000,0.000000,0.000000,events/second
1597515605,45,0.433819,0.000000,0.000000,0.000000,events/second
1597515608,45,0.421616,0.000000,0.000000,0.000000,events/second
1597515611,45,0.409926,0.000000,0.000000,0.000000,events/second
1597515614,45,0.399153,0.000000,0.000000,0.000000,events/second
1597515617,45,0.388532,0.000000,0.000000,0.000000,events/second
1597515620,45,0.378949,0.000000,0.000000,0.000000,events/second
1597515623,45,0.369686,0.000000,0.000000,0.000000,events/second
1597515626,45,0.360608,0.000000,0.000000,0.000000,events/second
1597515629,45,0.352130,0.000000,0.000000,0.000000,events/second
