t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,2,0.221670,0.000000,0.000000,0.000000,events/second
1597515524,2,0.165989,0.000000,0.000000,0.000000,events/second
1597515527,2,0.133178,0.000000,0.000000,0.000000,events/second
1597515530,2,0.111114,0.000000,0.000000,0.000000,events/second
1597515533,2,0.095152,0.000000,0.000000,0.000000,events/second
1597515536,2,0.083248,0.000000,0.000000,0.000000,events/second
1597515539,2,0.074029,0.000000,0.000000,0.000000,events/second
1597515542,2,0.066631,0.000000,0.000000,0.000000,events/second
1597515545,2,0.060591,0.000000,0.000000,0.000000,events/second
1597515548,2,0.055536,0.000000,0.000000,0.000000,events/second
1597515551,2,0.051286,0.000000,0.000000,0.000000,events/second
1597515554,2,0.047618,0.000000,0.000000,0.000000,events/second
1597515557,2,0.044442,0.000000,0.000000,0.000000,events/second
1597515560,2,0.041667,0.000000,0.000000,0.000000,events/second
1597515563,2,0.039188,0.000000,0.000000,0.000000,events/second
1597515566,2,0.037048,0.000000,0.000000,0.000000,events/second
1597515569,2,0.035084,0.000000,0.000000,0.000000,events/second
1597515572,2,0.033329,0.000000,0.000000,0.000000,events/second
1597515575,2,0.031733,0.000000,0.000000,0.000000,events/second
1597515578,2,0.030312,0.000000,0.000000,0.000000,events/second
1597515581,2,0.028978,0.000000,0.000000,0.000000,events/second
1597515584,2,0.027771,0.000000,0.000000,0.000000,events/second
1597515587,2,0.026659,0.000000,0.000000,0.000000,events/second
1597515590,2,0.025612,0.000000,0.000000,0.000000,events/second
1597515593,2,0.024652,0.000000,0.000000,0.000000,events/second
1597515596,2,0.023811,0.000000,0.000000,0.000000,events/second
1597515599,2,0.022986,0.000000,0.000000,0.000000,events/second
1597515602,2,0.022224,0.000000,0.000000,0.000000,events/second
1597515605,2,0.021507,0.000000,0.000000,0.000000,events/second
1597515608,2,0.020835,0.000000,0.000000,0.000000,events/second
1597515611,2,0.020197,0.000000,0.000000,0.000000,events/second
1597515614,2,0.019609,0.000000,0.000000,0.000000,events/second
1597515617,2,0.019038,0.000000,0.000000,0.000000,events/second
1597515620,2,0.018517,0.000000,0.000000,0.000000,events/second
1597515623,2,0.018020,0.000000,0.000000,0.000000,events/second
1597515626,2,0.017539,0.000000,0.000000,0.000000,events/second
1597515629,2,0.017089,0.000000,0.000000,0.000000,events/second
1597515632,2,0.016660,0.000000,0.000000,0.000000,events/second
1597515635,2,0.016256,0.000000,0.000000,0.000000,events/second
1597515638,2,0.015851,0.000000,0.000000,0.000000,events/second
1597515641,2,0.015503,0.000000,0.000000,0.000000,events/second
1597515644,2,0.015152,0.000000,0.000000,0.000000,events/second
1597515647,4,0.029611,0.000000,0.000000,0.000000,events/second
1597515650,22,0.159348,0.000000,0.000000,0.000000,events/second
1597515653,23,0.163122,0.000000,0.000000,0.000000,events/second
1597515656,23,0.159698,0.000000,0.000000,0.000000,events/second
1597515659,23,0.156456,0.000000,0.000000,0.000000,events/second
1597515662,23,0.153353,0.000000,0.000000,0.000000,events/second
1597515665,23,0.150305,0.000000,0.000000,0.000000,events/second
1597515668,23,0.147437,0.000000,0.000000,0.000000,events/second
1597515671,23,0.144641,0.000000,0.000000,0.000000,events/second
1597515674,23,0.141985,0.000000,0.000000,0.000000,events/second
