t,value
1597515515,532676608
1597515518,532676608
1597515521,532676608
1597515524,532676608
1597515527,532676608
1597515530,532676608
1597515533,532676608
1597515536,532676608
1597515539,532676608
1597515542,532676608
1597515545,532676608
1597515548,532676608
1597515551,532676608
1597515554,532676608
1597515557,532676608
1597515560,532676608
1597515563,532676608
1597515566,532676608
1597515569,532676608
1597515572,532676608
1597515575,532676608
1597515578,532676608
1597515581,532676608
1597515584,532676608
1597515587,532676608
1597515590,532676608
1597515593,532676608
1597515596,532676608
1597515599,532676608
1597515602,532676608
1597515605,532676608
1597515608,532676608
1597515611,532676608
1597515614,532676608
1597515617,532676608
1597515620,532676608
1597515623,532676608
1597515626,532676608
1597515629,532676608
1597515632,532676608
1597515635,532676608
1597515638,532676608
1597515641,532676608
1597515644,532676608
1597515647,532676608
1597515650,532676608
1597515653,532676608
1597515656,532676608
1597515659,532676608
1597515662,532676608
1597515665,532676608
1597515668,532676608
1597515671,532676608
1597515674,532676608
1597515677,532676608
1597515680,532676608
1597515683,532676608
1597515686,532676608
1597515689,532676608
1597515692,532676608
1597515695,532676608
1597515698,532676608
1597515701,532676608
1597515704,532676608
1597515707,532676608
1597515710,532676608
1597515713,532676608
1597515716,532676608
1597515719,532676608
1597515722,532676608
1597515725,532676608
1597515728,532676608
1597515731,532676608
1597515734,532676608
1597515737,532676608
1597515740,532676608
1597515743,532676608
1597515746,532676608
1597515749,532676608
1597515752,532676608
1597515755,532152320
1597515758,532152320
1597515761,532152320
1597515764,532152320
1597515767,530579456
1597515770,530579456
1597515773,530055168
1597515776,530055168
1597515779,530055168
1597515782,530055168
1597515785,530055168
1597515788,530055168
1597515791,530055168
1597515794,530055168
1597515797,530055168
1597515800,530055168
1597515803,530055168
1597515806,530055168
1597515809,530055168
1597515812,530055168
1597515815,530055168
1597515818,530055168
1597515821,530055168
1597515824,530055168
1597515827,530055168
1597515830,530055168
1597515833,530055168
1597515836,530055168
1597515839,530055168
1597515842,530055168
1597515845,530055168
1597515848,530055168
1597515851,530055168
1597515854,530055168
1597515857,530055168
1597515860,530055168
1597515863,530055168
1597515866,530055168
1597515869,530055168
1597515872,530055168
1597515875,530055168
1597515878,530055168
1597515881,530055168
1597515884,530055168
1597515887,530055168
1597515890,530055168
1597515893,530055168
1597515896,530055168
1597515899,530055168
1597515902,530055168
1597515905,530055168
1597515908,530055168
1597515911,530055168
1597515914,530055168
1597515917,530055168
1597515920,530055168
1597515923,530055168
1597515926,530055168
1597515929,530055168
1597515932,530055168
1597515935,530055168
1597515938,530055168
1597515941,530055168
1597515944,530055168
1597515947,530055168
1597515950,530055168
1597515953,530055168
1597515956,530055168
1597515959,530055168
1597515962,530055168
1597515965,530055168
1597515968,530055168
1597515971,530055168
1597515974,530055168
1597515977,530055168
1597515980,530055168
1597515983,530055168
1597515986,530055168
1597515989,530055168
1597515992,530055168
1597515995,530055168
1597515998,530055168
1597516001,530055168
1597516004,530055168
1597516007,530055168
1597516010,530055168
1597516013,530055168
1597516016,530055168
1597516019,530055168
1597516022,530055168
1597516025,530055168
1597516028,530055168
1597516031,530055168
1597516034,530055168
1597516037,530055168
1597516040,530055168
