t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,140,9.648349,0.000000,0.000000,0.000000,events/second
1597515518,140,8.257636,0.000000,0.000000,0.000000,events/second
1597515521,143,7.224454,0.000000,0.000000,0.000000,events/second
1597515524,143,6.264542,0.000000,0.000000,0.000000,events/second
1597515527,143,5.547945,0.000000,0.000000,0.000000,events/second
1597515530,143,4.975429,0.000000,0.000000,0.000000,events/second
1597515533,143,4.502474,0.000000,0.000000,0.000000,events/second
1597515536,143,4.111633,0.000000,0.000000,0.000000,events/second
1597515539,143,3.787390,0.000000,0.000000,0.000000,events/second
1597515542,143,3.508556,0.000000,0.000000,0.000000,events/second
1597515545,143,3.268812,0.000000,0.000000,0.000000,events/second
1597515548,143,3.058295,0.000000,0.000000,0.000000,events/second
1597515551,143,2.875217,0.000000,0.000000,0.000000,events/second
1597515554,143,2.711439,0.000000,0.000000,0.000000,events/second
1597515557,143,2.565284,0.000000,0.000000,0.000000,events/second
1597515560,143,2.434521,0.000000,0.000000,0.000000,events/second
1597515563,143,2.314669,0.000000,0.000000,0.000000,events/second
1597515566,143,2.209434,0.000000,0.000000,0.000000,events/second
1597515569,143,2.110600,0.000000,0.000000,0.000000,events/second
1597515572,143,2.021014,0.000000,0.000000,0.000000,events/second
1597515575,143,1.938556,0.000000,0.000000,0.000000,events/second
1597515578,143,1.863941,0.000000,0.000000,0.000000,events/second
1597515581,143,1.792908,0.000000,0.000000,0.000000,events/second
1597515584,143,1.727839,0.000000,0.000000,0.000000,events/second
1597515587,143,1.667095,0.000000,0.000000,0.000000,events/second
1597515590,143,1.609019,0.000000,0.000000,0.000000,events/second
1597515593,143,1.555649,0.000000,0.000000,0.000000,events/second
1597515596,143,1.509477,0.000000,0.000000,0.000000,events/second
1597515599,143,1.462918,0.000000,0.000000,0.000000,events/second
1597515602,143,1.419631,0.000000,0.000000,0.000000,events/second
1597515605,143,1.378584,0.000000,0.000000,0.000000,events/second
1597515608,143,1.339807,0.000000,0.000000,0.000000,events/second
1597515611,143,1.302679,0.000000,0.000000,0.000000,events/second
1597515614,143,1.268423,0.000000,0.000000,0.000000,events/second
1597515617,143,1.234677,0.000000,0.000000,0.000000,events/second
1597515620,143,1.204218,0.000000,0.000000,0.000000,events/second
1597515623,143,1.174782,0.000000,0.000000,0.000000,events/second
1597515626,143,1.146067,0.000000,0.000000,0.000000,events/second
1597515629,143,1.118999,0.000000,0.000000,0.000000,events/second
1597515632,143,1.093236,0.000000,0.000000,0.000000,events/second
1597515635,143,1.068692,0.000000,0.000000,0.000000,events/second
1597515638,143,1.043764,0.000000,0.000000,0.000000,events/second
1597515641,143,1.023178,0.000000,0.000000,0.000000,events/second
1597515644,143,1.001785,0.000000,0.000000,0.000000,events/second
1597515647,144,0.986441,0.000000,0.000000,0.000000,events/second
1597515650,165,1.108700,0.000000,0.000000,0.000000,events/second
1597515653,167,1.100498,0.000000,0.000000,0.000000,events/second
1597515656,172,1.111325,0.000000,0.000000,0.000000,events/second
1597515659,172,1.090293,0.000000,0.000000,0.000000,events/second
1597515662,172,1.070161,0.000000,0.000000,0.000000,events/second
1597515665,172,1.050317,0.000000,0.000000,0.000000,events/second
1597515668,172,1.031488,0.000000,0.000000,0.000000,events/second
1597515671,172,1.013224,0.000000,0.000000,0.000000,events/second
1597515674,172,0.995782,0.000000,0.000000,0.000000,events/second
1597515677,172,0.978733,0.000000,0.000000,0.000000,events/second
1597515680,172,0.962368,0.000000,0.000000,0.000000,events/second
1597515683,172,0.946462,0.000000,0.000000,0.000000,events/second
1597515686,172,0.930980,0.000000,0.000000,0.000000,events/second
1597515689,172,0.916208,0.000000,0.000000,0.000000,events/second
1597515692,172,0.901767,0.000000,0.000000,0.000000,events/second
1597515695,172,0.887779,0.000000,0.000000,0.000000,events/second
1597515698,172,0.874366,0.000000,0.000000,0.000000,events/second
1597515701,172,0.861173,0.000000,0.000000,0.000000,events/second
1597515704,172,0.848409,0.000000,0.000000,0.000000,events/second
