t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515524,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515527,6,0.321327,0.000000,0.000000,0.000000,events/second
1597515530,6,0.277121,0.000000,0.000000,0.000000,events/second
1597515533,6,0.243211,0.000000,0.000000,0.000000,events/second
1597515536,6,0.216767,0.000000,0.000000,0.000000,events/second
1597515539,6,0.195647,0.000000,0.000000,0.000000,events/second
1597515542,6,0.178218,0.000000,0.000000,0.000000,events/second
1597515545,6,0.163675,0.000000,0.000000,0.000000,events/second
1597515548,6,0.151263,0.000000,0.000000,0.000000,events/second
1597515551,6,0.140690,0.000000,0.000000,0.000000,events/second
1597515554,6,0.131432,0.000000,0.000000,0.000000,events/second
1597515557,6,0.123322,0.000000,0.000000,0.000000,events/second
1597515560,6,0.116167,0.000000,0.000000,0.000000,events/second
1597515563,6,0.109714,0.000000,0.000000,0.000000,events/second
1597515566,6,0.104105,0.000000,0.000000,0.000000,events/second
1597515569,6,0.098914,0.000000,0.000000,0.000000,events/second
1597515572,6,0.094249,0.000000,0.000000,0.000000,events/second
1597515575,6,0.089986,0.000000,0.000000,0.000000,events/second
1597515578,6,0.086169,0.000000,0.000000,0.000000,events/second
1597515581,6,0.082567,0.000000,0.000000,0.000000,events/second
1597515584,6,0.079292,0.000000,0.000000,0.000000,events/second
1597515587,6,0.076260,0.000000,0.000000,0.000000,events/second
1597515590,6,0.073392,0.000000,0.000000,0.000000,events/second
1597515593,6,0.070765,0.000000,0.000000,0.000000,events/second
1597515596,6,0.068457,0.000000,0.000000,0.000000,events/second
1597515599,6,0.066181,0.000000,0.000000,0.000000,events/second
1597515602,6,0.064073,0.000000,0.000000,0.000000,events/second
1597515605,6,0.062085,0.000000,0.000000,0.000000,events/second
1597515608,6,0.060215,0.000000,0.000000,0.000000,events/second
1597515611,6,0.058436,0.000000,0.000000,0.000000,events/second
1597515614,6,0.056793,0.000000,0.000000,0.000000,events/second
1597515617,6,0.055189,0.000000,0.000000,0.000000,events/second
1597515620,6,0.053735,0.000000,0.000000,0.000000,events/second
1597515623,6,0.052339,0.000000,0.000000,0.000000,events/second
1597515626,6,0.050985,0.000000,0.000000,0.000000,events/second
1597515629,6,0.049714,0.000000,0.000000,0.000000,events/second
1597515632,6,0.048506,0.000000,0.000000,0.000000,events/second
1597515635,6,0.047356,0.000000,0.000000,0.000000,events/second
1597515638,6,0.046211,0.000000,0.000000,0.000000,events/second
1597515641,6,0.045227,0.000000,0.000000,0.000000,events/second
1597515644,6,0.044233,0.000000,0.000000,0.000000,events/second
1597515647,6,0.043202,0.000000,0.000000,0.000000,events/second
1597515650,6,0.042337,0.000000,0.000000,0.000000,events/second
1597515653,6,0.041479,0.000000,0.000000,0.000000,events/second
1597515656,7,0.047401,0.000000,0.000000,0.000000,events/second
1597515659,11,0.073012,0.000000,0.000000,0.000000,events/second
1597515662,16,0.104145,0.000000,0.000000,0.000000,events/second
1597515665,16,0.102124,0.000000,0.000000,0.000000,events/second
1597515668,17,0.106482,0.000000,0.000000,0.000000,events/second
1597515671,17,0.104509,0.000000,0.000000,0.000000,events/second
1597515674,18,0.108670,0.000000,0.000000,0.000000,events/second
