t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,1633,431.150767,0.000000,0.000000,0.000000,events/second
1597515518,1635,261.483738,0.000000,0.000000,0.000000,events/second
1597515521,1693,186.168364,0.000000,0.000000,0.000000,events/second
1597515524,1695,139.775476,0.000000,0.000000,0.000000,events/second
1597515527,1706,113.134455,0.000000,0.000000,0.000000,events/second
1597515530,1708,94.635692,0.000000,0.000000,0.000000,events/second
1597515533,1710,81.166842,0.000000,0.000000,0.000000,events/second
1597515536,1712,71.086768,0.000000,0.000000,0.000000,events/second
1597515539,1714,63.330429,0.000000,0.000000,0.000000,events/second
1597515542,1716,57.076740,0.000000,0.000000,0.000000,events/second
1597515545,1718,51.975136,0.000000,0.000000,0.000000,events/second
1597515548,1720,47.691129,0.000000,0.000000,0.000000,events/second
1597515551,1722,44.105092,0.000000,0.000000,0.000000,events/second
1597515554,1724,41.001858,0.000000,0.000000,0.000000,events/second
1597515557,1726,38.311988,0.000000,0.000000,0.000000,events/second
1597515560,1728,35.965378,0.000000,0.000000,0.000000,events/second
1597515563,1843,36.076006,0.000000,0.000000,0.000000,events/second
1597515566,1857,34.369660,0.000000,0.000000,0.000000,events/second
1597515569,1859,32.579643,0.000000,0.000000,0.000000,events/second
1597515572,1961,32.649514,0.000000,0.000000,0.000000,events/second
1597515575,1963,31.122539,0.000000,0.000000,0.000000,events/second
1597515578,1965,29.760560,0.000000,0.000000,0.000000,events/second
1597515581,1967,28.479883,0.000000,0.000000,0.000000,events/second
1597515584,1969,27.321298,0.000000,0.000000,0.000000,events/second
1597515587,1971,26.250078,0.000000,0.000000,0.000000,events/second
1597515590,1973,25.239207,0.000000,0.000000,0.000000,events/second
1597515593,1975,24.323064,0.000000,0.000000,0.000000,events/second
1597515596,1977,23.523801,0.000000,0.000000,0.000000,events/second
1597515599,1979,22.732165,0.000000,0.000000,0.000000,events/second
1597515602,1981,22.001801,0.000000,0.000000,0.000000,events/second
1597515605,1983,21.313981,0.000000,0.000000,0.000000,events/second
1597515608,1985,20.668814,0.000000,0.000000,0.000000,events/second
1597515611,1987,20.054649,0.000000,0.000000,0.000000,events/second
1597515614,1989,19.491948,0.000000,0.000000,0.000000,events/second
1597515617,1991,18.939223,0.000000,0.000000,0.000000,events/second
1597515620,1993,18.444013,0.000000,0.000000,0.000000,events/second
1597515623,2120,19.093481,0.000000,0.000000,0.000000,events/second
1597515626,2122,18.601505,0.000000,0.000000,0.000000,events/second
1597515629,2124,18.139359,0.000000,0.000000,0.000000,events/second
1597515632,2226,18.533128,0.000000,0.000000,0.000000,events/second
1597515635,2228,18.097440,0.000000,0.000000,0.000000,events/second
